Pseuodomonas ,,,,,,,,
Competition Assay,,,,,,,,
,,,,,,,,
,T0 (*10E5),,,Day1( 10E7),,,r(Anc vs RifRes) ,W(Anc vs RifRes)
Sample,CFU on MURI,CFU Rif50,CFU Ancestor,CFU on MURI,CFU Rif50,CFU Ancestor,,
1-1,139,60,79,197,97,100,-0.2,1.1
1-2,294,107,187,213,95,118,-0.3,1.1
1-3,276,123,153,201,98,103,-0.2,1.0
1-4,294,150,144,270,125,145,0.2,1.0
1-5,405,196,209,420,189,231,0.1,1.0
2-1,249,101,148,112,52,60,-0.2,1.1
2-2,159,82,77,96,48,48,0.1,1.0
2-4,166,89,77,330,134,196,0.5,0.9
2-5,281,135,146,370,149,221,0.3,0.9
3-1,176,89,87,120,60,60,0.0,1.0
3-2,247,114,133,104,38,66,0.4,0.9
3-3,84,50,34,294,127,167,0.7,0.9
3-4,115,92,23,500,200,300,1.8,0.8
3-5,252,96,156,300,142,158,-0.4,1.1
,,,,,,Mean,0.195,0.972
,,,,,,SD,0.562,0.092
