Exp_rep Tech_rep Anc0 Rif0 Anc1 Rif1
1 1 79000000.0 60000000.0 10000000000.0 9700000000.0
1 2 187000000.0 107000000.0 11800000000.0 9500000000.0
1 3 153000000.0 123000000.0 10300000000.0 9800000000.0
1 4 144000000.0 150000000.0 14500000000.0 12500000000.0
1 5 209000000.0 196000000.0 23100000000.0 18900000000.0
2 1 148000000.0 101000000.0 6000000000.0 5200000000.0
2 2 77000000.0 82000000.0 4800000000.0 4800000000.0
2 4 77000000.0 89000000.0 19600000000.0 13400000000.0
2 5 146000000.0 135000000.0 22100000000.0 14900000000.0
3 1 87000000.0 89000000.0 6000000000.0 6000000000.0
3 2 133000000.0 114000000.0 6600000000.0 3800000000.0
3 3 34000000.0 50000000.0 16700000000.0 12700000000.0
3 4 23000000.0 92000000.0 30000000000.0 20000000000.0
3 5 156000000.0 96000000.0 15800000000.0 14200000000.0
