Exp_rep Tech_rep Anc0 Rif0 Anc1 Rif1
1 1 6600000.0 5500000.0 1750000000.0 1340000000.0
1 2 9100000.0 6400000.0 1500000000.0 800000000.0
1 3 6900000.0 4300000.0 1400000000.0 1050000000.0
1 4 8300000.0 6200000.0 1330000000.0 900000000.0
1 5 6800000.0 6400000.0 750000000.0 930000000.0
2 1 6600000.0 4600000.0 1290000000.0 730000000.0
2 2 7700000.0 6200000.0 1570000000.0 1000000000.0
2 3 5900000.0 5600000.0 1420000000.0 1010000000.0
2 4 12500000.0 6000000.0 1310000000.0 1030000000.0
2 5 6400000.0 4600000.0 1270000000.0 1080000000.0
3 1 6200000.0 4300000.0 1020000000.0 740000000.0
3 2 10100000.0 4700000.0 1320000000.0 1150000000.0
3 3 7200000.0 4900000.0 1080000000.0 750000000.0
3 4 8100000.0 5400000.0 840000000.0 530000000.0
3 5 7200000.0 6700000.0 920000000.0 730000000.0
