Exp_rep Tech_rep Anc0 Rif0 Anc1 Rif1
1 1 700000.0 1150000.0 99000000.0 61000000.0
1 2 480000.0 620000.0 310000000.0 200000000.0
1 3 nan nan nan nan
1 4 nan nan nan nan
1 5 nan nan nan nan
2 1 2500000.0 2900000.0 170000000.0 270000000.0
2 2 2000000.0 2000000.0 350000000.0 150000000.0
2 3 3500000.0 3200000.0 290000000.0 150000000.0
2 4 3300000.0 1900000.0 240000000.0 190000000.0
2 5 1700000.0 4100000.0 200000000.0 140000000.0
3 1 3590000.0 210000.0 298000000.0 162000000.0
3 2 530000.0 770000.0 190000000.0 125000000.0
3 3 1000000.0 2500000.0 30000000.0 10000000.0
3 4 0.0 nan nan nan
3 5 1760000.0 1940000.0 155000000.0 115000000.0
