Exp_rep Tech_rep Anc0 Rif0 Anc1 Rif1
1 1 340000000.0 371000000.0 1800000000.0 1600000000.0
1 2 64000000.0 60000000.0 2800000000.0 2700000000.0
1 3 180000000.0 130000000.0 5800000000.0 4500000000.0
1 4 150000000.0 177000000.0 1900000000.0 1700000000.0
1 5 224000000.0 202000000.0 6300000000.0 4900000000.0
2 1 nan 267000000.0 3400000000.0 2900000000.0
2 2 130000000.0 101000000.0 6900000000.0 5300000000.0
2 3 130000000.0 106000000.0 5100000000.0 5000000000.0
2 4 128000000.0 135000000.0 4700000000.0 3400000000.0
2 5 nan 111000000.0 nan nan
3 1 134000000.0 150000000.0 8700000000.0 nan
3 2 nan 307000000.0 1600000000.0 1100000000.0
3 3 nan 197000000.0 2300000000.0 2300000000.0
3 4 78000000.0 163000000.0 1700000000.0 1300000000.0
3 5 nan 188000000.0 2400000000.0 2500000000.0
