pdf x_grid
3.30461973769e-05 -7.64198350906
3.32363955444e-05 -6.64195124108
3.34271638833e-05 -5.6419189731
3.36185001651e-05 -4.64188670511
3.38104021317e-05 -3.64185443713
3.40028674957e-05 -2.64182216914
3.41958939404e-05 -1.64178990116
3.438947912e-05 -0.641757633176
3.45836206595e-05 0.358274634808
3.47783161548e-05 1.35830690279
3.49735631731e-05 2.35833917078
3.51693592525e-05 3.35837143876
3.53657019022e-05 4.35840370674
3.5562588603e-05 5.35843597473
3.57600168069e-05 6.35846824271
3.59579839374e-05 7.3585005107
3.61564873897e-05 8.35853277868
3.63555245305e-05 9.35856504666
3.65550926984e-05 10.3585973146
3.67551892039e-05 11.3586295826
3.69558113295e-05 12.3586618506
3.71569563297e-05 13.3586941186
3.73586214313e-05 14.3587263866
3.75608038335e-05 15.3587586546
3.77635007079e-05 16.3587909226
3.79667091987e-05 17.3588231905
3.81704264227e-05 18.3588554585
3.83746494698e-05 19.3588877265
3.85793754024e-05 20.3589199945
3.87846012566e-05 21.3589522625
3.89903240412e-05 22.3589845305
3.91965407386e-05 23.3590167984
3.94032483047e-05 24.3590490664
3.96104436691e-05 25.3590813344
3.9818123735e-05 26.3591136024
4.00262853797e-05 27.3591458704
4.02349254547e-05 28.3591781384
4.04440407855e-05 29.3592104063
4.0653628172e-05 30.3592426743
4.0863684389e-05 31.3592749423
4.10742061856e-05 32.3593072103
4.12851902861e-05 33.3593394783
4.14966333896e-05 34.3593717463
4.17085321707e-05 35.3594040142
4.19208832791e-05 36.3594362822
4.21336833402e-05 37.3594685502
4.23469289552e-05 38.3595008182
4.2560616701e-05 39.3595330862
4.27747431309e-05 40.3595653542
4.29893047742e-05 41.3595976222
4.32042981368e-05 42.3596298901
4.34197197012e-05 43.3596621581
4.36355659267e-05 44.3596944261
4.38518332498e-05 45.3597266941
4.4068518084e-05 46.3597589621
4.42856168203e-05 47.3597912301
4.45031258274e-05 48.359823498
4.47210414518e-05 49.359855766
4.49393600179e-05 50.359888034
4.51580778284e-05 51.359920302
4.53771911644e-05 52.35995257
4.55966962857e-05 53.359984838
4.58165894309e-05 54.3600171059
4.60368668177e-05 55.3600493739
4.62575246431e-05 56.3600816419
4.64785590835e-05 57.3601139099
4.66999662951e-05 58.3601461779
4.69217424141e-05 59.3601784459
4.71438835566e-05 60.3602107138
4.73663858194e-05 61.3602429818
4.75892452797e-05 62.3602752498
4.78124579957e-05 63.3603075178
4.80360200065e-05 64.3603397858
4.82599273327e-05 65.3603720538
4.84841759762e-05 66.3604043217
4.87087619209e-05 67.3604365897
4.89336811325e-05 68.3604688577
4.91589295593e-05 69.3605011257
4.93845031316e-05 70.3605333937
