pdf x_grid
2.92805590203e-06 -164.223571777
2.94406626868e-06 -163.446169678
2.96014131872e-06 -162.668767579
2.97628146533e-06 -161.891365479
2.99248712675e-06 -161.11396338
3.00875872633e-06 -160.336561281
3.02509669252e-06 -159.559159181
3.04150145888e-06 -158.781757082
3.05797346409e-06 -158.004354983
3.07451315197e-06 -157.226952883
3.09112097148e-06 -156.449550784
3.10779737675e-06 -155.672148685
3.12454282703e-06 -154.894746585
3.14135778678e-06 -154.117344486
3.15824272561e-06 -153.339942387
3.1751981183e-06 -152.562540287
3.19222444483e-06 -151.785138188
3.20932219037e-06 -151.007736089
3.22649184527e-06 -150.230333989
3.24373390508e-06 -149.45293189
3.26104887055e-06 -148.675529791
3.27843724762e-06 -147.898127691
3.29589954743e-06 -147.120725592
3.31343628633e-06 -146.343323493
3.33104798584e-06 -145.565921393
3.34873517272e-06 -144.788519294
3.36649837888e-06 -144.011117194
3.38433814145e-06 -143.233715095
3.40225500275e-06 -142.456312996
3.42024951025e-06 -141.678910896
3.43832221665e-06 -140.901508797
3.45647367977e-06 -140.124106698
3.47470446264e-06 -139.346704598
3.49301513342e-06 -138.569302499
3.51140626545e-06 -137.7919004
3.52987843718e-06 -137.0144983
3.54843223223e-06 -136.237096201
3.5670682393e-06 -135.459694102
3.58578705226e-06 -134.682292002
3.60458927003e-06 -133.904889903
3.62347549665e-06 -133.127487804
3.64244634123e-06 -132.350085704
3.66150241794e-06 -131.572683605
3.680644346e-06 -130.795281506
3.69987274967e-06 -130.017879406
3.71918825823e-06 -129.240477307
3.73859150595e-06 -128.463075208
3.75808313212e-06 -127.685673108
3.77766378095e-06 -126.908271009
3.79733410163e-06 -126.13086891
3.81709474829e-06 -125.35346681
3.83694637995e-06 -124.576064711
3.85688966052e-06 -123.798662612
3.87692525881e-06 -123.021260512
3.89705384845e-06 -122.243858413
3.91727610791e-06 -121.466456314
3.93759272045e-06 -120.689054214
3.95800437414e-06 -119.911652115
3.97851176176e-06 -119.134250016
3.99911558087e-06 -118.356847916
4.0198165337e-06 -117.579445817
4.04061532718e-06 -116.802043718
4.06151267289e-06 -116.024641618
4.08250928702e-06 -115.247239519
4.10360589038e-06 -114.46983742
4.12480320833e-06 -113.69243532
4.14610197078e-06 -112.915033221
4.16750291215e-06 -112.137631122
4.18900677134e-06 -111.360229022
4.2106142917e-06 -110.582826923
4.23232622099e-06 -109.805424823
4.25414331135e-06 -109.028022724
4.27606631931e-06 -108.250620625
4.29809600567e-06 -107.473218525
4.32023313555e-06 -106.695816426
4.34247847832e-06 -105.918414327
4.36483280754e-06 -105.141012227
4.38729690097e-06 -104.363610128
4.40987154054e-06 -103.586208029
4.43255751224e-06 -102.808805929
4.45535560617e-06 -102.03140383
4.47826661646e-06 -101.254001731
4.50129134123e-06 -100.476599631
4.52443058256e-06 -99.6991975321
4.54768514646e-06 -98.9217954327
4.5710558428e-06 -98.1443933334
4.59454348532e-06 -97.366991234
4.61814889155e-06 -96.5895891347
4.64187288277e-06 -95.8121870354
4.66571628401e-06 -95.034784936
4.68967992394e-06 -94.2573828367
4.71376463491e-06 -93.4799807373
4.73797125283e-06 -92.702578638
4.76230061718e-06 -91.9251765386
4.78675357095e-06 -91.1477744393
4.8113309606e-06 -90.37037234
4.83603363599e-06 -89.5929702406
4.86086245039e-06 -88.8155681413
4.88581826038e-06 -88.0381660419
4.91090192586e-06 -87.2607639426
4.93611430994e-06 -86.4833618433
4.96145627895e-06 -85.7059597439
4.98692870237e-06 -84.9285576446
5.01253245279e-06 -84.1511555452
5.03826840586e-06 -83.3737534459
5.06413744025e-06 -82.5963513466
5.0901404376e-06 -81.8189492472
5.11627828245e-06 -81.0415471479
5.14255186225e-06 -80.2641450485
5.16896206725e-06 -79.4867429492
5.1955097905e-06 -78.7093408499
5.22219592777e-06 -77.9319387505
5.2490213775e-06 -77.1545366512
5.2759870408e-06 -76.3771345518
5.30309382134e-06 -75.5997324525
5.33034262534e-06 -74.8223303532
5.35773436151e-06 -74.0449282538
5.38526994098e-06 -73.2675261545
5.41295027731e-06 -72.4901240551
5.44077628637e-06 -71.7127219558
5.46874888634e-06 -70.9353198564
5.49686899763e-06 -70.1579177571
5.52513754286e-06 -69.3805156578
5.55355544679e-06 -68.6031135584
5.58212363627e-06 -67.8257114591
5.6108430402e-06 -67.0483093597
5.63971458946e-06 -66.2709072604
5.6687392169e-06 -65.4935051611
5.69791785726e-06 -64.7161030617
5.72725144711e-06 -63.9387009624
5.75674092483e-06 -63.161298863
5.78638723054e-06 -62.3838967637
5.81619130605e-06 -61.6064946644
5.84615409484e-06 -60.829092565
5.87627654196e-06 -60.0516904657
5.90655959401e-06 -59.2742883663
5.93700419911e-06 -58.496886267
5.96761130679e-06 -57.7194841677
5.99838186801e-06 -56.9420820683
6.02931683506e-06 -56.164679969
6.06041716152e-06 -55.3872778696
6.09168380225e-06 -54.6098757703
6.12311771327e-06 -53.832473671
6.15471985178e-06 -53.0550715716
6.18649117607e-06 -52.2776694723
6.21843264548e-06 -51.5002673729
6.25054522035e-06 -50.7228652736
6.28282986198e-06 -49.9454631742
6.31528753258e-06 -49.1680610749
6.34791919522e-06 -48.3906589756
