pdf x_grid
4.86584483993e-06 -83.3082962036
4.91274832063e-06 -82.5189363404
4.95995416751e-06 -81.7295764771
5.00746324203e-06 -80.9402166138
5.05527641088e-06 -80.1508567506
5.10339454621e-06 -79.3614968873
5.15181852591e-06 -78.572137024
5.20054923389e-06 -77.7827771608
5.24958756033e-06 -76.9934172975
5.298934402e-06 -76.2040574342
5.34859066245e-06 -75.414697571
5.39855725236e-06 -74.6253377077
5.4488350898e-06 -73.8359778445
5.49942510048e-06 -73.0466179812
5.55032821808e-06 -72.2572581179
5.60154538448e-06 -71.4678982547
5.65307755008e-06 -70.6785383914
5.70492567409e-06 -69.8891785281
5.75709072477e-06 -69.0998186649
5.80957367978e-06 -68.3104588016
5.86237552643e-06 -67.5210989384
5.91549726196e-06 -66.7317390751
5.96893989388e-06 -65.9423792118
6.0227044402e-06 -65.1530193486
6.07679192976e-06 -64.3636594853
6.13120340254e-06 -63.574299622
6.18593990988e-06 -62.7849397588
6.24100251487e-06 -61.9955798955
6.29639229255e-06 -61.2062200323
6.35211033028e-06 -60.416860169
6.40815772799e-06 -59.6275003057
6.46453559849e-06 -58.8381404425
6.52124506774e-06 -58.0487805792
6.5782872752e-06 -57.2594207159
6.63566337404e-06 -56.4700608527
6.69337453151e-06 -55.6807009894
6.75142192919e-06 -54.8913411261
6.80980676329e-06 -54.1019812629
6.86853024493e-06 -53.3126213996
6.92759360047e-06 -52.5232615364
6.98699807174e-06 -51.7339016731
7.04674491636e-06 -50.9445418098
7.10683540803e-06 -50.1551819466
7.1672708368e-06 -49.3658220833
7.22805250935e-06 -48.57646222
7.28918174929e-06 -47.7871023568
7.35065989743e-06 -46.9977424935
7.41248831205e-06 -46.2083826303
7.47466836918e-06 -45.419022767
7.53720146288e-06 -44.6296629037
7.6000890055e-06 -43.8403030405
7.66333242794e-06 -43.0509431772
7.72693317997e-06 -42.2615833139
7.79089273042e-06 -41.4722234507
7.85521256748e-06 -40.6828635874
7.91989419896e-06 -39.8935037242
7.98493915253e-06 -39.1041438609
8.05034897599e-06 -38.3147839976
8.11612523749e-06 -37.5254241344
8.1822695258e-06 -36.7360642711
8.24878345056e-06 -35.9467044078
8.31566864249e-06 -35.1573445446
8.38292675362e-06 -34.3679846813
8.45055945757e-06 -33.578624818
8.51856844972e-06 -32.7892649548
8.58695544747e-06 -31.9999050915
8.65572219045e-06 -31.2105452283
8.7248704407e-06 -30.421185365
8.79440198296e-06 -29.6318255017
8.86431862477e-06 -28.8424656385
8.93462219676e-06 -28.0531057752
9.0053145528e-06 -27.2637459119
9.0763975702e-06 -26.4743860487
9.14787314991e-06 -25.6850261854
9.21974321668e-06 -24.8956663222
9.29200971923e-06 -24.1063064589
9.36467463047e-06 -23.3169465956
9.43773994759e-06 -22.5275867324
9.51120769229e-06 -21.7382268691
9.58507991089e-06 -20.9488670058
9.6593586745e-06 -20.1595071426
9.73404607913e-06 -19.3701472793
9.80914424589e-06 -18.5807874161
9.88465532104e-06 -17.7914275528
9.96058147619e-06 -17.0020676895
1.00369249084e-05 -16.2127078263
1.01136878401e-05 -15.423347963
1.01908725197e-05 -14.6339880997
1.02684812211e-05 -13.8446282365
