pdf x_grid
9.64926883251e-06 -280.155090332
9.78687971467e-06 -279.214183467
9.92606369602e-06 -278.273276601
1.00668343693e-05 -277.332369736
1.02092054259e-05 -276.391462871
1.03531906569e-05 -275.450556005
1.04988039543e-05 -274.50964914
1.06460593119e-05 -273.568742275
1.07949708267e-05 -272.627835409
1.09455527e-05 -271.686928544
1.10978192383e-05 -270.746021679
1.12517848548e-05 -269.805114813
1.140746407e-05 -268.864207948
1.15648715136e-05 -267.923301083
1.17240219249e-05 -266.982394217
1.18849301544e-05 -266.041487352
1.20476111648e-05 -265.100580487
1.22120800322e-05 -264.159673621
1.23783519471e-05 -263.218766756
1.25464422157e-05 -262.27785989
1.27163662609e-05 -261.336953025
1.28881396236e-05 -260.39604616
1.30617779636e-05 -259.455139294
1.3237297061e-05 -258.514232429
1.34147128168e-05 -257.573325564
1.35940412548e-05 -256.632418698
1.37752985219e-05 -255.691511833
1.39585008897e-05 -254.750604968
1.41436647554e-05 -253.809698102
1.43308066429e-05 -252.868791237
1.45199432036e-05 -251.927884372
1.47110912179e-05 -250.986977506
1.49042675959e-05 -250.046070641
1.50994893785e-05 -249.105163776
1.52967737385e-05 -248.16425691
1.54961379812e-05 -247.223350045
1.5697599546e-05 -246.28244318
1.59011760066e-05 -245.341536314
1.61068850727e-05 -244.400629449
1.63147445902e-05 -243.459722584
1.65247725425e-05 -242.518815718
1.67369870511e-05 -241.577908853
1.6951406377e-05 -240.637001988
1.71680489206e-05 -239.696095122
1.73869332234e-05 -238.755188257
1.7608077968e-05 -237.814281392
1.78315019794e-05 -236.873374526
1.80572242256e-05 -235.932467661
1.8285263818e-05 -234.991560795
1.85156400122e-05 -234.05065393
1.87483722088e-05 -233.109747065
1.89834799539e-05 -232.168840199
1.92209829393e-05 -231.227933334
1.94609010038e-05 -230.287026469
1.97032541327e-05 -229.346119603
1.99480624592e-05 -228.405212738
2.01953462643e-05 -227.464305873
2.04451259772e-05 -226.523399007
2.06974221758e-05 -225.582492142
2.09522555869e-05 -224.641585277
2.12096470866e-05 -223.700678411
2.14696177005e-05 -222.759771546
2.17321886038e-05 -221.818864681
2.19973811214e-05 -220.877957815
2.22652167283e-05 -219.93705095
2.25357170493e-05 -218.996144085
2.28089038593e-05 -218.055237219
2.30847990832e-05 -217.114330354
2.33634247959e-05 -216.173423489
2.36448032218e-05 -215.232516623
2.39289567353e-05 -214.291609758
2.421590786e-05 -213.350702893
2.45056792688e-05 -212.409796027
2.47982937836e-05 -211.468889162
2.50937743745e-05 -210.527982297
2.53921441601e-05 -209.587075431
2.56934264066e-05 -208.646168566
2.59976445272e-05 -207.7052617
2.6304822082e-05 -206.764354835
2.66149827771e-05 -205.82344797
2.69281504638e-05 -204.882541104
2.72443491383e-05 -203.941634239
2.75636029407e-05 -203.000727374
2.78859361539e-05 -202.059820508
2.82113732035e-05 -201.118913643
2.85399386561e-05 -200.178006778
2.88716572188e-05 -199.237099912
2.92065537377e-05 -198.296193047
2.95446531976e-05 -197.355286182
2.98859807198e-05 -196.414379316
3.02305615621e-05 -195.473472451
3.05784211162e-05 -194.532565586
3.09295849077e-05 -193.59165872
3.12840785936e-05 -192.650751855
3.16419279618e-05 -191.70984499
3.2003158929e-05 -190.768938124
3.23677975392e-05 -189.828031259
3.27358699624e-05 -188.887124394
3.31074024927e-05 -187.946217528
3.34824215468e-05 -187.005310663
3.38609536617e-05 -186.064403798
3.42430254936e-05 -185.123496932
3.46286638152e-05 -184.182590067
3.50178955146e-05 -183.241683202
3.54107475924e-05 -182.300776336
3.58072471603e-05 -181.359869471
3.62074214387e-05 -180.418962605
3.66112977542e-05 -179.47805574
3.70189035381e-05 -178.537148875
3.74302663232e-05 -177.596242009
3.7845413742e-05 -176.655335144
