pdf x_grid
6.5294372151e-06 32.0352783203
6.56965471317e-06 32.74853772
6.61008123756e-06 33.4617971197
6.65071785441e-06 34.1750565193
6.69156563477e-06 34.888315919
6.73262565456e-06 35.6015753187
6.77389899458e-06 36.3148347183
6.81538674044e-06 37.028094118
6.85708998257e-06 37.7413535177
6.89900981618e-06 38.4546129173
6.94114734125e-06 39.167872317
6.98350366248e-06 39.8811317167
7.02607988927e-06 40.5943911164
7.0688771357e-06 41.307650516
7.11189652049e-06 42.0209099157
7.15513916699e-06 42.7341693154
7.19860620313e-06 43.447428715
7.24229876137e-06 44.1606881147
7.28621797873e-06 44.8739475144
7.33036499671e-06 45.5872069141
7.37474096125e-06 46.3004663137
7.41934702273e-06 47.0137257134
7.46418433591e-06 47.7269851131
7.50925405992e-06 48.4402445127
7.55455735821e-06 49.1535039124
7.60009539848e-06 49.8667633121
7.6458693527e-06 50.5800227117
7.69188039707e-06 51.2932821114
7.73812971191e-06 52.0065415111
7.78461848171e-06 52.7198009108
7.83134789504e-06 53.4330603104
7.87831914451e-06 54.1463197101
7.92553342677e-06 54.8595791098
7.97299194241e-06 55.5728385094
8.02069589596e-06 56.2860979091
8.06864649584e-06 56.9993573088
8.1168449543e-06 57.7126167084
8.1652924874e-06 58.4258761081
8.21399031495e-06 59.1391355078
8.26293966047e-06 59.8523949075
8.31214175114e-06 60.5656543071
8.36159781777e-06 61.2789137068
8.41130909473e-06 61.9921731065
8.46127681992e-06 62.7054325061
8.51150223471e-06 63.4186919058
8.56198658391e-06 64.1319513055
8.61273111572e-06 64.8452107052
8.66373708163e-06 65.5584701048
8.71500573647e-06 66.2717295045
8.76653833825e-06 66.9849889042
8.81833614819e-06 67.6982483038
8.87040043063e-06 68.4115077035
8.92273245299e-06 69.1247671032
8.97533348573e-06 69.8380265028
9.02820480227e-06 70.5512859025
9.08134767894e-06 71.2645453022
9.13476339496e-06 71.9778047019
9.18845323236e-06 72.6910641015
9.24241847592e-06 73.4043235012
9.29666041312e-06 74.1175829009
9.35118033411e-06 74.8308423005
9.40597953163e-06 75.5441017002
9.46105930095e-06 76.2573610999
9.51642093982e-06 76.9706204995
9.57206574842e-06 77.6838798992
9.6279950293e-06 78.3971392989
9.68421008734e-06 79.1103986986
9.74071222964e-06 79.8236580982
9.79750276551e-06 80.5369174979
9.85458300641e-06 81.2501768976
9.91195426587e-06 81.9634362972
9.96961785943e-06 82.6766956969
1.00275751046e-05 83.3899550966
1.00858273208e-05 84.1032144963
1.01443758293e-05 84.8164738959
1.02032219531e-05 85.5297332956
1.0262367017e-05 86.2429926953
1.03218123473e-05 86.9562520949
1.03815592722e-05 87.6695114946
1.04416091212e-05 88.3827708943
1.05019632252e-05 89.0960302939
1.05626229169e-05 89.8092896936
1.06235895298e-05 90.5225490933
1.06848643993e-05 91.235808493
1.07464488615e-05 91.9490678926
1.08083442541e-05 92.6623272923
1.08705519155e-05 93.375586692
1.09330731855e-05 94.0888460916
1.09959094048e-05 94.8021054913
1.10590619147e-05 95.515364891
1.11225320579e-05 96.2286242907
1.11863211774e-05 96.9418836903
1.12504306173e-05 97.65514309
1.1314861722e-05 98.3684024897
1.13796158369e-05 99.0816618893
1.14446943077e-05 99.794921289
1.15100984806e-05 100.508180689
1.15758297023e-05 101.221440088
1.16418893198e-05 101.934699488
1.17082786803e-05 102.647958888
1.17749991314e-05 103.361218287
1.18420520208e-05 104.074477687
1.19094386963e-05 104.787737087
1.19771605056e-05 105.500996486
1.20452187967e-05 106.214255886
1.2113614917e-05 106.927515286
1.21823502144e-05 107.640774685
1.2251426036e-05 108.354034085
1.23208437289e-05 109.067293485
1.23906046399e-05 109.780552884
1.24607101153e-05 110.493812284
1.25311615009e-05 111.207071684
1.2601960142e-05 111.920331083
1.26731073835e-05 112.633590483
1.27446045694e-05 113.346849883
1.2816453043e-05 114.060109282
1.2888654147e-05 114.773368682
1.29612092232e-05 115.486628082
1.30341196123e-05 116.199887481
1.31073866544e-05 116.913146881
1.31810116882e-05 117.626406281
1.32549960517e-05 118.33966568
1.33293410815e-05 119.05292508
1.3404048113e-05 119.76618448
1.34791184804e-05 120.479443879
1.35545535168e-05 121.192703279
1.36303545534e-05 121.905962679
1.37065229206e-05 122.619222078
1.37830599467e-05 123.332481478
1.38599669588e-05 124.045740878
1.39372452824e-05 124.759000277
1.40148962411e-05 125.472259677
1.4092921157e-05 126.185519077
1.41713213503e-05 126.898778476
1.42500981394e-05 127.612037876
1.43292528407e-05 128.325297276
1.44087867688e-05 129.038556675
1.44887012361e-05 129.751816075
1.45689975531e-05 130.465075475
1.46496770282e-05 131.178334875
1.47307409675e-05 131.891594274
1.48121906748e-05 132.604853674
1.48940274519e-05 133.318113074
1.49762525979e-05 134.031372473
1.50588674099e-05 134.744631873
1.51418731823e-05 135.457891273
1.52252712069e-05 136.171150672
1.53090627734e-05 136.884410072
1.53932491684e-05 137.597669472
1.54778316761e-05 138.310928871
1.55628115781e-05 139.024188271
1.5648190153e-05 139.737447671
1.57339686768e-05 140.45070707
1.58201484225e-05 141.16396647
1.59067306604e-05 141.87722587
1.59937166577e-05 142.590485269
1.60811076786e-05 143.303744669
1.61689049844e-05 144.017004069
1.62571098332e-05 144.730263468
1.634572348e-05 145.443522868
1.64347471767e-05 146.156782268
1.65241821719e-05 146.870041667
1.66140297109e-05 147.583301067
1.67042910359e-05 148.296560467
1.67949673855e-05 149.009819866
1.6886059995e-05 149.723079266
1.69775700964e-05 150.436338666
1.7069498918e-05 151.149598065
1.71618476848e-05 151.862857465
1.72546176181e-05 152.576116865
1.73478099357e-05 153.289376264
1.74414258518e-05 154.002635664
1.75354665767e-05 154.715895064
1.76299333173e-05 155.429154463
1.77248272765e-05 156.142413863
1.78201496536e-05 156.855673263
1.7915901644e-05 157.568932662
1.80120844392e-05 158.282192062
1.8108699227e-05 158.995451462
1.82057471911e-05 159.708710861
1.83032295112e-05 160.421970261
1.84011473633e-05 161.135229661
1.84995019191e-05 161.84848906
1.85982943464e-05 162.56174846
1.86975258088e-05 163.27500786
1.87971974658e-05 163.988267259
1.8897310473e-05 164.701526659
1.89978659816e-05 165.414786059
1.90988651385e-05 166.128045458
1.92003090867e-05 166.841304858
1.93021989646e-05 167.554564258
1.94045359067e-05 168.267823657
1.95073210428e-05 168.981083057
1.96105554986e-05 169.694342457
1.97142403955e-05 170.407601856
1.98183768502e-05 171.120861256
1.99229659755e-05 171.834120656
2.00280088792e-05 172.547380055
2.01335066652e-05 173.260639455
2.02394604325e-05 173.973898855
2.03458712759e-05 174.687158254
2.04527402854e-05 175.400417654
2.05600685468e-05 176.113677054
2.06678571412e-05 176.826936453
2.07761071451e-05 177.540195853
2.08848196303e-05 178.253455253
2.09939956643e-05 178.966714652
2.11036363099e-05 179.679974052
2.12137426249e-05 180.393233452
2.1324315663e-05 181.106492851
2.14353564729e-05 181.819752251
2.15468660986e-05 182.533011651
2.16588455796e-05 183.24627105
2.17712959506e-05 183.95953045
2.18842182416e-05 184.67278985
2.19976134777e-05 185.386049249
2.21114826796e-05 186.099308649
2.2225826863e-05 186.812568049
2.23406470389e-05 187.525827448
2.24559442134e-05 188.239086848
2.25717193882e-05 188.952346248
2.26879735598e-05 189.665605647
2.28047077202e-05 190.378865047
2.29219228563e-05 191.092124447
2.30396199505e-05 191.805383846
2.31577999802e-05 192.518643246
2.32764639181e-05 193.231902646
2.33956127319e-05 193.945162046
2.35152473847e-05 194.658421445
2.36353688346e-05 195.371680845
2.37559780349e-05 196.084940245
2.3877075934e-05 196.798199644
2.39986634758e-05 197.511459044
2.41207415988e-05 198.224718444
2.42433112372e-05 198.937977843
2.43663733199e-05 199.651237243
2.44899287713e-05 200.364496643
2.46139785108e-05 201.077756042
2.4738523453e-05 201.791015442
2.48635645076e-05 202.504274842
2.49891025795e-05 203.217534241
2.51151385689e-05 203.930793641
2.52416733708e-05 204.644053041
2.53687078758e-05 205.35731244
2.54962429693e-05 206.07057184
2.56242795322e-05 206.78383124
2.57528184404e-05 207.497090639
2.5881860565e-05 208.210350039
2.60114067723e-05 208.923609439
2.61414579237e-05 209.636868838
2.62720148761e-05 210.350128238
2.64030784813e-05 211.063387638
2.65346495865e-05 211.776647037
2.6666729034e-05 212.489906437
2.67993176613e-05 213.203165837
2.69324163014e-05 213.916425236
2.70660257823e-05 214.629684636
2.72001469273e-05 215.342944036
2.7334780555e-05 216.056203435
2.74699274793e-05 216.769462835
2.76055885094e-05 217.482722235
2.77417644496e-05 218.195981634
2.78784560997e-05 218.909241034
2.80156642549e-05 219.622500434
2.81533897055e-05 220.335759833
2.82916332372e-05 221.049019233
2.84303956311e-05 221.762278633
2.85696776637e-05 222.475538032
2.87094801067e-05 223.188797432
2.88498037274e-05 223.902056832
2.89906492884e-05 224.615316231
2.91320175477e-05 225.328575631
2.92739092586e-05 226.041835031
2.94163251702e-05 226.75509443
2.95592660267e-05 227.46835383
2.97027325678e-05 228.18161323
2.9846725529e-05 228.894872629
2.99912456408e-05 229.608132029
3.01362936296e-05 230.321391429
3.02818702172e-05 231.034650828
3.04279761209e-05 231.747910228
3.05746120535e-05 232.461169628
3.07217787236e-05 233.174429027
3.08694768351e-05 233.887688427
3.10177070876e-05 234.600947827
3.11664701764e-05 235.314207226
3.13157667923e-05 236.027466626
3.14655976218e-05 236.740726026
3.16159633471e-05 237.453985425
3.17668646461e-05 238.167244825
3.19183021922e-05 238.880504225
3.20702766546e-05 239.593763624
3.22227886984e-05 240.307023024
3.23758389841e-05 241.020282424
3.25294281684e-05 241.733541823
3.26835569033e-05 242.446801223
3.28382258369e-05 243.160060623
3.29934356129e-05 243.873320022
3.31491868711e-05 244.586579422
3.33054802469e-05 245.299838822
3.34623163715e-05 246.013098221
3.36196958723e-05 246.726357621
3.37776193722e-05 247.439617021
3.39360874903e-05 248.15287642
3.40951008414e-05 248.86613582
3.42546600364e-05 249.57939522
3.44147656821e-05 250.292654619
3.45754183811e-05 251.005914019
3.47366187323e-05 251.719173419
3.48983673304e-05 252.432432818
3.50606647662e-05 253.145692218
3.52235116264e-05 253.858951618
3.53869084939e-05 254.572211017
3.55508559475e-05 255.285470417
3.57153545624e-05 255.998729817
3.58804049094e-05 256.711989216
3.6046007556e-05 257.425248616
3.62121630653e-05 258.138508016
3.63788719968e-05 258.851767416
3.65461349063e-05 259.565026815
3.67139523454e-05 260.278286215
3.68823248622e-05 260.991545615
3.70512530009e-05 261.704805014
3.72207373019e-05 262.418064414
3.73907783019e-05 263.131323814
3.75613765337e-05 263.844583213
3.77325325266e-05 264.557842613
3.7904246806e-05 265.271102013
3.80765198937e-05 265.984361412
3.82493523077e-05 266.697620812
3.84227445623e-05 267.410880212
3.85966971684e-05 268.124139611
3.87712106329e-05 268.837399011
3.89462854594e-05 269.550658411
3.91219221475e-05 270.26391781
3.92981211935e-05 270.97717721
3.94748830899e-05 271.69043661
3.96522083259e-05 272.403696009
3.98300973867e-05 273.116955409
4.00085507544e-05 273.830214809
4.01875689072e-05 274.543474208
4.03671523198e-05 275.256733608
4.05473014636e-05 275.969993008
4.07280168063e-05 276.683252407
4.09092988122e-05 277.396511807
4.1091147942e-05 278.109771207
4.12735646529e-05 278.823030606
4.14565493989e-05 279.536290006
4.16401026302e-05 280.249549406
4.18242247937e-05 280.962808805
4.20089163328e-05 281.676068205
4.21941776877e-05 282.389327605
4.23800092949e-05 283.102587004
4.25664115876e-05 283.815846404
4.27533849955e-05 284.529105804
4.29409299451e-05 285.242365203
4.31290468595e-05 285.955624603
4.33177361581e-05 286.668884003
4.35069982573e-05 287.382143402
4.36968335699e-05 288.095402802
4.38872425056e-05 288.808662202
4.40782254705e-05 289.521921601
4.42697828674e-05 290.235181001
4.4461915096e-05 290.948440401
4.46546225523e-05 291.6616998
4.48479056292e-05 292.3749592
4.50417647163e-05 293.0882186
4.52362001999e-05 293.801477999
4.54312124628e-05 294.514737399
4.56268018847e-05 295.227996799
4.5822968842e-05 295.941256198
4.60197137076e-05 296.654515598
4.62170368515e-05 297.367774998
4.64149386399e-05 298.081034397
4.66134194362e-05 298.794293797
4.68124796003e-05 299.507553197
4.70121194888e-05 300.220812596
4.72123394551e-05 300.934071996
4.74131398493e-05 301.647331396
4.76145210182e-05 302.360590795
4.78164833055e-05 303.073850195
4.80190270515e-05 303.787109595
4.82221525933e-05 304.500368994
4.84258602646e-05 305.213628394
4.8630150396e-05 305.926887794
4.88350233148e-05 306.640147193
4.90404793451e-05 307.353406593
4.92465188077e-05 308.066665993
4.945314202e-05 308.779925392
4.96603492964e-05 309.493184792
4.98681409479e-05 310.206444192
5.00765172822e-05 310.919703591
5.02854786039e-05 311.632962991
5.04950252142e-05 312.346222391
5.07051574112e-05 313.05948179
5.09158754895e-05 313.77274119
5.11271797406e-05 314.48600059
5.13390704527e-05 315.199259989
5.15515479109e-05 315.912519389
5.17646123966e-05 316.625778789
5.19782641884e-05 317.339038188
5.21925035613e-05 318.052297588
5.24073307872e-05 318.765556988
5.26227461346e-05 319.478816387
5.28387498689e-05 320.192075787
5.30553422519e-05 320.905335187
5.32725235425e-05 321.618594587
5.34902939958e-05 322.331853986
5.37086538642e-05 323.045113386
5.39276033962e-05 323.758372786
5.41471428375e-05 324.471632185
5.436727243e-05 325.184891585
5.45879924128e-05 325.898150985
5.48093030211e-05 326.611410384
5.50312044872e-05 327.324669784
5.52536970399e-05 328.037929184
5.54767809047e-05 328.751188583
5.57004563037e-05 329.464447983
5.59247234555e-05 330.177707383
5.61495825757e-05 330.890966782
5.63750338762e-05 331.604226182
5.66010775656e-05 332.317485582
5.68277138491e-05 333.030744981
5.70549429287e-05 333.744004381
5.72827650027e-05 334.457263781
5.75111802662e-05 335.17052318
5.77401889107e-05 335.88378258
5.79697911245e-05 336.59704198
5.81999870923e-05 337.310301379
5.84307769953e-05 338.023560779
5.86621610115e-05 338.736820179
