Strain	Replicate	iRep	R2	Coverage	PercentPass	Genus	Pi	Pi_var	Pi_prob	W_theta	W_theta_var	T_D	decay	evolvability	N0	Log_LR	log_evolvability	model_type
ATCC43928	A	7.41870884641	8.22472363943	0.947529314553	12.972011946	Pseudomonas	2.44109195788	2.16505012446	3.22368714361e-06	1.24048109813	0.29901283429	2.12015158433	-0.00394975103839	6.96589992707e-06	4.12139875129	31.1712766892	-11.874483752	1
KBS0703	A	1.27483771896	0.992301381036	120.024658839	99.98	Arthrobacter	0.272162390089	0.107762612871	5.00685990609e-07	0.154098241726	0.0246722960832	0.706854123698	-0.00240798617174	0.0	5.71167628445	10.5281400264	-inf	0
KBS0703	B	1.24935762671	0.988265089659	79.834087361	99.98	Arthrobacter	0.269218795308	0.1064200344	4.95270779974e-07	0.154098241726	0.0246722960832	0.68923072033	-0.00264197867502	0.0	5.75642369797	6.59438198833	-inf	0
KBS0703	C	1.23068898945	0.986682632319	88.6371498372	99.98	Arthrobacter	0.257488823561	0.10110843195	4.73691631872e-07	0.154098241726	0.0246722960832	0.619002975374	-0.00246317050911	3.34724047547e-06	5.49700651045	20.1878629486	-12.6073742903	1
KBS0703	D	1.24130340393	0.987044627759	86.7163572678	99.98	Arthrobacter	0.306173189649	0.123555814691	5.63254264144e-07	0.154098241726	0.0246722960832	0.910477952374	-0.00234280104144	3.15783249385e-06	5.50506956924	17.9626435868	-12.6656246854	1
KBS0711	A	1.27704555951	0.982251715902	40.3635900259	99.98	Janthinobacterium	0.822479240337	0.42605623405	1.17537332848e-06	0.291054771826	0.0453042505585	2.17687539241	-0.00324564332342	5.98584002789e-06	3.94545542443	28.584059925	-12.0261138733	1
KBS0711	C	1.3558307122	0.979029436783	45.8878628757	99.98	Janthinobacterium	0.303811293246	0.122126945809	4.34164989776e-07	0.140104314237	0.020262476844	0.992536935465	-0.00251502975001	6.95594916213e-06	4.08992782046	47.8123949301	-11.87591327	1
KBS0711	D	1.34270153604	0.980933421385	44.9296206598	99.98	Janthinobacterium	0.84762278449	0.443834550636	1.2113049967e-06	0.291054771826	0.0453042505585	2.27987095582	-0.0172818777473	0.0	6.11586614812	3.37736715338	-inf	0
KBS0711	K	1.37736974972	0.970499354253	54.8151275234	99.98	Janthinobacterium	0.81309334912	0.419492012141	1.16196031371e-06	0.291054771826	0.0453042505585	2.13842794251	-0.000661729878609	0.0	4.85208266772	8.54194499983	-inf	0
KBS0711	L	2.5260565756	0.974494972842	324.16216786	99.96	Janthinobacterium	1.7314136228	1.24769302965	2.47429636275e-06	1.30053723183	0.245968007983	0.672626034019	-0.0131763249911	0.0	5.12770181354	5.44342572364	-inf	0
KBS0711	WA	1.48784063421	0.985310897888	42.5222265837	99.98	Janthinobacterium	0.873474140242	0.462407379292	1.24824817115e-06	0.291054771826	0.0453042505585	2.38576592967	-0.00308863705211	9.35178168958e-06	4.25930049555	28.0127721137	-11.5799436778	1
KBS0711	WC	1.53612094566	0.984222667803	46.0119020169	99.98	Janthinobacterium	0.754838067648	0.379628846541	1.07870994005e-06	0.291054771826	0.0453042505585	1.8997966859	-0.00313265913954	1.06042139059e-05	4.10307728804	31.5431715798	-11.4542590975	1
KBS0711	WD	1.45482270557	0.9877021442	26.4232516917	99.98	Janthinobacterium	0.475143547054	0.209141476008	6.7900929898e-07	0.140104314237	0.020262476844	2.03130505135	-0.00246851947254	9.02438872208e-06	4.25560965179	18.4269962999	-11.6155797877	1
KBS0712	B	1.63512550883	1.66904769135	0.995924230501	42.7282238931	Variovorax	0.475242486193	0.210815900979	5.83342931519e-07	0.171773910123	0.0309337949555	1.80210048639	-0.00175771149735	0.0	5.75126721171	0.938636776587	-inf	0
KBS0712	C	1.55763412463	1.58520599661	0.995305158733	46.1230854198	Variovorax	0.499883783594	0.224513174344	6.13589231208e-07	0.171773910123	0.0309337949555	1.94842896167	-0.0020413480082	0.0	5.70762236108	0.134806154748	-inf	0
KBS0712	D	1.5688940127	1.60552170062	0.994494248655	37.8449063266	Variovorax	0.496017654786	0.22234608346	6.08843698183e-07	0.171773910123	0.0309337949555	1.92547056283	-0.000986065859946	0.0	6.0052436505	0.349197320712	-inf	0
KBS0713	B	1.28900790394	0.987587911033	48.3844072993	99.98	Yersinia	0.480126853904	0.21421100712	1.06223930332e-06	0.18016404112	0.0341848797974	1.77902210458	-0.00221846324729	5.37532525156e-06	4.76475647282	24.5553837715	-12.1336914739	1
KBS0713	C	1.5636256793	0.969301798419	47.2110478845	99.98	Yersinia	0.502596991329	0.226781038266	1.11195254666e-06	0.18016404112	0.0341848797974	1.91228819447	-0.00157272891928	7.41784617062e-06	4.87308519308	33.8329414168	-11.8116218164	1
KBS0715	D	1.55275471602	0.986538115461	50.406684718	99.96	Curtobacterium	0.486629805589	0.218615122103	9.92224999824e-07	0.188047912876	0.037408040911	1.77112420928	-0.00158552687622	6.58574610694e-06	4.05359150871	30.4092188228	-11.9306029252	1
KBS0722	D	1.21893239925	0.98401001838	92.7164699633	99.74	Oerskovia	0.483875412087	0.216800778926	8.44243121027e-07	0.185409752352	0.036311129191	1.77008941892	-0.00168459461975	0.0	5.885640795	1.73337342933	-inf	0
KBS0724	B	1.41792009927	0.700458853984	38.705617997	88.52	Rhodococcus	0.407043094019	0.17398882575	5.01803087203e-07	0.165944623336	0.0287817434954	1.43434508318	-0.0039505101783	5.06072055106e-06	3.99086937588	24.0204619853	-12.1940016834	1
KBS0724	C	1.39004738065	0.707125012984	34.0813754013	88.42	Rhodococcus	0.328098398867	0.134438397433	4.04479997025e-07	0.165944623336	0.0287817434954	0.964686627805	-0.00434961009591	3.99320004066e-06	3.93560736787	13.5174497545	-12.4309176333	1
KBS0727	A	1.39627487499	0.981575718765	29.7056075364	99.98	Bradyrhizobium	1.48523964141	0.992517093762	1.92119785974e-06	0.484768740388	0.0884047026532	3.16288952159	-0.0059432932803	0.0	4.91990462593	3.59937046181	-inf	0
KBS0727	B	1.37882047744	0.982398168905	33.0834085357	99.98	Bradyrhizobium	1.45634276433	0.963785895473	1.88381896354e-06	0.484768740388	0.0884047026532	3.07153491086	-0.00674605924311	0.0	4.46604332237	0.719538023255	-inf	0
KBS0727	C	1.38451948307	0.989553423135	32.2347951649	99.98	Bradyrhizobium	1.49619025652	1.00350260515	1.93536277814e-06	0.484768740388	0.0884047026532	3.19750880512	-0.00789205120717	0.0	3.90597451409	7.69640573372	-inf	0
KBS0727	D	1.39152232877	0.988899621974	34.7782932831	99.98	Bradyrhizobium	1.49630328099	1.00361626972	1.93550897836e-06	0.484768740388	0.0884047026532	3.19786612076	-0.00769253307886	0.0	4.18387800952	1.42448559243	-inf	0
KBS0801	A	1.99489560377	2.68620373377	0.989637600854	39.3615164381	Burkholderia	0.254436344743	0.0994135360058	2.84988222106e-07	0.135056599909	0.018787207249	0.728192868102	-0.00320528820875	0.0	6.08364652826	7.89804413445	-inf	0
KBS0801	B	1.85783894643	2.41471465458	0.990727778511	37.565721921	Burkholderia	0.314740905409	0.12720278495	3.52533955583e-07	0.135056599909	0.018787207249	1.09603877908	-0.00327544676315	0.0	6.08261308651	5.90479888234	-inf	0
KBS0801	C	1.93809363621	2.60436171594	0.987450917877	33.7051747403	Burkholderia	0.337212344907	0.137972215139	3.77703691445e-07	0.135056599909	0.018787207249	1.2331101223	-0.00322585217752	0.0	6.11278170707	2.115069488	-inf	0
KBS0801	D	2.19009754701	3.48536090513	0.980331003418	16.2841496283	Burkholderia	0.21429026068	0.0818117190588	2.40021528636e-07	0.135056599909	0.018787207249	0.483309683455	-0.00305420434964	0.0	6.08084167317	0.745702969496	-inf	0
KBS0802	A	1.60934932027	0.89386510331	39.0911556612	99.94	Pseudomonas	1.48158028098	0.989671596485	2.02595416515e-06	0.493379399119	0.0919442982662	3.11549858181	-0.00352900769193	1.0142577535e-05	3.69416952796	44.0921306913	-11.4987683973	1
KBS0802	B	1.56719440442	0.871899711843	38.4063964186	99.95	Pseudomonas	1.49092091602	0.999031036286	2.03872680982e-06	0.493379399119	0.0919442982662	3.14494677981	-0.00322100902701	1.05341225823e-05	3.69853211907	39.4796948487	-11.4608908002	1
KBS0802	C	1.59332225696	0.8746393915	39.6855394123	99.95	Pseudomonas	1.49451226316	1.00424493605	2.04363771798e-06	0.677660271835	0.13642258849	2.13549165036	-0.00347109650454	1.02892842283e-05	3.68062466486	47.5510059581	-11.4844075705	1
KBS0802	D	1.60455169574	0.866507222174	44.146223935	99.95	Pseudomonas	2.00489688949	1.57682531195	2.74155187952e-06	0.677660271835	0.13642258849	3.4697873607	-0.00348421431671	9.60838076538e-06	3.74125674264	31.9948209544	-11.5528748439	1
KBS0812	A	1.47702968772	0.988210788612	98.606142801	100.0	Bacillus	3.32180963856	3.57686822784	6.1802489331e-06	1.97350737932	0.447018800894	1.56978102119	-2.97051138374e-05	0.0	4.99898235087	4.14882739242	-inf	0
KBS0812	B	1.52684466783	0.979212151479	64.9128617742	100.0	Bacillus	3.18130498794	3.32311627595	5.91883909584e-06	1.47831618914	0.297006661768	2.44216997385	-7.58058924805e-05	0.0	5.07711442062	0.339449288887	-inf	0
KBS0812	C	1.54482039063	0.981704923211	105.646984893	100.0	Bacillus	4.58309460872	6.22446564474	8.52687801164e-06	2.41139255858	0.580377134456	2.15261854963	-7.87357681185e-05	0.0	5.00420845731	0.884626250937	-inf	0
KBS0812	D	1.54761463834	0.97696434847	113.826481008	100.0	Bacillus	4.42404356465	5.85069989903	8.23096248595e-06	2.25205758338	0.525911433518	2.26991225757	3.43872300534e-05	0.0	4.96366393183	0.00578454886134	-inf	0
