Strain Genus Replicate Pi Pi_var W_theta W_theta_var T_D
KBS0703 Arthrobacter A 0.272162390089 0.107762612871 0.154098241726 0.0246722960832 0.706854123698
KBS0703 Arthrobacter B 0.269218795308 0.1064200344 0.154098241726 0.0246722960832 0.68923072033
KBS0703 Arthrobacter C 0.257488823561 0.10110843195 0.154098241726 0.0246722960832 0.619002975374
KBS0703 Arthrobacter D 0.306173189649 0.123555814691 0.154098241726 0.0246722960832 0.910477952374
KBS0711 Janthinobacterium L 1.7314136228 1.24769302965 1.30053723183 0.245968007983 0.672626034019
KBS0711 Janthinobacterium A 0.822479240337 0.42605623405 0.291054771826 0.0453042505585 2.17687539241
KBS0711 Janthinobacterium C 0.303811293246 0.122126945809 0.140104314237 0.020262476844 0.992536935465
KBS0711 Janthinobacterium D 0.84762278449 0.443834550636 0.291054771826 0.0453042505585 2.27987095582
KBS0711 Janthinobacterium K 0.81309334912 0.419492012141 0.291054771826 0.0453042505585 2.13842794251
KBS0711 Janthinobacterium WA 0.873474140242 0.462407379292 0.291054771826 0.0453042505585 2.38576592967
KBS0711 Janthinobacterium WC 0.754838067648 0.379628846541 0.291054771826 0.0453042505585 1.8997966859
KBS0711 Janthinobacterium WD 0.475143547054 0.209141476008 0.140104314237 0.020262476844 2.03130505135
KBS0713 Yersinia A 0.0 0 0.18016404112 0.0341848797974 -1.06851848944
KBS0713 Yersinia B 0.480126853904 0.21421100712 0.18016404112 0.0341848797974 1.77902210458
KBS0713 Yersinia C 0.502596991329 0.226781038266 0.18016404112 0.0341848797974 1.91228819447
KBS0715 Curtobacterium D 0.486629805589 0.218615122103 0.188047912876 0.037408040911 1.77112420928
KBS0722 Oerskovia D 0.483875412087 0.216800778926 0.185409752352 0.036311129191 1.77008941892
KBS0724 Rhodococcus B 0.407043094019 0.17398882575 0.165944623336 0.0287817434954 1.43434508318
KBS0724 Rhodococcus C 0.328098398867 0.134438397433 0.165944623336 0.0287817434954 0.964686627805
KBS0727 Bradyrhizobium A 1.48523964141 0.992517093762 0.484768740388 0.0884047026532 3.16288952159
KBS0727 Bradyrhizobium B 1.45634276433 0.963785895473 0.484768740388 0.0884047026532 3.07153491086
KBS0727 Bradyrhizobium C 1.49619025652 1.00350260515 0.484768740388 0.0884047026532 3.19750880512
KBS0727 Bradyrhizobium D 1.49630328099 1.00361626972 0.484768740388 0.0884047026532 3.19786612076
KBS0802 Pseudomonas A 1.48158028098 0.989671596485 0.493379399119 0.0919442982662 3.11549858181
KBS0802 Pseudomonas B 1.49092091602 0.999031036286 0.493379399119 0.0919442982662 3.14494677981
KBS0802 Pseudomonas C 1.49451226316 1.00424493605 0.677660271835 0.13642258849 2.13549165036
KBS0802 Pseudomonas D 2.00489688949 1.57682531195 0.677660271835 0.13642258849 3.4697873607
KBS0812 Bacillus A 3.32180963856 3.57686822784 1.97350737932 0.447018800894 1.56978102119
KBS0812 Bacillus B 3.18130498794 3.32311627595 1.47831618914 0.297006661768 2.44216997385
KBS0812 Bacillus C 4.58309460872 6.22446564474 2.41139255858 0.580377134456 2.15261854963
KBS0812 Bacillus D 4.42404356465 5.85069989903 2.25205758338 0.525911433518 2.26991225757
