Pi	Reps	Strains	Treatments
3.817806	1	B	0
14.733156	2	B	0
4.397704	3	B	0
0.590348	4	B	0
11.327084	5	B	0
12.175166	2	B	1
1.385258	3	B	1
8.221056	4	B	1
10.24465	5	B	1
4.87136	1	B	2
9.35886	2	B	2
42.155132	4	B	2
5.310416	5	B	2
7.345338	1	C	0
7.528194	2	C	0
11.862476	3	C	0
8.223822	4	C	0
7.014142	5	C	0
11.286716	1	C	1
3.94443	2	C	1
10.165872	3	C	1
9.060512	5	C	1
20.48671	1	C	2
12.781098	2	C	2
15.85248	3	C	2
0.0	1	D	0
0.941398	2	D	0
0.526084	3	D	0
0.30107	4	D	0
28.811078	5	D	0
26.297332	1	D	1
6.21255	2	D	1
3.253892	4	D	1
10.269282	5	D	1
8.4585	1	D	2
6.307422	2	D	2
11.655686	3	D	2
9.71564	5	D	2
6.271712	1	F	0
5.91619	2	F	0
5.961226	3	F	0
15.975858	4	F	0
3.68275	5	F	0
7.919968	1	F	1
9.977832	4	F	1
13.855704	1	F	2
4.547804	2	F	2
7.706874	3	F	2
4.506154	4	F	2
27.649582	1	P	0
7.084482	2	P	0
7.97343	3	P	0
25.234994	4	P	0
7.908658	5	P	0
14.012152	1	P	1
15.051054	2	P	1
7.52296	4	P	1
4.842554	5	P	1
5.933702	1	P	2
9.802588	2	P	2
8.732422	3	P	2
15.894286	4	P	2
