Polymorphism_number	Reps	Strains	Treatments
24	1	Bacillus	0
62	2	Bacillus	0
41	3	Bacillus	0
4	4	Bacillus	0
62	5	Bacillus	0
68	2	Bacillus	1
10	3	Bacillus	1
58	4	Bacillus	1
44	5	Bacillus	1
33	1	Bacillus	2
71	2	Bacillus	2
115	4	Bacillus	2
26	5	Bacillus	2
79	1	Caulobacter	0
81	2	Caulobacter	0
102	3	Caulobacter	0
91	4	Caulobacter	0
95	5	Caulobacter	0
36	1	Caulobacter	1
11	2	Caulobacter	1
32	3	Caulobacter	1
25	5	Caulobacter	1
73	1	Caulobacter	2
70	2	Caulobacter	2
137	3	Caulobacter	2
4	1	Deinococcus	0
9	2	Deinococcus	0
4	3	Deinococcus	0
12	4	Deinococcus	0
245	5	Deinococcus	0
103	1	Deinococcus	1
77	2	Deinococcus	1
23	4	Deinococcus	1
34	5	Deinococcus	1
33	1	Deinococcus	2
38	2	Deinococcus	2
106	3	Deinococcus	2
55	5	Deinococcus	2
87	1	Pedobacter	0
52	2	Pedobacter	0
67	3	Pedobacter	0
114	4	Pedobacter	0
47	5	Pedobacter	0
28	1	Pedobacter	1
57	4	Pedobacter	1
66	1	Pedobacter	2
17	2	Pedobacter	2
29	3	Pedobacter	2
25	4	Pedobacter	2
216	1	Pseudomonas	0
139	2	Pseudomonas	0
216	3	Pseudomonas	0
342	4	Pseudomonas	0
151	5	Pseudomonas	0
61	1	Pseudomonas	1
52	2	Pseudomonas	1
44	4	Pseudomonas	1
24	5	Pseudomonas	1
23	1	Pseudomonas	2
40	2	Pseudomonas	2
36	3	Pseudomonas	2
66	4	Pseudomonas	2
