"(Intercept)"	"B_S.D100.category1"	"treats.D100.perm"	"B_S.D100.category1:treats.D100.perm"
"frequency_L0B5_D100"	0.868379146390775	-0.0809455463876498	0	0
"frequency_L0B1_D100"	0.867330388480725	-0.0764665935456517	0	0
"frequency_L1B2_D100"	0.881441475043513	-0.00680816451353356	0.00501108359410552	-0.0090019567626761
"frequency_L2B2_D100"	1.01924363147438	0.0194395562742589	-0.14179420162065	-0.14179420162065
"frequency_L2B1_D100"	1.02088457106552	0.0217686206203904	-0.12795957505773	-0.12795957505773
"frequency_L0B2_D100"	0.842165938493029	-0.0855305027829636	0	0
"frequency_L1B5_D100"	0.872827247516466	-0.0225948696762105	0.0249517371316577	-0.00849806053133243
"frequency_L1B4_D100"	0.894833229269028	-0.00493202176016709	0.0250576638603394	-0.0234236855625928
"frequency_L0B3_D100"	0.89238596939957	-0.0868298315569848	0	0
"frequency_L0B4_D100"	0.886673531609726	-0.0850932378888573	0	0
"frequency_L1B1_D100"	0.926904290207618	-0.0305644824872369	-0.00266394148665657	0.0117295012261257
"frequency_L2B5_D100"	1.02344632367415	0.0210673913279047	-0.140677942044896	-0.126404347967428
"frequency_L2B4_D100"	1.00752561423719	0.0205051768817836	-0.113248238002546	-0.113101477951466
"frequency_L1B3_D100"	0.959770861710116	-0.0237708617101161	0.000829917960137156	-0.00882991796013713
"frequency_L0S4_D100"	0.870722524786545	-0.0631467421139551	0	0
"frequency_L0S5_D100"	0.881794784887789	-0.0751883831756123	0	0
"frequency_L2S2_D100"	1.01378579129315	0.0261087592357842	-0.133766759630365	-0.130476061578202
"frequency_L2S5_D100"	0.97273821493887	0.00728217320433129	-0.114188383778162	-0.1380839400816
"frequency_L1S5_D100"	0.917343936926086	-0.016295479793545	-0.000315520816371791	-0.0121841857914254
"frequency_L1S4_D100"	0.947983317432766	-0.0318870781136652	0.00126149159229112	0.000640418779533078
"frequency_L0S3_D100"	0.864429723335843	-0.0878741919613901	0	0
"frequency_L2S3_D100"	0.971957255688799	0.0211053551056555	-0.133674271890283	-0.16496467411917
"frequency_L0S1_D100"	0.845924006127517	-0.0637116912780486	0	0
"frequency_L2S1_D100"	1.00705333616094	0.0213034420954525	-0.139224175952249	-0.155735180069716
"frequency_L2S4_D100"	1.01783766768756	0.0334586309043075	-0.144797107260565	-0.162980684290639
"frequency_L0S2_D100"	0.874176173917943	-0.0822737129584907	0	0
"frequency_L1S2_D100"	0.927642635429388	-0.0452426798223075	-0.0017516472859055	-0.00123314095549051
"frequency_L1S1_D100"	0.917032078005791	-0.0373144664551102	0.0129343977410421	-0.000877187403509105
"frequency_L1S3_D100"	0.863899259431651	-0.030726881444406	0.0165163888639284	0.00273157190651796
