line	cov_mean	cov_std	percent_below_50	resequence
L0B1-100	650.550541684	510.954226758	2.32644705007e-05	False
L0B2-100	220.17483432	187.846083015	2.32644705007e-05	False
L0B3-100	170.021249484	149.362972817	0.000139586823004	False
L0B4-100	810.818429376	623.320336447	2.32644705007e-05	False
L0B5-100	177.878322795	148.95872708	2.32644705007e-05	False
L0C1-100	115.297104964	55.7794135586	0.0227120577223	False
L0C2-100	141.495502287	63.1082854019	0.00516955650647	False
L0C3-100	45.9617964484	19.8718545931	0.682331989414	True
L0C4-100	101.633964141	44.9766136625	0.032229340325	False
L0C5-100	105.861183892	43.5709415505	0.0205545524252	False
L0D1-100	348.716343334	322.22620106	0.000335008375209	False
L0D2-100	272.659034444	280.854015148	0.000213193640738	False
L0D3-100	447.571406041	384.350925612	0.000121824937565	False
L0D4-100	275.443956648	241.910915745	0.000670037156606	False
L0D5-100	116.659496806	125.359977737	0.0603319628445	False
L0F1-100	105.355567415	26.5619818575	0.00375246454239	False
L0F2-100	80.3183704571	22.5497398801	0.0398282852373	False
L0F3-100	215.195737974	53.6295382912	0.000127196120518	False
L0F4-100	53.3797080973	17.0740268228	0.463703138415	True
L0F5-100	109.833742541	37.8450819107	0.0111141144483	False
L0J1-100	88.1600129893	48.6297082617	0.0593214756258	False
L0J2-100	40.9411402519	23.9607280126	0.803574075599	True
L0J3-100	164.429849614	108.60545144	0.00367180939522	False
L0J4-100	29.2436802692	19.6457319077	0.938597358105	True
L0J5-100	181.847200429	109.663959378	0.0020748937852	False
L0P1-100	59.0800417859	20.645148802	0.283033810539	True
L0P2-100	113.867036995	51.0118049894	0.0120800474085	False
L0P3-100	146.838558947	60.8345918094	0.00126114901311	False
L0P4-100	68.4517774907	25.5350113759	0.144468117486	False
L0P5-100	114.426153418	55.1963085503	0.0146068611208	False
L0S1-100	113.748416899	86.2741937976	0.000744584312539	False
L0S2-100	122.317158704	91.004569767	0.000139609558601	False
L0S3-100	131.269977103	91.2121608265	9.30730390674e-05	False
L0S4-100	80.981769277	64.8212279815	0.0930963073272	False
L0S5-100	97.906881134	76.5862451354	0.00777159876213	False
L1B1-100	131.759127297	120.405151783	0.000558347292016	False
L1B2-100	173.407494186	130.340378407	6.9793411502e-05	False
L1B3-100	513.434853618	433.312509223	2.32644705007e-05	False
L1B4-100	164.855970419	150.888759149	0.000116322352503	False
L1B5-100	181.144422896	135.627264465	6.9793411502e-05	False
L1C1-100	19.4226872493	9.51054100903	0.98944466521	True
L1C2-100	11.267152769	5.59082578114	0.996843936382	True
L1C3-100	23.8652906018	10.6773017983	0.987383270415	True
L1C4-100	54.1963169291	21.8616351772	0.443583438889	True
L1C5-100	15.1677131896	6.87728472701	0.994261439857	True
L1D1-100	89.3830858407	99.1218234375	0.139580922215	False
L1D2-100	119.803923981	113.345716925	0.0358469878784	False
L1D3-100	72.5334469124	55.4711305555	0.17939268419	False
L1D4-100	79.3150341859	63.8596046144	0.142539518168	False
L1D5-100	72.3830663035	56.801066394	0.215782420662	True
L1F1-100	67.8195661905	17.5016514646	0.105422165686	False
L1F2-100	130.044322688	37.1529994506	0.000572428048974	False
L1F3-100	131.217843953	32.5376865512	0.000524717368145	False
L1F4-100	93.1387425155	32.159723155	0.00709163473311	False
L1F5-100	69.6547564345	16.1191617301	0.063218482184	False
L1J1-100	30.2536930096	16.4775504344	0.952184082224	True
L1J2-100	57.9923087084	64.7507228377	0.496384629322	True
L1J3-100	41.6422463422	22.5936469479	0.818762764345	True
L1J4-100	24.6604093416	38.0554332874	0.985273526941	True
L1J5-100	62.7759046994	57.1449618313	0.360114635834	True
L1P1-100	52.2737900335	17.225738022	0.469814159158	True
L1P2-100	41.0575060534	14.4015611798	0.845011777221	True
L1P3-100	52.554781218	16.1336762393	0.444942556683	True
L1P4-100	29.0261982404	11.7463261602	0.978329584828	True
L1P5-100	25.3084209784	9.08207577458	0.991945655973	True
L1S1-100	71.5329694446	61.2045503425	0.344207366731	True
L1S2-100	104.352014856	80.7551334138	0.0077948670219	False
L1S3-100	163.039020296	116.184502688	2.32682597669e-05	False
L1S4-100	89.0615915789	62.2589762734	0.020755287712	False
L1S5-100	123.091343878	88.2826049136	0.000674779533239	False
L2B1-100	25.7107680997	18.1583574909	0.985386512775	True
L2B2-100	559.170416291	368.643254906	2.32644705007e-05	False
L2B3-100	2.02081869472	1.48924045438	1.00004984548	True
L2B4-100	127.116850912	83.1923109101	0.00034896705751	False
L2B5-100	148.552167551	98.4413651537	0.000116322352503	False
L2C1-100	164.548927495	68.3357554714	0.000964654084939	False
L2C2-100	172.575243337	67.1204811145	0.000469959682406	False
L2C3-100	138.828903787	55.8760876045	0.00190457344975	False
L2C4-100	50.2685045337	22.6978715631	0.579177797566	True
L2C5-100	55.6406099782	53.6622099286	0.519318294252	True
L2D1-100	166.039508162	118.172831111	0.000791862094171	False
L2D2-100	145.902779677	160.954397164	0.00353281559312	False
L2D3-100	47.943288034	46.8943781757	0.755040506792	True
L2D4-100	76.2844418428	69.1685093365	0.159438387038	False
L2D5-100	171.279900876	163.031836395	0.00140098678199	False
L2F1-100	93.048742971	20.0247493961	0.00322785816505	False
L2F2-100	51.8469417512	13.5622640547	0.479678804261	True
L2F3-100	90.9789259923	22.7975235186	0.0058674807995	False
L2F4-100	58.363172133	14.5633210268	0.274495150262	True
L2F5-100	63.8449060876	15.2499791562	0.136026839662	False
L2J1-100	24.8941634224	13.530968727	0.986378310713	True
L2J2-100	60.3680751907	35.9651045617	0.346888691241	True
L2J3-100	37.6524130084	25.0519357683	0.867761380855	True
L2J4-100	54.6627072219	35.3375108877	0.501943474537	True
L2J5-100	65.7384876912	40.5711872214	0.260187106763	True
L2P1-100	91.0965823636	29.6913198592	0.0155295547789	False
