Line	Time1	Time2	Distance
L0F1	100	200	0.875329269504086
L0F2	100	200	0.827348508756287
L0F2	200	300	0.507889464667329
L0F3	100	200	0.788804923312496
L0F3	200	300	0.739136011392719
L0F4	100	200	0.404858917249231
L0F4	200	300	0.362538356678056
L1F1	100	200	0.739948344231853
L1F2	100	200	0.697819795190382
L1F2	200	300	0.526129142425538
L1F3	100	200	0.412508286148127
L1F3	200	300	0.576676248700877
L1F4	100	200	0.934662629480189
L1F4	200	300	0.777105918031418
L2F1	100	200	0.86791222048941
L2F4	100	200	0.797825308018573
