	B4U62_00390	B4U62_00575	B4U62_00640	B4U62_02030	B4U62_04045	B4U62_04055	B4U62_05155	B4U62_05220	B4U62_05670	B4U62_06285	B4U62_06330	B4U62_06335	B4U62_07055	B4U62_07355	B4U62_07435	B4U62_07555	B4U62_07650	B4U62_07685	B4U62_07955	B4U62_08400	B4U62_09020	B4U62_09350	B4U62_10770	B4U62_11805	B4U62_13050	B4U62_13385	B4U62_13595	B4U62_14040	B4U62_15720	B4U62_16130	B4U62_16295	B4U62_17270	B4U62_17420	B4U62_17455	B4U62_17555	B4U62_17655	B4U62_18215	B4U62_18305	B4U62_18325	B4U62_19345	B4U62_19905	B4U62_20050	B4U62_20080	B4U62_21215	B4U62_22025	B4U62_22535/B4U62_22540
frequency_L2B3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L2B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
frequency_L1B4	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
frequency_L1B5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
frequency_L1B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1B2	1	0	0	1	0	1	2	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
frequency_L1B3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L0B1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
frequency_L2B2	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0
frequency_L0B3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0
frequency_L0B2	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	1	2	0	0	1	0	1	0	0
frequency_L0B5	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1
frequency_L0B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
frequency_L2B5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
frequency_L2B4	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	3	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0
