	CCNA_00089	CCNA_00128	CCNA_00217	CCNA_00351	CCNA_00357	CCNA_00456	CCNA_00475	CCNA_00485	CCNA_00659	CCNA_00720	CCNA_00737	CCNA_00760	CCNA_00778	CCNA_00850	CCNA_00851	CCNA_00851/CCNA_00852	CCNA_00854	CCNA_00922	CCNA_00962	CCNA_00968/CCNA_00969	CCNA_00974	CCNA_00980	CCNA_01029	CCNA_01031	CCNA_01034	CCNA_01047	CCNA_01077	CCNA_01095	CCNA_01196	CCNA_01285	CCNA_01309	CCNA_01494	CCNA_01504	CCNA_01538	CCNA_01563/CCNA_01566	CCNA_01583	CCNA_01615	CCNA_01663	CCNA_01695	CCNA_01808	CCNA_01884	CCNA_02115	CCNA_02120	CCNA_02261	CCNA_02402	CCNA_02444	CCNA_02545	CCNA_02577/CCNA_02578	CCNA_02617	CCNA_02705	CCNA_02876/CCNA_02878	CCNA_02915	CCNA_02961	CCNA_02975	CCNA_02980	CCNA_02983	CCNA_03139	CCNA_03292	CCNA_03314	CCNA_03603	CCNA_03632/CCNA_03633	CCNA_03634	CCNA_03655	CCNA_03828	CCNA_03867
frequency_L2C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L2C2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
frequency_L2C5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1C3	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1C1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
frequency_L2C3	0	1	1	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	2	2	1	0	1	1	2	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0
frequency_L1C5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
frequency_L1C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L0C2	0	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1
frequency_L0C3	1	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
frequency_L0C1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
frequency_L2C1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
frequency_L0C4	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	3	1	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
frequency_L0C5	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0
