	DR_0011/DR_0012	DR_0020	DR_0065	DR_0140/DR_0143	DR_0183	DR_0227	DR_0243	DR_0307	DR_0396	DR_0400	DR_0534	DR_0744	DR_0821	DR_0829	DR_0866	DR_0880	DR_0886/DR_0887	DR_0933	DR_1090/DR_1091	DR_1241	DR_1356	DR_1358	DR_1395	DR_1435	DR_1460	DR_1556	DR_1565	DR_1719/DR_1720	DR_1736/DR_1737	DR_1760/DR_1763	DR_1837	DR_1856	DR_1903	DR_1913	DR_1922	DR_1934	DR_1943	DR_1980	DR_2086/DR_2087	DR_2122/DR_2123	DR_2154	DR_2186	DR_2226	DR_2243	DR_2280	DR_2308	DR_2326	DR_2328/DR_2329	DR_2374	DR_2508	DR_2546	DR_2567/DR_2568	DR_2605/DR_2607	DR_2624/DR_2625	DR_2630	DR_A0166	DR_A0233	DR_A0236	DR_A0246	DR_A0274	DR_A0342	DR_B0017/DR_B0020	DR_B0020	DR_B0041	DR_B0052/DR_B0054	DR_B0055	DR_B0057/DR_B0059	DR_B0114	DR_C0010/DR_C0012	DR_C0019	DR_C0022	DR_C0029	DR_C0030/DR_C0033
frequency_L2D5	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
frequency_L2D4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L2D1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2
frequency_L2D3	2	0	0	5	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	2	2	0	0	0	1	2	2	4	0	2	2
frequency_L2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
frequency_L0D5	0	1	0	0	1	1	1	1	1	0	0	1	0	2	1	0	2	0	0	0	1	1	0	2	0	2	1	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	2	1	0	0	0	2	2	0	0	0	1	3	0	0	2	1	0	0	0	1	0	2	0	1
frequency_L0D4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L0D3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
frequency_L0D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
frequency_L0D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
