	-/G_00123	-/G_02026	-/G_04918	G_00355	G_00387/G_00388	G_00458	G_00553/G_00554	G_00587	G_00730/G_00731	G_00780/G_00781	G_00795/G_00796	G_00850	G_01057/G_01058	G_01110/G_01111	G_01138	G_01185/G_01186	G_01192	G_01331	G_01379/-	G_01416/G_01417	G_01440/G_01441	G_01715	G_01716	G_01864/G_01865	G_01965	G_01972	G_02041/G_02042	G_02217	G_02323/G_02324	G_02403	G_02530/G_02531	G_02582	G_02582/G_02583	G_02587	G_02678/G_02679	G_02691/G_02692	G_02777	G_03227	G_03325/G_03326	G_03560/G_03561	G_03572	G_03583/G_03584	G_03641/G_03642	G_03694/G_03695	G_03738	G_04090/G_04091	G_04327	G_04366/G_04367	G_04409	G_04459/G_04460	G_04561	G_04630	G_04732	G_04732/G_04733	G_04774	G_04900/G_04901	G_04901	G_04902	G_04917/-	G_04918	G_04953	G_05328/G_05329
frequency_L2F4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L2F5	0	6	0	0	0	0	2	0	0	0	0	0	0	2	0	0	7	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	1	0	0	3	0	0	0	8	11	0	0	0	1
frequency_L1F4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0
frequency_L2F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
frequency_L2F2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L2F1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
frequency_L1F1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L0F5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
frequency_L0F4	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
frequency_L1F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L1F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	22	0	0
frequency_L0F1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
frequency_L1F5	0	1	1	0	6	0	2	1	2	1	3	0	3	2	0	1	3	0	1	2	2	0	0	0	0	0	2	0	4	0	0	12	8	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	1	2	0	3	20	11	0	0	0	2
frequency_L0F3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
frequency_L0F2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
