Line	Strain	Treatment	Rep	Day	iRep	iRep_unfiltered	iRep_noGC	r2	Mean_cov	Windows_perc	Frags_mbp	GC_bias	GC_r2
Sample_L0B1-100	B	0	1	100	1.37582817466	1.37582817466	1.48636997937	0.985784749705	483.924417282	100.00	0	-592.4993027	0.44786543483
Sample_L0B2-100	B	0	2	100	1.55298235972	1.55298235972	1.64121294042	0.988952845444	5.72736986507	99.79	0	-4.78411057274	0.308464633403
Sample_L0B3-100	B	0	3	100	1.40012549821	1.40012549821	1.51960513487	0.97052656804	136.303447766	100.00	0	-118.313222859	0.35369602338
Sample_L0B4-100	B	0	4	100	1.60434561162	1.60434561162	1.61974616523	0.984561449365	518.533907116	100.00	0	-135.005039573	0.148265928935
Sample_L0B5-100	B	0	5	100	1.49578486623	1.49578486623	1.56167499804	0.98314708039	148.282564261	100.00	0	-105.265964787	0.27281122647
Sample_L0S1-100	S	0	1	100	1.35566743707	1.35566743707	1.48157411083	0.984370090665	96.4690611901	100.00	0	-125.912189208	0.472131537735
Sample_L0S2-100	S	0	2	100	1.46588771656	1.46588771656	1.56444115771	0.992755245804	103.565916302	100.00	0	-114.996712581	0.393522116712
Sample_L0S3-100	S	0	3	100	1.53040107371	1.53040107371	1.67432007236	0.988551601656	110.442130128	100.00	0	-167.579492782	0.44601523268
Sample_L0S4-100	S	0	4	100	1.72967979403	1.72967979403	1.82013265974	0.988693437121	68.1160716487	100.00	0	-68.5645989315	0.306031695865
Sample_L0S5-100	S	0	5	100	1.51238342424	1.51238342424	1.64811050969	0.986043126519	82.7789042341	100.00	0	-107.439804043	0.412990421518
Sample_L1B1-100	B	1	1	100	n/a	1.48615979372	1.6226160592	0.879517268867	109.625482449	99.60	0	-26.5369948048	0.137121366739
Sample_L1B2-100	B	1	2	100	1.39428700886	1.39428700886	1.62704532296	0.941596612538	147.614237449	100.00	0	-14.5991380186	0.0531878352355
Sample_L1B3-100	B	1	3	100	n/a	1.53561001321	1.73181753015	0.888537631672	450.073281943	100.00	0	-1.8807951412	0.00428699734034
Sample_L1B4-100	B	1	4	100	1.58599759612	1.58599759612	1.57954741791	0.909989974769	141.046321808	100.00	0	0.00610924853054	0.000194345815146
Sample_L1B5-100	B	1	5	100	1.4065143872	1.4065143872	1.58962766013	0.924628216235	152.964294735	100.00	0	-4.1862373656	0.0203154988844
Sample_L1S1-100	S	1	1	100	n/a	1.99687319859	2.35457999283	0.519795546537	60.3719030139	100.00	0	-9.67310444669	0.0561255920616
Sample_L1S2-100	S	1	2	100	1.67488313996	1.67488313996	1.83461415213	0.932896575584	88.1288582512	100.00	0	-52.3726633201	0.212714855076
Sample_L1S3-100	S	1	3	100	1.41513055884	1.41513055884	1.57648656842	0.974655751734	137.539140843	100.00	0	-239.977793376	0.518668826172
Sample_L1S4-100	S	1	4	100	n/a	1.39706475601	1.60324071492	0.881768047545	76.218801504	100.00	0	-9.87425035097	0.0677729272238
Sample_L1S5-100	S	1	5	100	n/a	1.72317581405	2.02133470124	0.826414488511	104.457894805	100.00	0	-95.9508091452	0.256265201059
Sample_L2B1-100	B	2	1	100	1.29955416924	1.29955416924	1.30437460986	0.96846707254	23.2766490472	100.00	0	-0.0017572787226	0.00086899924614
Sample_L2B2-100	B	2	2	100	1.28197801486	1.28197801486	1.56560062313	0.935302962306	472.183631195	100.00	0	-268.165578614	0.226190321414
Sample_L2B3-100	B	2	3	100	n/a	2.4769160058	2.59548974232	0.986539303734	0.823769101986	100.00	0	-0.119499696448	0.0685851983166
Sample_L2B4-100	B	2	4	100	1.28615583378	1.28615583378	1.57550338786	0.949584508047	107.030543873	100.00	0	-263.53036343	0.669762563233
Sample_L2B5-100	B	2	5	100	n/a	1.34670581387	1.71355896969	0.851759178407	127.321422275	100.00	0	-178.143354762	0.38536349035
Sample_L2S1-100	S	2	1	100	1.27691341491	1.27691341491	1.37807898391	0.965044659937	35.5466409206	100.00	0	-18.555255281	0.314883224
Sample_L2S2-100	S	2	2	100	1.30615699984	1.30615699984	1.48989200731	0.96461148084	55.1266965653	100.00	0	-97.5991152719	0.592058104269
Sample_L2S3-100	S	2	3	100	1.54225459858	1.54225459858	1.75949703291	0.934935926764	31.6676890522	100.00	0	-73.8282281	0.527901310836
Sample_L2S4-100	S	2	4	100	1.32532341018	1.32532341018	1.43897935205	0.984718688344	29.9732573355	100.00	0	-36.4817944306	0.497052950558
Sample_L2S5-100	S	2	5	100	1.31111758596	1.31111758596	1.41271511464	0.972025469322	84.3221556293	100.00	0	-79.1890627139	0.434654619699
Sample_L0B1-200	B	0	1	200	1.51034704671	1.51034704671	1.51334814477	0.977917487085	11.4768794503	99.76	0	-0.0245409467458	0.00651333793811
Sample_L0B2-200	B	0	2	200	1.29805176193	1.29805176193	1.32865535234	0.991354010265	36.519593564	100.00	0	3.0518425364	0.102140890986
Sample_L0B3-200	B	0	3	200	1.35551862723	1.35551862723	1.44929543379	0.989322369136	52.8242473058	100.00	0	-53.2188868302	0.424006161519
Sample_L0B4-200	B	0	4	200	1.62109529732	1.62109529732	1.65023176281	0.988499820091	49.5552057928	100.00	0	-19.2059187784	0.184860561306
Sample_L0B5-200	B	0	5	200	1.61569638427	1.61569638427	1.64372345922	0.994055256968	49.5682496391	100.00	0	-28.8767455189	0.234607819512
Sample_L1B1-200	B	1	1	200	1.37599107871	1.37599107871	1.49864110153	0.975422504203	50.9451026208	100.00	0	-37.6899234864	0.341594838152
Sample_L1B2-200	B	1	2	200	n/a	1.44506925763	1.7870226944	0.834382300754	132.372807322	100.00	0	-52.1798254865	0.132559971313
