strain treatment replicate dN dS dN/dS
Bacillus 0 1 5.11481125273e-06 4.68454838378e-06 1.09184724624
Bacillus 0 2 1.83655105651e-05 7.02685196148e-06 2.6136185401
Bacillus 0 3 7.24232718149e-06 1.45005975788e-05 0.499450256594
Bacillus 0 4 2.84745126909e-06 1.56151068134e-06 1.82352340149
Bacillus 0 5 1.14500603538e-05 2.34227473821e-06 4.88843608609
Bacillus 1 2 1.35175369347e-05 1.82767613791e-05 0.739602419394
Bacillus 1 3 1.94723205422e-06 7.80755409458e-07 2.49403594343
Bacillus 1 4 8.48929295844e-06 1.04052595305e-05 0.815865566214
Bacillus 1 5 1.07566624856e-05 7.21833960719e-06 1.49018514935
Bacillus 2 1 6.24849561075e-06 3.90379471989e-06 1.60062094939
Bacillus 2 2 1.31373348614e-05 1.28113780067e-05 1.02544276303
Bacillus 2 4 2.67348980343e-05 2.4267875864e-05 1.10165793595
Bacillus 2 5 5.58170161207e-06 3.96762270869e-06 1.40681259835
Caulobacter 0 1 1.3597122144e-05 1.96302666797e-05 0.692661101649
Caulobacter 0 2 1.32911576808e-05 3.03563690892e-05 0.437837530626
Caulobacter 0 3 1.93942354959e-05 2.18608911409e-05 0.887165823704
Caulobacter 0 4 1.43185242732e-05 1.93828847443e-05 0.738719982197
Caulobacter 0 5 1.36100645533e-05 1.43549677348e-05 0.948108334675
Caulobacter 1 1 6.2607452496e-06 1.35679686178e-05 0.461435711268
Caulobacter 1 2 2.53130930293e-06 2.72526555559e-06 0.928830329119
Caulobacter 1 3 6.02238750247e-06 1.2358217419e-05 0.487318461738
Caulobacter 1 4 8.43768306279e-07 7.86997282725e-07 1.07213623833
Caulobacter 1 5 6.26072411779e-06 5.45053940005e-06 1.1486430348
Caulobacter 2 1 1.64957234696e-05 2.05341819104e-05 0.803329956929
Caulobacter 2 2 1.39159877144e-05 1.68329680361e-05 0.826710279763
Caulobacter 2 3 2.22252253882e-05 3.47006702808e-05 0.640484037003
Caulobacter 2 5 1.80351339097e-06 5.39208214879e-06 0.334474390635
Deinococcus 0 2 2.89772002375e-06 2.02215478968e-06 1.4329862573
Deinococcus 0 3 5.3411722083e-07 4.98562343996e-06 0.107131480599
Deinococcus 0 4 -1.56428641615e-14 3.50388748143e-06 -4.46443107673e-09
Deinococcus 0 5 4.66568969184e-05 0.000116805281803 0.399441670771
Deinococcus 1 1 2.78422899613e-05 3.15356586772e-05 0.882882778706
Deinococcus 1 2 1.5790434653e-05 1.91409731704e-05 0.824954641149
Deinococcus 1 3 2.36360200694e-06 1.19934696059e-05 0.19707408153
Deinococcus 1 4 2.97447110109e-06 3.03323336088e-06 0.980627187955
Deinococcus 1 5 8.38932574147e-06 1.7380041674e-05 0.482698827704
Deinococcus 2 1 6.71333440784e-06 1.44862859551e-05 0.463426887241
Deinococcus 2 2 5.11096105624e-06 1.10521418907e-05 0.462440774537
Deinococcus 2 3 1.83843584535e-05 2.61489514998e-05 0.703062929831
Deinococcus 2 4 2.593846602e-06 9.97128719994e-06 0.260131570778
Deinococcus 2 5 1.65516719594e-05 5.99670315307e-06 2.76012861348
Pedobacter 0 1 8.29261112557e-06 8.82541787856e-06 0.939628155819
Pedobacter 0 2 6.4833711263e-06 7.61650963986e-06 0.851226012026
Pedobacter 0 3 6.38880412002e-06 7.94048001919e-06 0.804586637656
Pedobacter 0 4 1.13798083816e-05 1.20292456478e-05 0.946011804469
Pedobacter 0 5 4.13227909225e-06 3.68974654407e-06 1.11993575789
Pedobacter 1 1 3.24042453607e-06 2.40583241786e-06 1.34690367958
Pedobacter 1 2 3.52914370758e-06 2.40583454901e-06 1.46691039458
Pedobacter 1 4 6.45269142262e-06 8.10246862719e-06 0.796385857141
Pedobacter 1 5 4.61012850134e-06 2.55795880974e-05 0.180226846647
Pedobacter 2 1 7.78669706828e-06 7.37950646998e-06 1.05517856783
Pedobacter 2 2 2.22582973567e-06 1.68288624129e-06 1.32262637905
Pedobacter 2 3 3.2097490137e-06 2.24385092098e-06 1.43046446789
Pedobacter 2 4 3.6876029808e-06 -1.85491201784e-13 -19880204.2648
Pedobacter 2 5 3.62372437829e-06 1.72400552944e-05 0.210192155212
Janthinobacterium 0 1 1.65548353516e-05 1.13069809906e-05 1.46412515996
Janthinobacterium 0 2 1.1193421152e-05 1.38428950952e-05 0.80860405826
Janthinobacterium 0 3 3.07585438493e-06 8.81407704894e-06 0.348970671331
Janthinobacterium 0 4 6.09431298966e-06 8.62415818641e-06 0.706655984031
Janthinobacterium 0 5 3.21096018083e-06 3.97522041407e-06 0.807743935272
Janthinobacterium 1 1 1.1861058047e-05 1.25994207134e-05 0.941397094104
Janthinobacterium 1 2 8.47772802414e-07 3.44845379583e-06 0.245841427088
Janthinobacterium 1 3 1.04029481848e-06 1.86815934694e-06 0.556855506026
Janthinobacterium 1 4 2.63312692573e-05 3.74561937439e-05 0.702988387911
Janthinobacterium 1 5 3.82118162841e-06 6.94589884013e-06 0.550134938093
Janthinobacterium 2 1 3.16592571482e-06 6.18023618069e-06 0.512266137128
Janthinobacterium 2 2 2.12562670995e-06 2.63381977975e-06 0.807050932754
Janthinobacterium 2 3 -4.22060565981e-15 8.14632643674e-07 -5.18099255239e-09
Janthinobacterium 2 4 6.33186862823e-06 5.36559859826e-06 1.1800861567
Janthinobacterium 2 5 2.37556192723e-07 -5.65462486766e-15 -42010955.33
Pseudomonas 0 1 1.90918669884e-05 2.18000024693e-05 0.875773615867
Pseudomonas 0 2 6.3383894106e-06 9.9613736928e-06 0.636296720318
Pseudomonas 0 3 6.03763624962e-06 1.12621185333e-05 0.536101287848
Pseudomonas 0 4 2.28502193616e-05 3.86772105925e-05 0.590792847042
Pseudomonas 0 5 7.33031187726e-06 1.18878254158e-05 0.616623446331
Pseudomonas 1 1 5.45452949714e-06 6.99766451522e-06 0.779478565352
Pseudomonas 1 2 5.19201499232e-06 8.61126415516e-06 0.602932960685
Pseudomonas 1 3 3.14344600761e-06 3.09542612359e-06 1.01551317399
Pseudomonas 1 4 2.57357727171e-06 3.4082747839e-06 0.755096767393
Pseudomonas 1 5 2.26621680943e-06 8.06792765187e-07 2.8089205893
Pseudomonas 2 1 1.74782688886e-06 3.09542542675e-06 0.564648359401
Pseudomonas 2 2 3.71331570098e-06 5.2029661741e-06 0.713692070393
Pseudomonas 2 3 2.40078242581e-06 7.12941525842e-06 0.336743244542
Pseudomonas 2 4 6.68398505473e-06 9.28631317649e-06 0.71976735306
