strain treatment replicate m_sample_ma
Bacillus 1 3 4.71
Bacillus 1 2 2.093
Bacillus 1 1 0.785
Bacillus 1 5 1.727
Bacillus 1 4 1.308
Bacillus 0 4 0.785
Bacillus 0 5 1.134
Bacillus 0 2 1.162
Bacillus 0 3 3.14
Bacillus 0 1 0.72
Bacillus 2 4 1.378
Bacillus 2 5 1.832
Bacillus 2 1 9.812
Bacillus 2 2 0.785
Caulobacter 1 1 73.838
Caulobacter 1 2 23.947
Caulobacter 1 3 33.925
Caulobacter 1 4 4.989
Caulobacter 1 5 22.95
Caulobacter 0 1 41.243
Caulobacter 0 3 36.42
Caulobacter 0 2 21.952
Caulobacter 0 5 7.412
Caulobacter 0 4 23.149
Caulobacter 2 5 5.987
Caulobacter 2 4 3.459
Caulobacter 2 3 7.982
Caulobacter 2 2 3.991
Deinococcus 1 5 3.629
Deinococcus 1 4 6.351
Deinococcus 2 4 1.21
Deinococcus 2 5 1.21
Deinococcus 1 1 5.897
Deinococcus 2 3 3.327
Deinococcus 1 3 2.419
Deinococcus 1 2 6.351
Deinococcus 2 1 0.907
Deinococcus 2 2 6.351
Deinococcus 0 4 7.258
Deinococcus 0 5 26.7
Deinococcus 0 1 1.21
Deinococcus 0 2 2.268
Deinococcus 0 3 0.907
Janthinobacterium 1 3 1.579
Janthinobacterium 1 2 1.15
Janthinobacterium 1 1 1.861
Janthinobacterium 2 1 4.568
Janthinobacterium 1 5 0.646
Janthinobacterium 1 4 4.503
Janthinobacterium 2 4 3.214
Janthinobacterium 0 4 3.214
Janthinobacterium 0 5 0.406
Janthinobacterium 0 2 2.368
Janthinobacterium 2 2 1.421
Janthinobacterium 0 1 1.833
Janthinobacterium 2 5 1.353
Janthinobacterium 2 3 0.387
Janthinobacterium 0 3 0.508
Bacillus_spoA 2 5 1.079
Bacillus_spoA 2 4 1.308
Bacillus_spoA 2 3 0.785
Bacillus_spoA 2 2 3.663
Bacillus_spoA 2 1 0.785
Bacillus_spoA 1 1 1.884
Bacillus_spoA 1 2 0.916
Bacillus_spoA 1 3 0.959
Bacillus_spoA 1 4 1.962
Bacillus_spoA 1 5 1.413
Bacillus_spoA 0 1 1.57
Bacillus_spoA 0 3 1.047
Bacillus_spoA 0 2 0.785
Bacillus_spoA 0 5 1.308
Bacillus_spoA 0 4 1.57
