strain treatment replicate k S pi W_T T_D k_L S_L pi_L W_T_L mean_coverage
Bacillus 0 1 0 23 4.52661116064 4.77321912605 -0.184665142515 0.0 5.45591784431e-06 1.07377472198e-06 1.13227353933e-06 558.217391304
Bacillus 0 2 0 61 15.2160660179 12.6594072474 0.740033615696 0.0 1.44700429784e-05 3.60946113509e-06 3.00298634345e-06 193.540983607
Bacillus 0 3 0 38 4.67244901972 7.88618812131 -1.39220235722 0.0 9.01412513409e-06 1.10836947754e-06 1.87071280412e-06 130.921052632
Bacillus 0 5 0 43 10.7873624696 8.92384445306 0.731736879818 0.0 1.02001942307e-05 2.55891145179e-06 2.11685922571e-06 155.0
Bacillus 1 1 0 0 0.0 0.0 nan 0.0 0.0 0.0 0.0 0
Bacillus 1 2 0 62 14.732212584 12.8669385137 0.456097067176 0.0 1.47072567977e-05 3.49468441405e-06 3.05221562777e-06 36.1774193548
Bacillus 1 3 0 8 1.96636132153 1.6602501308 0.524695452835 0.0 1.89771055454e-06 4.66448079238e-07 3.93834274551e-07 692.625
Bacillus 1 4 0 39 9.65476395454 8.09371938766 0.583216480268 0.0 9.2513389534e-06 2.29024343227e-06 1.91994208843e-06 30.7179487179
Bacillus 1 5 1 37 10.0922778179 7.67865685496 0.954872872074 2.37213819318e-07 8.77691131477e-06 2.39402776679e-06 1.8214835198e-06 33.5675675676
Bacillus 2 1 0 25 5.53096167286 5.18828165876 0.19465095016 0.0 5.93034548295e-06 1.31202054292e-06 1.23073210797e-06 33.68
Bacillus 2 2 0 52 11.0875001762 10.7916258502 0.0865824426196 0.0 1.23351186045e-05 2.63010826349e-06 2.55992278458e-06 41.2115384615
Bacillus 2 3 0 0 0.0 0.0 nan 0.0 0.0 0.0 0.0 0
Bacillus 2 4 0 110 44.1223089812 22.8284392985 2.82692453684 0.0 2.6093520125e-05 1.04664214306e-05 5.41522127507e-06 20.3
Bacillus 2 5 0 20 5.49189199105 4.150625327 0.923734144251 0.0 4.74427638636e-06 1.30275267448e-06 9.84585686377e-07 29.95
Caulobacter 0 1 1 62 7.81806463038 12.8669385137 -1.35266522699 2.47345427041e-07 1.53354164765e-05 1.93376253463e-06 3.18257840138e-06 96.8870967742
Caulobacter 0 2 0 71 8.13982660689 14.7347199109 -1.58378977258 0.0 1.75615253199e-05 2.01334888812e-06 3.64456558868e-06 118.929577465
Caulobacter 0 3 0 77 12.4623201485 15.979907509 -0.720887691433 0.0 1.90455978821e-05 3.08249789904e-06 3.95255704688e-06 50.1428571429
Caulobacter 0 4 0 68 9.2894178336 14.1121261118 -1.17317774118 0.0 1.68194890388e-05 2.29769502101e-06 3.49056985958e-06 87.3676470588
Caulobacter 0 5 0 66 9.26909855166 13.6970635791 -1.09951198664 0.0 1.63247981847e-05 2.29266913954e-06 3.38790604018e-06 80.2575757576
Caulobacter 1 1 1 30 11.1248944398 6.22593799051 2.24153345505 2.47345427041e-07 7.42036281122e-06 2.75169176599e-06 1.53995729099e-06 16.4666666667
Caulobacter 1 2 0 10 4.30842875867 2.0753126635 2.77440715797 0.0 2.47345427041e-06 1.06567015119e-06 5.13319096997e-07 12.4
Caulobacter 1 3 0 29 10.8421039346 6.01840672416 2.27868626357 0.0 7.17301738418e-06 2.68174482772e-06 1.48862538129e-06 16.7931034483
Caulobacter 1 4 0 5 0.752755497252 1.03765633175 -0.619106645677 0.0 1.2367271352e-06 1.86190629925e-07 2.56659548498e-07 53.0
Caulobacter 1 5 0 22 8.93256113966 4.5656878597 2.65263450697 0.0 5.44159939489e-06 2.20942814966e-06 1.12930201339e-06 13.9545454545
Caulobacter 2 1 0 68 21.9495006059 14.1121261118 1.68322469605 0.0 1.68194890388e-05 5.4291086007e-06 3.49056985958e-06 23.9852941176
Caulobacter 2 2 0 60 13.7077723849 12.451875981 0.313455847654 0.0 1.48407256224e-05 3.39055481432e-06 3.07991458198e-06 32.1333333333
Caulobacter 2 3 0 104 17.1471805036 21.5832517004 -0.675763811725 0.0 2.57239244122e-05 4.2412766842e-06 5.33851860877e-06 47.2692307692
Caulobacter 2 4 0 0 0.0 0.0 nan 0.0 0.0 0.0 0.0 0
Caulobacter 2 5 0 14 6.29958488862 2.9054377289 3.12360591174 0.0 3.46283597857e-06 1.55817351445e-06 7.18646735795e-07 12.2142857143
Deinococcus 0 1 0 3 0.695105295479 0.622593799051 0.229346139392 0.0 9.13476704517e-07 2.11654164869e-07 1.8957497727e-07 279.0
Deinococcus 0 2 0 8 0.926082238 1.6602501308 -1.19366687494 0.0 2.43593787871e-06 2.81984850293e-07 5.0553327272e-07 221.125
Deinococcus 0 3 3 4 0.519287372145 0.830125065401 -0.831846845232 9.13476704517e-07 1.21796893936e-06 1.58118972468e-07 2.5276663636e-07 432.75
Deinococcus 0 4 0 7 0.789946990543 1.45271886445 -1.19112868571 0.0 2.13144564387e-06 2.40532724555e-07 4.4234161363e-07 242.571428571
Deinococcus 0 5 0 224 34.1219073426 46.4870036624 -0.969648768479 0.0 6.82062606039e-05 1.03898558237e-05 1.41549316361e-05 110.209821429
Deinococcus 1 1 1 90 28.4937488346 18.6778139715 1.62973070603 3.04492234839e-07 2.74043011355e-05 8.67612526159e-06 5.6872493181e-06 27.2444444444
Deinococcus 1 2 0 63 8.1889628718 13.0744697801 -1.28296808442 0.0 1.91830107949e-05 2.49347560585e-06 3.98107452267e-06 91.6349206349
Deinococcus 1 3 0 22 4.17042125191 4.5656878597 -0.262003557611 0.0 6.69882916646e-06 1.26986088722e-06 1.39021649998e-06 57.9090909091
Deinococcus 1 4 1 13 4.57041109863 2.69790646255 1.84795544575 3.04492234839e-07 3.95839905291e-06 1.39165468956e-06 8.21491568169e-07 18.7692307692
Deinococcus 1 5 1 33 11.1901727089 6.84853178956 1.84642650787 3.04492234839e-07 1.00482437497e-05 3.40732069637e-06 2.08532474997e-06 21.4545454545
Deinococcus 2 1 1 32 10.4168855121 6.64100052321 1.6528921598 3.04492234839e-07 9.74375151485e-06 3.17186074964e-06 2.02213309088e-06 21.46875
Deinococcus 2 2 1 28 8.49337054366 5.81087545781 1.34612255819 3.04492234839e-07 8.52578257549e-06 2.58616537815e-06 1.76936645452e-06 25.3928571429
Deinococcus 2 3 0 92 16.1761015302 19.0928765042 -0.511759371122 0.0 2.80132856052e-05 4.9254973059e-06 5.81363263628e-06 59.2717391304
Deinococcus 2 4 2 24 3.60678156325 4.9807503924 -0.865497451686 6.08984469678e-07 7.30781363614e-06 1.09823697877e-06 1.51659981816e-06 81.8333333333
Deinococcus 2 5 1 47 11.6159049484 9.75396951846 0.591153833776 3.04492234839e-07 1.43111350374e-05 3.53695285743e-06 2.97000797723e-06 35.4680851064
Pedobacter 0 1 0 58 7.65414242917 12.0368134483 -1.26573969181 0.0 9.93713392155e-06 1.31138342023e-06 2.06226598663e-06 110.137931034
Pedobacter 0 2 1 41 6.73636893107 8.50878192036 -0.665628936985 1.71329895199e-07 7.02452570317e-06 1.15414138298e-06 1.45780871469e-06 55.0731707317
