K	Reps	Strains	Treatments
0	1	Bacillus	0
0	2	Bacillus	0
0	3	Bacillus	0
17	4	Bacillus	0
0	5	Bacillus	0
0	2	Bacillus	1
0	3	Bacillus	1
0	4	Bacillus	1
1	5	Bacillus	1
0	1	Bacillus	2
0	2	Bacillus	2
0	4	Bacillus	2
0	5	Bacillus	2
0	1	Caulobacter	0
0	2	Caulobacter	0
0	3	Caulobacter	0
0	4	Caulobacter	0
0	5	Caulobacter	0
0	1	Caulobacter	1
0	2	Caulobacter	1
0	3	Caulobacter	1
0	5	Caulobacter	1
0	1	Caulobacter	2
0	2	Caulobacter	2
0	3	Caulobacter	2
0	1	Deinococcus	0
0	2	Deinococcus	0
3	3	Deinococcus	0
0	4	Deinococcus	0
0	5	Deinococcus	0
0	1	Deinococcus	1
0	2	Deinococcus	1
0	4	Deinococcus	1
0	5	Deinococcus	1
0	1	Deinococcus	2
1	2	Deinococcus	2
0	3	Deinococcus	2
1	5	Deinococcus	2
0	1	Pedobacter	0
0	2	Pedobacter	0
0	3	Pedobacter	0
0	4	Pedobacter	0
0	5	Pedobacter	0
1	1	Pedobacter	1
0	4	Pedobacter	1
0	1	Pedobacter	2
0	2	Pedobacter	2
0	3	Pedobacter	2
0	4	Pedobacter	2
0	1	Pseudomonas	0
0	2	Pseudomonas	0
1	3	Pseudomonas	0
1	4	Pseudomonas	0
0	5	Pseudomonas	0
0	1	Pseudomonas	1
0	2	Pseudomonas	1
0	4	Pseudomonas	1
0	5	Pseudomonas	1
0	1	Pseudomonas	2
0	2	Pseudomonas	2
0	3	Pseudomonas	2
0	4	Pseudomonas	2
