Time	Temp_C	blank_water_1	L1J2-200_1	L0J1-100_2	L1J3-200_2	L0J1-100_3	L1J3-200_3	L0J1-100_1	L1J3-200_1	L0J2-100_2	L2J1-100_2	L0J2-100_3	L2J1-100_3	L0J2-100_1	L2J1-100_1	L1J1-200_2	L2J2-100_2	L1J1-200_3	L2J2-100_3	L1J1-200_1	L2J2-100_1	L1J2-200_2	blank_media_1	L1J2-200_3	blank_water_2
0:14:49	25.0	0.035	0.045	0.044	0.048	0.046	0.048	0.046	0.049	0.048	0.049	0.047	0.050	0.048	0.048	0.050	0.042	0.048	0.041	0.047	0.042	0.044	0.035	0.046	0.036
0:29:49	25.0	0.035	0.046	0.045	0.050	0.049	0.049	0.048	0.050	0.050	0.051	0.050	0.051	0.048	0.050	0.051	0.043	0.049	0.041	0.048	0.043	0.045	0.035	0.047	0.036
0:44:49	25.0	0.035	0.048	0.047	0.051	0.049	0.050	0.048	0.049	0.051	0.053	0.051	0.053	0.050	0.051	0.053	0.043	0.051	0.042	0.050	0.043	0.046	0.035	0.048	0.036
0:59:49	25.0	0.035	0.049	0.049	0.052	0.051	0.051	0.050	0.052	0.053	0.054	0.052	0.054	0.052	0.054	0.055	0.044	0.053	0.043	0.052	0.044	0.047	0.035	0.049	0.036
1:14:49	25.0	0.035	0.049	0.050	0.053	0.052	0.052	0.051	0.053	0.055	0.057	0.054	0.056	0.053	0.056	0.057	0.044	0.054	0.043	0.053	0.044	0.048	0.035	0.049	0.036
1:29:49	25.0	0.035	0.050	0.052	0.055	0.054	0.055	0.053	0.055	0.057	0.059	0.056	0.059	0.055	0.058	0.059	0.045	0.057	0.044	0.056	0.045	0.050	0.035	0.051	0.036
1:44:49	25.0	0.035	0.052	0.054	0.057	0.056	0.057	0.054	0.056	0.058	0.061	0.058	0.061	0.057	0.060	0.061	0.046	0.059	0.044	0.057	0.046	0.051	0.035	0.052	0.036
1:59:49	25.0	0.035	0.054	0.057	0.059	0.058	0.059	0.057	0.059	0.060	0.064	0.060	0.064	0.059	0.062	0.064	0.046	0.061	0.045	0.060	0.047	0.052	0.035	0.053	0.036
2:14:49	25.0	0.035	0.055	0.059	0.061	0.061	0.060	0.059	0.061	0.063	0.066	0.062	0.066	0.061	0.064	0.067	0.047	0.063	0.046	0.062	0.047	0.053	0.035	0.055	0.036
2:29:49	25.0	0.035	0.057	0.063	0.064	0.064	0.062	0.063	0.063	0.066	0.069	0.065	0.069	0.063	0.067	0.070	0.048	0.066	0.047	0.065	0.048	0.056	0.035	0.057	0.036
2:44:49	25.0	0.035	0.059	0.067	0.067	0.068	0.065	0.065	0.066	0.070	0.072	0.069	0.072	0.067	0.070	0.074	0.049	0.070	0.048	0.069	0.049	0.058	0.035	0.059	0.036
2:59:49	25.0	0.035	0.059	0.071	0.070	0.072	0.069	0.069	0.070	0.074	0.076	0.073	0.075	0.071	0.073	0.078	0.050	0.073	0.049	0.072	0.050	0.059	0.035	0.061	0.036
3:14:49	25.0	0.035	0.063	0.074	0.073	0.077	0.072	0.074	0.074	0.080	0.080	0.078	0.079	0.076	0.076	0.083	0.051	0.078	0.050	0.077	0.052	0.065	0.035	0.063	0.036
3:29:49	25.0	0.035	0.066	0.079	0.082	0.083	0.077	0.077	0.080	0.086	0.085	0.085	0.084	0.082	0.081	0.088	0.052	0.083	0.052	0.081	0.053	0.066	0.035	0.067	0.036
