Time	Temp_C	blank_water_1	L0B4-100_1	L0B1-100_2	L0B5-100_2	L0B1-100_3	L0B5-100_3	L0B1-100_1	L0B5-100_1	L0B2-100_2	L1B1-200_2	L0B2-100_3	L1B1-200_3	L0B2-100_1	L1B1-200_1	L0B3-100_2	L1B2-200_2	L0B3-100_3	L1B2-200_3	L0B3-100_1	L1B2-200_1	L0B4-100_2	blank_media_1	L0B4-100_3	blank_water_2
0:14:49	25.1	0.036	0.043	0.042	0.041	0.043	0.040	0.042	0.040	0.043	0.039	0.041	0.039	0.040	0.038	0.041	0.040	0.040	0.039	0.039	0.041	0.043	0.034	0.044	0.037
0:29:49	25.1	0.036	0.044	0.042	0.041	0.043	0.040	0.042	0.040	0.042	0.039	0.042	0.039	0.041	0.039	0.041	0.040	0.040	0.039	0.040	0.041	0.043	0.034	0.044	0.037
0:44:49	25.1	0.037	0.044	0.043	0.042	0.044	0.041	0.043	0.040	0.043	0.040	0.042	0.039	0.041	0.039	0.041	0.041	0.041	0.039	0.040	0.041	0.043	0.034	0.045	0.037
0:59:49	25.1	0.037	0.045	0.043	0.042	0.044	0.041	0.043	0.041	0.043	0.040	0.042	0.039	0.041	0.039	0.041	0.040	0.041	0.039	0.040	0.041	0.043	0.034	0.045	0.037
1:14:49	25.1	0.036	0.045	0.043	0.042	0.044	0.041	0.043	0.041	0.043	0.040	0.042	0.039	0.041	0.039	0.042	0.040	0.041	0.039	0.040	0.041	0.044	0.034	0.045	0.037
1:29:49	25.1	0.037	0.045	0.044	0.043	0.045	0.042	0.043	0.041	0.044	0.040	0.043	0.039	0.042	0.039	0.041	0.041	0.041	0.040	0.041	0.046	0.044	0.034	0.045	0.037
1:44:49	25.1	0.037	0.046	0.044	0.043	0.045	0.042	0.044	0.042	0.044	0.040	0.043	0.039	0.043	0.039	0.042	0.041	0.041	0.040	0.041	0.046	0.044	0.034	0.047	0.037
1:59:49	25.2	0.037	0.046	0.045	0.043	0.046	0.043	0.044	0.042	0.045	0.040	0.044	0.040	0.042	0.040	0.042	0.046	0.042	0.040	0.041	0.042	0.045	0.034	0.046	0.037
2:14:49	25.2	0.036	0.047	0.046	0.044	0.046	0.044	0.045	0.042	0.050	0.041	0.044	0.040	0.043	0.040	0.043	0.042	0.042	0.041	0.041	0.042	0.046	0.034	0.047	0.037
2:29:49	25.2	0.037	0.048	0.048	0.045	0.048	0.044	0.046	0.043	0.047	0.041	0.045	0.040	0.044	0.040	0.043	0.045	0.043	0.041	0.042	0.043	0.047	0.034	0.048	0.037
2:44:49	25.1	0.037	0.049	0.049	0.046	0.049	0.045	0.047	0.044	0.047	0.041	0.046	0.041	0.044	0.040	0.044	0.048	0.043	0.041	0.042	0.043	0.048	0.035	0.049	0.038
2:59:49	25.1	0.036	0.050	0.051	0.047	0.051	0.047	0.048	0.045	0.048	0.042	0.047	0.041	0.045	0.040	0.044	0.044	0.044	0.042	0.044	0.046	0.048	0.034	0.049	0.037
3:14:49	25.1	0.037	0.051	0.052	0.049	0.052	0.048	0.049	0.047	0.050	0.042	0.050	0.041	0.046	0.041	0.045	0.047	0.046	0.042	0.044	0.044	0.049	0.034	0.050	0.037
3:29:49	25.1	0.037	0.052	0.055	0.051	0.055	0.051	0.052	0.049	0.052	0.042	0.051	0.042	0.048	0.042	0.046	0.045	0.047	0.044	0.045	0.045	0.051	0.034	0.051	0.037
3:44:49	25.1	0.036	0.053	0.058	0.052	0.057	0.053	0.054	0.050	0.055	0.044	0.053	0.042	0.048	0.042	0.047	0.050	0.048	0.044	0.046	0.048	0.052	0.034	0.052	0.037
3:59:49	25.1	0.036	0.055	0.061	0.069	0.060	0.056	0.057	0.052	0.057	0.043	0.056	0.043	0.050	0.042	0.049	0.046	0.050	0.045	0.047	0.047	0.054	0.034	0.055	0.037
4:14:49	25.1	0.037	0.057	0.064	0.058	0.066	0.066	0.060	0.058	0.061	0.047	0.058	0.045	0.053	0.043	0.051	0.049	0.053	0.047	0.049	0.049	0.056	0.034	0.056	0.037
4:29:49	25.1	0.037	0.059	0.070	0.068	0.071	0.062	0.063	0.059	0.065	0.048	0.061	0.052	0.054	0.044	0.053	0.050	0.055	0.049	0.052	0.052	0.059	0.034	0.058	0.038
4:44:49	25.1	0.037	0.061	0.075	0.067	0.077	0.067	0.068	0.064	0.070	0.046	0.066	0.046	0.057	0.044	0.055	0.052	0.058	0.051	0.054	0.055	0.062	0.036	0.061	0.037
4:59:49	25.1	0.036	0.064	0.082	0.074	0.087	0.076	0.073	0.069	0.076	0.047	0.071	0.047	0.060	0.045	0.057	0.057	0.061	0.058	0.055	0.057	0.065	0.034	0.064	0.037
5:14:49	25.1	0.037	0.067	0.090	0.084	0.094	0.088	0.081	0.076	0.082	0.049	0.079	0.051	0.065	0.046	0.060	0.058	0.067	0.063	0.058	0.062	0.068	0.034	0.066	0.037
5:29:49	25.1	0.037	0.071	0.098	0.093	0.103	0.096	0.088	0.085	0.089	0.051	0.086	0.052	0.069	0.058	0.065	0.064	0.074	0.063	0.064	0.069	0.072	0.034	0.070	0.037
5:44:49	25.1	0.036	0.074	0.106	0.102	0.110	0.104	0.097	0.091	0.096	0.078	0.095	0.051	0.075	0.057	0.069	0.070	0.080	0.069	0.066	0.071	0.076	0.034	0.073	0.037
5:59:49	25.1	0.036	0.079	0.117	0.112	0.123	0.117	0.104	0.103	0.105	0.062	0.103	0.071	0.081	0.050	0.075	0.078	0.091	0.073	0.073	0.078	0.080	0.034	0.077	0.037
6:14:49	25.1	0.037	0.081	0.129	0.125	0.135	0.127	0.112	0.114	0.119	0.064	0.115	0.063	0.086	0.051	0.085	0.084	0.097	0.081	0.081	0.084	0.085	0.034	0.080	0.037
6:29:49	25.1	0.037	0.086	0.144	0.136	0.148	0.139	0.129	0.127	0.131	0.068	0.130	0.064	0.093	0.058	0.090	0.096	0.108	0.093	0.089	0.093	0.089	0.034	0.086	0.037
6:44:49	25.1	0.036	0.094	0.158	0.147	0.162	0.149	0.145	0.140	0.144	0.073	0.144	0.070	0.104	0.063	0.099	0.104	0.121	0.102	0.097	0.103	0.096	0.034	0.092	0.037
6:59:49	25.1	0.036	0.101	0.168	0.157	0.173	0.159	0.158	0.150	0.157	0.078	0.155	0.075	0.114	0.066	0.109	0.116	0.135	0.114	0.108	0.123	0.103	0.034	0.100	0.037
7:14:49	25.1	0.036	0.108	0.180	0.169	0.182	0.170	0.170	0.158	0.169	0.084	0.167	0.081	0.123	0.071	0.122	0.129	0.147	0.128	0.119	0.128	0.110	0.034	0.105	0.037
7:29:49	25.1	0.036	0.115	0.200	0.175	0.187	0.178	0.183	0.171	0.178	0.092	0.177	0.087	0.132	0.078	0.133	0.141	0.158	0.145	0.135	0.142	0.118	0.034	0.112	0.037
7:44:49	25.1	0.036	0.127	0.222	0.173	0.200	0.177	0.193	0.181	0.193	0.102	0.185	0.092	0.140	0.080	0.142	0.153	0.171	0.153	0.146	0.159	0.131	0.034	0.123	0.037
7:59:49	25.1	0.036	0.142	0.237	0.181	0.214	0.184	0.201	0.195	0.193	0.108	0.194	0.098	0.145	0.086	0.154	0.166	0.181	0.164	0.160	0.160	0.144	0.034	0.134	0.037
8:14:49	25.1	0.036	0.157	0.257	0.191	0.231	0.194	0.227	0.201	0.205	0.118	0.200	0.107	0.153	0.093	0.166	0.179	0.193	0.175	0.170	0.174	0.159	0.034	0.146	0.037
8:29:49	25.1	0.036	0.172	0.282	0.204	0.249	0.204	0.245	0.216	0.221	0.130	0.210	0.114	0.163	0.101	0.175	0.194	0.204	0.186	0.181	0.182	0.174	0.034	0.159	0.037
8:44:49	25.1	0.037	0.186	0.301	0.220	0.269	0.216	0.264	0.229	0.238	0.142	0.227	0.124	0.173	0.111	0.183	0.208	0.217	0.201	0.191	0.193	0.189	0.034	0.174	0.037
8:59:49	25.2	0.037	0.204	0.326	0.233	0.292	0.231	0.280	0.244	0.258	0.159	0.249	0.134	0.184	0.123	0.199	0.211	0.235	0.220	0.191	0.209	0.206	0.035	0.189	0.037
9:14:49	25.2	0.036	0.233	0.347	0.248	0.316	0.247	0.298	0.256	0.280	0.174	0.266	0.147	0.199	0.140	0.216	0.221	0.250	0.231	0.213	0.222	0.224	0.034	0.207	0.037
9:29:49	25.2	0.036	0.246	0.372	0.265	0.340	0.266	0.311	0.277	0.305	0.191	0.287	0.161	0.215	0.157	0.234	0.231	0.268	0.243	0.228	0.234	0.245	0.034	0.226	0.037
9:44:49	25.2	0.036	0.266	0.396	0.282	0.365	0.284	0.335	0.295	0.331	0.210	0.307	0.178	0.227	0.173	0.252	0.246	0.287	0.260	0.247	0.248	0.262	0.034	0.249	0.037
9:59:49	25.1	0.036	0.299	0.420	0.301	0.388	0.303	0.353	0.314	0.355	0.229	0.330	0.190	0.246	0.192	0.268	0.263	0.309	0.268	0.265	0.259	0.283	0.034	0.270	0.037
10:14:49	25.2	0.036	0.318	0.443	0.322	0.410	0.323	0.371	0.335	0.384	0.253	0.352	0.210	0.265	0.205	0.288	0.277	0.330	0.287	0.284	0.272	0.307	0.034	0.290	0.037
10:29:49	25.2	0.036	0.352	0.461	0.344	0.430	0.345	0.398	0.355	0.408	0.273	0.375	0.241	0.281	0.223	0.309	0.300	0.350	0.303	0.299	0.290	0.331	0.034	0.315	0.037
10:44:49	25.1	0.036	0.376	0.488	0.360	0.452	0.367	0.420	0.369	0.437	0.290	0.398	0.247	0.300	0.243	0.331	0.313	0.375	0.323	0.322	0.307	0.354	0.034	0.337	0.037
10:59:49	25.1	0.036	0.402	0.509	0.378	0.469	0.382	0.445	0.388	0.453	0.306	0.417	0.263	0.324	0.268	0.353	0.337	0.400	0.342	0.342	0.327	0.381	0.034	0.364	0.037
11:14:49	25.1	0.037	0.433	0.523	0.394	0.486	0.399	0.466	0.407	0.470	0.324	0.435	0.278	0.340	0.289	0.376	0.356	0.419	0.356	0.365	0.345	0.408	0.034	0.393	0.037
11:29:49	25.1	0.036	0.457	0.541	0.407	0.506	0.418	0.485	0.421	0.490	0.344	0.456	0.293	0.366	0.301	0.399	0.374	0.437	0.379	0.386	0.363	0.436	0.034	0.420	0.037
11:44:49	25.1	0.036	0.477	0.563	0.426	0.526	0.435	0.506	0.436	0.507	0.369	0.474	0.321	0.381	0.318	0.419	0.392	0.457	0.399	0.411	0.386	0.463	0.034	0.449	0.037
11:59:49	25.1	0.036	0.498	0.578	0.445	0.544	0.453	0.521	0.455	0.515	0.391	0.491	0.340	0.403	0.340	0.437	0.407	0.475	0.417	0.429	0.409	0.485	0.034	0.469	0.037
12:14:49	25.1	0.036	0.518	0.595	0.458	0.559	0.469	0.533	0.472	0.529	0.412	0.507	0.363	0.428	0.371	0.457	0.425	0.487	0.442	0.452	0.431	0.506	0.034	0.490	0.037
12:29:49	25.1	0.036	0.536	0.607	0.478	0.575	0.486	0.547	0.491	0.539	0.427	0.521	0.374	0.448	0.386	0.473	0.442	0.500	0.456	0.466	0.447	0.528	0.034	0.513	0.037
12:44:49	25.1	0.036	0.560	0.625	0.493	0.591	0.506	0.568	0.505	0.546	0.444	0.534	0.389	0.457	0.407	0.484	0.464	0.513	0.478	0.483	0.467	0.548	0.034	0.531	0.037
12:59:49	25.1	0.036	0.568	0.639	0.509	0.605	0.520	0.588	0.524	0.561	0.458	0.545	0.410	0.482	0.427	0.498	0.477	0.526	0.494	0.496	0.487	0.560	0.034	0.543	0.037
13:14:49	25.1	0.036	0.583	0.652	0.523	0.619	0.534	0.605	0.537	0.571	0.463	0.558	0.427	0.501	0.445	0.512	0.496	0.540	0.511	0.504	0.506	0.572	0.034	0.557	0.037
13:29:49	25.1	0.036	0.601	0.664	0.532	0.632	0.546	0.623	0.549	0.582	0.493	0.569	0.434	0.515	0.464	0.525	0.509	0.549	0.511	0.523	0.519	0.587	0.034	0.572	0.037
13:44:49	25.1	0.036	0.614	0.679	0.539	0.646	0.554	0.641	0.569	0.594	0.500	0.583	0.457	0.533	0.475	0.539	0.521	0.556	0.526	0.540	0.527	0.599	0.034	0.583	0.037
13:59:49	25.1	0.036	0.624	0.692	0.551	0.660	0.563	0.655	0.576	0.602	0.507	0.593	0.468	0.549	0.487	0.549	0.531	0.565	0.545	0.552	0.543	0.614	0.034	0.596	0.037
14:14:49	25.1	0.036	0.639	0.707	0.559	0.673	0.577	0.671	0.587	0.612	0.501	0.604	0.470	0.567	0.497	0.558	0.535	0.572	0.550	0.567	0.560	0.620	0.034	0.606	0.037
14:29:49	25.1	0.036	0.642	0.718	0.575	0.684	0.589	0.684	0.592	0.622	0.527	0.616	0.469	0.584	0.496	0.565	0.539	0.580	0.548	0.578	0.567	0.626	0.034	0.617	0.037
14:44:49	25.1	0.036	0.647	0.731	0.589	0.697	0.606	0.696	0.603	0.633	0.511	0.628	0.489	0.590	0.505	0.574	0.545	0.589	0.546	0.588	0.575	0.637	0.034	0.627	0.037
14:59:49	25.1	0.036	0.652	0.742	0.602	0.707	0.620	0.708	0.614	0.646	0.511	0.640	0.476	0.606	0.504	0.582	0.552	0.598	0.560	0.601	0.572	0.641	0.034	0.634	0.037
15:14:49	25.1	0.036	0.665	0.750	0.621	0.715	0.637	0.722	0.627	0.659	0.511	0.653	0.470	0.624	0.503	0.591	0.561	0.607	0.572	0.610	0.580	0.649	0.034	0.644	0.037
15:29:49	25.1	0.036	0.667	0.763	0.633	0.725	0.650	0.734	0.644	0.669	0.512	0.663	0.486	0.635	0.504	0.598	0.562	0.618	0.574	0.622	0.585	0.658	0.034	0.657	0.037
15:44:49	25.1	0.036	0.673	0.769	0.645	0.735	0.669	0.745	0.657	0.679	0.504	0.675	0.482	0.651	0.512	0.607	0.571	0.626	0.583	0.629	0.592	0.667	0.034	0.668	0.037
15:59:49	25.1	0.036	0.698	0.777	0.664	0.743	0.681	0.755	0.669	0.690	0.504	0.684	0.487	0.659	0.509	0.619	0.577	0.635	0.592	0.639	0.591	0.677	0.034	0.683	0.037
16:14:49	25.1	0.036	0.706	0.787	0.671	0.751	0.698	0.764	0.681	0.699	0.513	0.692	0.490	0.671	0.509	0.630	0.575	0.644	0.592	0.652	0.598	0.689	0.034	0.696	0.037
16:29:49	25.1	0.036	0.708	0.790	0.689	0.755	0.711	0.775	0.698	0.707	0.524	0.702	0.487	0.688	0.503	0.635	0.583	0.650	0.588	0.662	0.614	0.701	0.034	0.710	0.037
16:44:49	25.1	0.036	0.728	0.796	0.695	0.755	0.723	0.782	0.709	0.716	0.513	0.710	0.501	0.692	0.526	0.646	0.582	0.658	0.603	0.675	0.620	0.716	0.034	0.724	0.037
16:59:49	25.1	0.036	0.732	0.796	0.705	0.755	0.731	0.791	0.721	0.725	0.526	0.719	0.495	0.700	0.520	0.652	0.582	0.669	0.597	0.688	0.617	0.726	0.034	0.734	0.037
17:14:49	25.1	0.036	0.754	0.794	0.719	0.757	0.743	0.797	0.733	0.730	0.523	0.727	0.509	0.711	0.527	0.662	0.586	0.675	0.609	0.704	0.618	0.735	0.034	0.749	0.037
17:29:49	25.0	0.036	0.758	0.794	0.724	0.757	0.752	0.803	0.745	0.739	0.570	0.734	0.501	0.720	0.511	0.667	0.585	0.681	0.605	0.717	0.613	0.747	0.034	0.757	0.037
17:44:49	25.1	0.036	0.778	0.793	0.736	0.759	0.765	0.810	0.754	0.744	0.529	0.741	0.507	0.732	0.518	0.675	0.584	0.688	0.591	0.721	0.621	0.753	0.034	0.766	0.037
17:59:49	25.1	0.036	0.780	0.797	0.743	0.760	0.767	0.819	0.758	0.750	0.527	0.745	0.517	0.736	0.518	0.680	0.584	0.695	0.608	0.734	0.627	0.764	0.034	0.777	0.037
18:14:49	25.1	0.036	0.793	0.797	0.750	0.765	0.776	0.826	0.771	0.749	0.524	0.748	0.516	0.743	0.514	0.688	0.587	0.699	0.617	0.737	0.620	0.768	0.034	0.785	0.037
18:29:49	25.1	0.036	0.808	0.796	0.763	0.767	0.781	0.831	0.784	0.749	0.584	0.750	0.512	0.756	0.531	0.692	0.576	0.706	0.597	0.742	0.621	0.777	0.034	0.795	0.037
18:44:49	25.1	0.036	0.811	0.801	0.765	0.767	0.791	0.840	0.789	0.747	0.527	0.749	0.511	0.760	0.523	0.700	0.579	0.712	0.604	0.742	0.635	0.783	0.034	0.803	0.037
18:59:49	25.1	0.036	0.817	0.797	0.770	0.773	0.795	0.844	0.797	0.748	0.531	0.754	0.507	0.763	0.527	0.704	0.579	0.708	0.597	0.746	0.618	0.791	0.034	0.813	0.037
19:14:49	25.1	0.036	0.817	0.799	0.775	0.775	0.800	0.847	0.808	0.750	0.627	0.763	0.516	0.760	0.531	0.704	0.577	0.704	0.600	0.741	0.625	0.797	0.034	0.820	0.037
19:29:49	25.1	0.036	0.823	0.800	0.786	0.777	0.805	0.848	0.813	0.748	0.532	0.771	0.514	0.767	0.545	0.705	0.579	0.700	0.605	0.742	0.614	0.809	0.033	0.825	0.037
19:44:49	25.2	0.036	0.838	0.799	0.783	0.779	0.806	0.843	0.819	0.752	0.529	0.776	0.523	0.770	0.517	0.703	0.568	0.696	0.612	0.735	0.619	0.813	0.034	0.827	0.037
