Time	Temp_C	blank_water_1	L2J2-100_1	L2B1-100_2	L2J3-100_2	L2B1-100_3	L2J3-100_3	L2B1-100_1	L2J3-100_1	L2B2-100_2	L2J4-200_2	L2B2-100_3	L2J4-200_3	L2B2-100_1	L2J4-200_1	L2J1-100_2	L2J5-200_2	L2J1-100_3	L2J5-200_3	L2J1-100_1	L2J5-200_1	L2J2-100_2	blank_media_1	L2J2-100_3	blank_water_2
0:14:49	25.0	0.037	0.037	0.035	0.042	0.037	0.040	0.036	0.041	0.038	0.039	0.037	0.038	0.036	0.037	0.042	0.044	0.039	0.043	0.040	0.043	0.037	0.034	0.039	0.037
0:29:49	25.1	0.037	0.038	0.035	0.043	0.037	0.041	0.037	0.042	0.038	0.039	0.037	0.038	0.037	0.038	0.042	0.045	0.039	0.044	0.041	0.044	0.038	0.034	0.039	0.037
0:44:49	25.1	0.037	0.039	0.036	0.044	0.037	0.042	0.037	0.043	0.038	0.039	0.038	0.039	0.038	0.038	0.044	0.046	0.040	0.046	0.042	0.046	0.038	0.034	0.039	0.037
0:59:49	25.1	0.036	0.038	0.036	0.046	0.037	0.043	0.037	0.044	0.038	0.040	0.040	0.039	0.038	0.038	0.044	0.048	0.040	0.048	0.042	0.047	0.038	0.034	0.039	0.037
1:14:49	25.1	0.037	0.039	0.036	0.048	0.038	0.045	0.037	0.046	0.039	0.041	0.038	0.040	0.038	0.039	0.045	0.050	0.041	0.050	0.043	0.049	0.038	0.034	0.039	0.038
1:29:49	25.1	0.037	0.039	0.036	0.049	0.038	0.046	0.037	0.047	0.039	0.041	0.039	0.040	0.039	0.040	0.046	0.052	0.042	0.053	0.044	0.051	0.038	0.034	0.039	0.037
1:44:49	25.1	0.036	0.039	0.036	0.051	0.038	0.047	0.038	0.049	0.040	0.042	0.039	0.041	0.040	0.041	0.047	0.054	0.043	0.055	0.045	0.053	0.038	0.034	0.039	0.037
1:59:49	25.1	0.037	0.039	0.037	0.054	0.038	0.050	0.038	0.051	0.041	0.043	0.040	0.041	0.041	0.041	0.049	0.057	0.044	0.059	0.047	0.056	0.038	0.034	0.039	0.037
2:14:49	25.1	0.037	0.039	0.037	0.057	0.038	0.052	0.038	0.053	0.042	0.043	0.041	0.042	0.041	0.042	0.050	0.060	0.044	0.062	0.048	0.059	0.038	0.034	0.039	0.037
2:29:49	25.1	0.036	0.039	0.038	0.060	0.039	0.054	0.039	0.056	0.043	0.045	0.042	0.043	0.042	0.043	0.052	0.064	0.046	0.067	0.050	0.063	0.039	0.034	0.040	0.037
2:44:49	25.1	0.037	0.039	0.039	0.063	0.039	0.057	0.039	0.059	0.044	0.046	0.043	0.045	0.043	0.045	0.054	0.068	0.048	0.072	0.052	0.067	0.039	0.034	0.040	0.038
2:59:49	25.1	0.037	0.039	0.039	0.067	0.040	0.060	0.040	0.063	0.046	0.048	0.044	0.046	0.043	0.046	0.056	0.073	0.049	0.077	0.053	0.071	0.039	0.034	0.040	0.037
3:14:49	25.1	0.037	0.039	0.040	0.072	0.041	0.064	0.041	0.068	0.047	0.049	0.046	0.047	0.044	0.048	0.059	0.079	0.051	0.083	0.057	0.077	0.039	0.034	0.040	0.037
3:29:49	25.1	0.037	0.040	0.042	0.078	0.042	0.069	0.042	0.073	0.048	0.052	0.049	0.050	0.047	0.050	0.061	0.086	0.053	0.092	0.059	0.083	0.039	0.034	0.040	0.037
3:44:49	25.1	0.037	0.040	0.043	0.085	0.046	0.075	0.043	0.079	0.050	0.054	0.051	0.051	0.049	0.052	0.065	0.093	0.055	0.100	0.062	0.090	0.039	0.034	0.040	0.038
3:59:49	25.1	0.037	0.040	0.045	0.092	0.044	0.081	0.044	0.086	0.053	0.057	0.053	0.054	0.051	0.055	0.068	0.102	0.058	0.110	0.066	0.099	0.039	0.034	0.040	0.038
4:14:49	25.1	0.037	0.040	0.047	0.102	0.045	0.088	0.046	0.094	0.057	0.060	0.057	0.057	0.055	0.057	0.072	0.112	0.062	0.122	0.070	0.108	0.040	0.034	0.040	0.037
4:29:49	25.1	0.037	0.040	0.049	0.112	0.047	0.097	0.048	0.104	0.061	0.064	0.062	0.060	0.058	0.061	0.075	0.124	0.063	0.136	0.074	0.120	0.040	0.034	0.041	0.037
4:44:49	25.1	0.036	0.040	0.053	0.124	0.050	0.107	0.050	0.114	0.066	0.068	0.068	0.063	0.062	0.065	0.085	0.138	0.069	0.153	0.078	0.133	0.040	0.034	0.041	0.037
4:59:49	25.1	0.036	0.041	0.057	0.138	0.053	0.120	0.053	0.128	0.073	0.074	0.075	0.068	0.067	0.070	0.094	0.154	0.072	0.172	0.085	0.148	0.040	0.034	0.041	0.037
5:14:49	25.1	0.036	0.041	0.063	0.155	0.057	0.133	0.059	0.143	0.081	0.080	0.084	0.073	0.074	0.075	0.094	0.173	0.080	0.195	0.091	0.167	0.041	0.034	0.041	0.037
5:29:49	25.1	0.037	0.042	0.070	0.174	0.062	0.150	0.062	0.161	0.089	0.087	0.093	0.079	0.081	0.081	0.114	0.196	0.086	0.222	0.097	0.188	0.041	0.035	0.042	0.037
5:44:49	25.1	0.037	0.042	0.079	0.198	0.068	0.171	0.068	0.181	0.096	0.096	0.102	0.085	0.087	0.088	0.118	0.223	0.090	0.252	0.106	0.211	0.041	0.034	0.042	0.037
5:59:49	25.0	0.036	0.042	0.086	0.225	0.076	0.194	0.077	0.209	0.107	0.105	0.112	0.093	0.094	0.097	0.110	0.254	0.102	0.288	0.109	0.239	0.041	0.035	0.042	0.037
6:14:49	25.1	0.037	0.042	0.094	0.258	0.086	0.222	0.084	0.233	0.118	0.117	0.121	0.102	0.103	0.106	0.135	0.288	0.100	0.326	0.115	0.271	0.042	0.035	0.042	0.037
6:29:49	25.1	0.037	0.043	0.105	0.292	0.093	0.253	0.090	0.270	0.129	0.130	0.130	0.113	0.111	0.117	0.152	0.325	0.116	0.362	0.127	0.309	0.042	0.034	0.043	0.037
6:44:49	25.1	0.037	0.044	0.117	0.330	0.104	0.284	0.101	0.305	0.141	0.145	0.140	0.125	0.119	0.130	0.164	0.361	0.113	0.396	0.165	0.343	0.043	0.035	0.043	0.037
6:59:49	25.1	0.036	0.044	0.129	0.364	0.118	0.318	0.114	0.343	0.147	0.161	0.150	0.140	0.129	0.144	0.188	0.394	0.134	0.426	0.156	0.378	0.043	0.034	0.043	0.037
7:14:49	25.1	0.037	0.045	0.141	0.397	0.128	0.354	0.128	0.376	0.159	0.182	0.155	0.155	0.138	0.161	0.217	0.423	0.163	0.454	0.234	0.412	0.044	0.035	0.044	0.037
7:29:49	25.1	0.036	0.044	0.150	0.425	0.140	0.382	0.141	0.406	0.166	0.203	0.160	0.172	0.148	0.180	0.234	0.447	0.185	0.476	0.218	0.443	0.046	0.035	0.044	0.037
7:44:49	25.1	0.036	0.045	0.159	0.444	0.150	0.416	0.155	0.430	0.166	0.230	0.160	0.194	0.152	0.201	0.271	0.470	0.197	0.500	0.247	0.465	0.045	0.034	0.045	0.037
7:59:49	25.1	0.037	0.046	0.167	0.467	0.159	0.438	0.163	0.455	0.166	0.259	0.160	0.217	0.153	0.227	0.300	0.494	0.229	0.523	0.271	0.486	0.046	0.035	0.046	0.037
8:14:49	25.1	0.036	0.047	0.171	0.490	0.167	0.458	0.169	0.478	0.165	0.287	0.159	0.245	0.153	0.252	0.323	0.515	0.312	0.544	0.305	0.508	0.046	0.035	0.046	0.037
8:29:49	25.1	0.036	0.046	0.175	0.512	0.166	0.481	0.174	0.499	0.164	0.322	0.159	0.273	0.155	0.283	0.350	0.535	0.294	0.564	0.325	0.528	0.050	0.035	0.046	0.037
8:44:49	25.2	0.036	0.050	0.174	0.534	0.163	0.501	0.174	0.522	0.163	0.352	0.158	0.302	0.154	0.317	0.389	0.555	0.323	0.584	0.352	0.551	0.047	0.035	0.047	0.037
8:59:49	25.2	0.036	0.054	0.176	0.553	0.162	0.519	0.175	0.542	0.162	0.386	0.158	0.332	0.155	0.348	0.409	0.573	0.347	0.604	0.379	0.571	0.047	0.035	0.048	0.037
9:14:49	25.1	0.037	0.052	0.177	0.574	0.162	0.537	0.174	0.559	0.161	0.413	0.157	0.362	0.155	0.378	0.418	0.593	0.369	0.623	0.410	0.588	0.050	0.035	0.049	0.037
9:29:49	25.2	0.036	0.049	0.177	0.592	0.163	0.560	0.173	0.579	0.161	0.436	0.157	0.388	0.158	0.402	0.428	0.612	0.412	0.640	0.426	0.603	0.052	0.035	0.050	0.037
9:44:49	25.2	0.036	0.052	0.180	0.610	0.163	0.580	0.174	0.601	0.160	0.462	0.155	0.409	0.156	0.424	0.449	0.632	0.428	0.658	0.438	0.625	0.052	0.035	0.051	0.037
9:59:49	25.2	0.036	0.051	0.179	0.628	0.164	0.595	0.176	0.618	0.159	0.484	0.155	0.433	0.156	0.448	0.451	0.652	0.446	0.678	0.450	0.639	0.055	0.035	0.052	0.037
10:14:49	25.2	0.036	0.055	0.183	0.646	0.166	0.610	0.176	0.639	0.158	0.507	0.155	0.454	0.161	0.468	0.472	0.671	0.446	0.691	0.468	0.659	0.058	0.035	0.055	0.037
10:29:49	25.2	0.037	0.060	0.184	0.664	0.166	0.626	0.176	0.654	0.156	0.530	0.154	0.474	0.154	0.486	0.514	0.691	0.460	0.706	0.476	0.673	0.062	0.035	0.055	0.037
10:44:49	25.2	0.036	0.059	0.181	0.683	0.168	0.643	0.177	0.669	0.157	0.550	0.152	0.495	0.157	0.508	0.495	0.708	0.481	0.724	0.500	0.697	0.059	0.035	0.056	0.037
