Time	Temp_C	blank_water_1	L0P4-100_1	L0P1-100_2	L0P5-100_2	L0P1-100_3	L0P5-100_3	L0P1-100_1	L0P5-100_1	L0P2-100_2	L1P1-200_2	L0P2-100_3	L1P1-200_3	L0P2-100_1	L1P1-200_1	L0P3-100_2	L1P2-200_2	L0P3-100_3	L1P2-200_3	L0P3-100_1	L1P2-200_1	L0P4-100_2	blank_media_1	L0P4-100_3	blank_water_2
0:00:00	25.2	0.037	0.047	0.065	0.043	0.043	0.044	0.045	0.043	0.044	0.044	0.042	0.045	0.042	0.044	0.044	0.043	0.044	0.043	0.041	0.044	0.043	0.034	0.046	0.034
0:15:23	25.1	0.037	0.046	0.043	0.045	0.045	0.046	0.045	0.044	0.046	0.046	0.045	0.047	0.044	0.045	0.046	0.044	0.045	0.043	0.043	0.044	0.044	0.035	0.047	0.035
0:30:48	25.1	0.037	0.047	0.045	0.047	0.047	0.048	0.046	0.045	0.047	0.047	0.046	0.047	0.045	0.045	0.048	0.044	0.047	0.043	0.044	0.045	0.045	0.035	0.048	0.035
0:46:12	25.1	0.037	0.048	0.046	0.048	0.048	0.049	0.047	0.046	0.048	0.047	0.047	0.047	0.046	0.046	0.049	0.045	0.048	0.044	0.045	0.047	0.046	0.035	0.049	0.035
1:01:37	25.1	0.037	0.049	0.047	0.049	0.049	0.050	0.048	0.047	0.049	0.049	0.048	0.048	0.047	0.047	0.050	0.045	0.049	0.044	0.046	0.047	0.047	0.035	0.050	0.035
1:17:02	25.1	0.037	0.051	0.049	0.051	0.050	0.052	0.050	0.049	0.051	0.049	0.050	0.049	0.048	0.048	0.052	0.047	0.051	0.045	0.047	0.048	0.049	0.035	0.051	0.035
1:32:26	25.1	0.037	0.052	0.051	0.053	0.052	0.054	0.052	0.050	0.052	0.050	0.052	0.051	0.050	0.050	0.054	0.048	0.053	0.047	0.050	0.048	0.050	0.035	0.053	0.035
1:47:51	25.1	0.037	0.054	0.053	0.055	0.055	0.056	0.054	0.053	0.054	0.053	0.054	0.052	0.052	0.051	0.056	0.049	0.055	0.048	0.051	0.049	0.052	0.035	0.056	0.035
2:03:15	25.1	0.037	0.057	0.057	0.058	0.058	0.059	0.056	0.055	0.057	0.054	0.057	0.057	0.054	0.052	0.060	0.051	0.058	0.049	0.054	0.051	0.054	0.035	0.058	0.035
2:18:40	25.1	0.037	0.061	0.060	0.061	0.062	0.063	0.060	0.058	0.060	0.056	0.061	0.055	0.057	0.053	0.064	0.050	0.062	0.050	0.057	0.053	0.057	0.035	0.062	0.035
