Time	Temp_C	blank_water_1	L0D4-100_1	L0D1-100_2	L0D5-100_2	L0D1-100_3	L0D5-100_3	L0D1-100_1	L0D5-100_1	L0D2-100_2	L1D1-100_2	L0D2-100_3	L1D1-100_3	L0D2-100_1	L1D1-100_1	L0D3-100_2	L1D2-100_2	L0D3-100_3	L1D2-100_3	L0D3-100_1	L1D2-100_1	L0D4-100_2	blank_media_1	L0D4-100_3	blank_water_2
0:00:00	24.9	0.035	0.043	0.039	0.040	0.040	0.038	0.039	0.039	0.038	0.038	0.036	0.035	0.036	0.035	0.038	0.037	0.037	0.035	0.036	0.037	0.037	0.035	0.040	0.037
0:15:27	25.0	0.035	0.039	0.036	0.039	0.039	0.038	0.039	0.038	0.039	0.040	0.037	0.036	0.037	0.036	0.038	0.037	0.037	0.036	0.037	0.038	0.038	0.035	0.040	0.037
0:30:51	25.1	0.035	0.039	0.036	0.039	0.039	0.038	0.039	0.038	0.039	0.039	0.037	0.036	0.037	0.036	0.038	0.037	0.037	0.036	0.037	0.038	0.038	0.035	0.040	0.037
0:46:16	25.1	0.035	0.040	0.037	0.039	0.039	0.038	0.040	0.038	0.039	0.040	0.037	0.036	0.036	0.036	0.038	0.038	0.037	0.036	0.037	0.038	0.038	0.035	0.040	0.037
1:01:41	25.2	0.035	0.040	0.036	0.039	0.039	0.038	0.039	0.038	0.039	0.039	0.037	0.036	0.036	0.036	0.038	0.038	0.037	0.036	0.037	0.038	0.038	0.035	0.040	0.037
1:17:06	25.3	0.035	0.040	0.037	0.039	0.040	0.038	0.040	0.038	0.039	0.040	0.037	0.036	0.037	0.036	0.038	0.038	0.038	0.036	0.037	0.038	0.038	0.035	0.040	0.037
1:32:30	25.3	0.035	0.040	0.037	0.039	0.040	0.038	0.040	0.039	0.039	0.040	0.037	0.036	0.037	0.036	0.039	0.038	0.037	0.036	0.037	0.038	0.038	0.035	0.040	0.037
1:47:55	25.3	0.035	0.040	0.037	0.039	0.040	0.038	0.040	0.039	0.039	0.040	0.037	0.036	0.037	0.036	0.039	0.038	0.038	0.036	0.037	0.038	0.038	0.035	0.040	0.037
2:03:19	25.4	0.035	0.040	0.037	0.039	0.040	0.038	0.040	0.039	0.039	0.041	0.038	0.036	0.037	0.036	0.039	0.038	0.038	0.037	0.037	0.039	0.039	0.035	0.040	0.037
2:18:44	25.4	0.035	0.040	0.037	0.039	0.040	0.038	0.040	0.039	0.039	0.041	0.038	0.036	0.037	0.037	0.039	0.038	0.038	0.037	0.037	0.038	0.039	0.035	0.040	0.037
2:34:09	25.4	0.035	0.040	0.037	0.039	0.040	0.038	0.040	0.039	0.039	0.040	0.038	0.036	0.037	0.036	0.039	0.038	0.038	0.037	0.038	0.038	0.039	0.035	0.040	0.037
2:49:33	25.4	0.035	0.040	0.037	0.039	0.040	0.038	0.040	0.039	0.039	0.040	0.038	0.036	0.037	0.037	0.039	0.038	0.038	0.037	0.038	0.039	0.039	0.035	0.041	0.037
3:04:58	25.4	0.035	0.040	0.038	0.040	0.041	0.039	0.040	0.039	0.039	0.040	0.038	0.036	0.037	0.036	0.039	0.038	0.038	0.037	0.038	0.039	0.039	0.035	0.041	0.037
3:20:23	25.4	0.035	0.041	0.038	0.040	0.041	0.039	0.040	0.039	0.039	0.040	0.038	0.036	0.037	0.036	0.039	0.038	0.038	0.037	0.038	0.039	0.039	0.035	0.041	0.037
3:35:47	25.4	0.035	0.040	0.038	0.040	0.042	0.039	0.040	0.040	0.040	0.040	0.038	0.036	0.037	0.037	0.039	0.039	0.038	0.037	0.038	0.039	0.039	0.035	0.041	0.037
3:51:11	25.4	0.035	0.041	0.038	0.040	0.042	0.039	0.041	0.040	0.040	0.040	0.038	0.036	0.037	0.037	0.040	0.039	0.039	0.037	0.038	0.039	0.039	0.035	0.041	0.037
4:06:36	25.4	0.035	0.041	0.039	0.040	0.042	0.039	0.041	0.040	0.040	0.040	0.039	0.037	0.038	0.037	0.040	0.039	0.039	0.037	0.039	0.039	0.040	0.036	0.041	0.037
4:22:01	25.4	0.035	0.041	0.039	0.040	0.042	0.040	0.041	0.040	0.040	0.041	0.039	0.037	0.038	0.037	0.040	0.039	0.039	0.037	0.039	0.039	0.040	0.036	0.041	0.037
4:37:26	25.4	0.034	0.041	0.039	0.041	0.042	0.040	0.041	0.040	0.040	0.041	0.039	0.037	0.038	0.037	0.040	0.039	0.039	0.037	0.039	0.039	0.040	0.035	0.041	0.037
4:52:50	25.4	0.035	0.042	0.039	0.041	0.043	0.040	0.041	0.040	0.040	0.040	0.039	0.037	0.038	0.037	0.040	0.039	0.039	0.038	0.039	0.039	0.040	0.036	0.042	0.037
5:08:15	25.4	0.034	0.041	0.039	0.041	0.043	0.040	0.042	0.040	0.040	0.040	0.039	0.037	0.038	0.037	0.040	0.039	0.040	0.037	0.039	0.039	0.040	0.036	0.042	0.037
5:23:40	25.4	0.035	0.042	0.040	0.041	0.043	0.040	0.042	0.041	0.041	0.040	0.039	0.037	0.039	0.037	0.041	0.039	0.040	0.038	0.039	0.039	0.040	0.036	0.042	0.037
5:39:04	25.4	0.035	0.042	0.040	0.041	0.043	0.040	0.042	0.041	0.041	0.041	0.039	0.037	0.039	0.037	0.041	0.040	0.040	0.038	0.039	0.039	0.040	0.036	0.042	0.037
5:54:29	25.3	0.035	0.042	0.040	0.042	0.044	0.041	0.043	0.041	0.041	0.041	0.040	0.037	0.039	0.037	0.041	0.039	0.040	0.038	0.040	0.040	0.041	0.036	0.043	0.037
6:09:54	25.3	0.035	0.042	0.041	0.042	0.044	0.041	0.043	0.041	0.041	0.041	0.040	0.037	0.039	0.037	0.041	0.040	0.040	0.038	0.040	0.040	0.041	0.036	0.043	0.038
6:25:19	25.3	0.034	0.043	0.041	0.042	0.045	0.041	0.043	0.041	0.041	0.042	0.040	0.038	0.039	0.037	0.042	0.040	0.041	0.038	0.040	0.040	0.041	0.035	0.043	0.038
6:40:43	25.3	0.035	0.043	0.041	0.042	0.045	0.041	0.044	0.041	0.042	0.041	0.040	0.037	0.040	0.038	0.042	0.040	0.041	0.038	0.040	0.040	0.041	0.036	0.043	0.038
6:56:08	25.3	0.035	0.043	0.042	0.043	0.046	0.042	0.044	0.042	0.042	0.041	0.041	0.038	0.040	0.037	0.042	0.040	0.041	0.039	0.040	0.040	0.041	0.036	0.043	0.038
7:11:32	25.3	0.035	0.043	0.042	0.043	0.046	0.042	0.044	0.042	0.042	0.041	0.041	0.038	0.040	0.038	0.042	0.040	0.042	0.039	0.041	0.040	0.042	0.036	0.043	0.038
7:26:57	25.3	0.034	0.044	0.042	0.043	0.047	0.042	0.044	0.043	0.042	0.042	0.041	0.038	0.040	0.038	0.043	0.040	0.042	0.039	0.041	0.040	0.042	0.036	0.044	0.038
7:42:22	25.3	0.035	0.044	0.043	0.043	0.047	0.043	0.045	0.043	0.042	0.042	0.041	0.038	0.040	0.038	0.043	0.041	0.042	0.039	0.041	0.040	0.042	0.036	0.044	0.038
7:57:47	25.2	0.034	0.045	0.043	0.044	0.048	0.043	0.045	0.043	0.043	0.042	0.042	0.038	0.041	0.038	0.043	0.041	0.043	0.039	0.041	0.041	0.043	0.035	0.044	0.038
8:13:11	25.2	0.035	0.045	0.043	0.044	0.049	0.043	0.045	0.043	0.043	0.042	0.042	0.039	0.041	0.039	0.044	0.041	0.043	0.039	0.041	0.041	0.043	0.036	0.044	0.038
8:28:36	25.2	0.035	0.046	0.044	0.045	0.049	0.044	0.046	0.044	0.043	0.042	0.043	0.039	0.041	0.039	0.044	0.041	0.043	0.040	0.042	0.041	0.043	0.036	0.045	0.038
8:44:00	25.2	0.035	0.046	0.044	0.045	0.050	0.044	0.046	0.044	0.044	0.042	0.043	0.039	0.042	0.039	0.044	0.042	0.044	0.040	0.042	0.041	0.043	0.036	0.045	0.039
8:59:25	25.2	0.035	0.047	0.045	0.045	0.051	0.044	0.047	0.044	0.044	0.041	0.043	0.039	0.042	0.039	0.044	0.042	0.044	0.040	0.042	0.041	0.044	0.036	0.045	0.038
9:14:50	25.2	0.035	0.047	0.046	0.046	0.051	0.045	0.047	0.045	0.044	0.042	0.043	0.039	0.042	0.040	0.045	0.042	0.044	0.040	0.043	0.041	0.044	0.036	0.046	0.039
9:30:14	25.2	0.035	0.048	0.046	0.046	0.052	0.046	0.048	0.045	0.045	0.041	0.044	0.040	0.043	0.039	0.046	0.042	0.045	0.040	0.043	0.041	0.045	0.036	0.046	0.039
9:45:39	25.2	0.035	0.048	0.047	0.047	0.053	0.046	0.048	0.046	0.045	0.043	0.044	0.040	0.043	0.039	0.046	0.042	0.045	0.041	0.043	0.042	0.045	0.036	0.047	0.039
10:01:04	25.2	0.035	0.049	0.048	0.047	0.054	0.047	0.049	0.046	0.046	0.043	0.044	0.040	0.043	0.040	0.047	0.043	0.046	0.041	0.044	0.042	0.046	0.036	0.047	0.039
10:16:29	25.2	0.035	0.049	0.049	0.048	0.056	0.047	0.049	0.047	0.047	0.042	0.045	0.040	0.044	0.040	0.047	0.043	0.046	0.041	0.044	0.042	0.046	0.036	0.048	0.039
10:31:53	25.2	0.035	0.050	0.050	0.049	0.056	0.048	0.050	0.047	0.047	0.042	0.045	0.040	0.044	0.040	0.048	0.043	0.047	0.041	0.045	0.043	0.047	0.036	0.048	0.039
10:47:18	25.2	0.035	0.051	0.050	0.049	0.057	0.049	0.051	0.048	0.047	0.042	0.046	0.040	0.045	0.040	0.049	0.044	0.048	0.042	0.045	0.043	0.048	0.036	0.049	0.039
11:02:42	25.2	0.035	0.051	0.051	0.050	0.058	0.049	0.052	0.049	0.048	0.043	0.047	0.041	0.045	0.041	0.049	0.044	0.048	0.042	0.046	0.043	0.048	0.036	0.049	0.039
11:18:07	25.2	0.035	0.052	0.052	0.051	0.059	0.050	0.053	0.049	0.049	0.043	0.047	0.041	0.045	0.041	0.050	0.044	0.049	0.042	0.046	0.043	0.049	0.036	0.050	0.039
11:33:32	25.2	0.035	0.053	0.053	0.051	0.060	0.051	0.054	0.050	0.049	0.043	0.048	0.041	0.046	0.041	0.051	0.045	0.050	0.042	0.047	0.044	0.049	0.036	0.050	0.039
11:48:56	25.2	0.035	0.054	0.054	0.052	0.062	0.051	0.054	0.050	0.050	0.043	0.048	0.041	0.047	0.041	0.051	0.045	0.050	0.043	0.048	0.044	0.050	0.036	0.051	0.039
12:04:21	25.2	0.036	0.055	0.055	0.053	0.063	0.053	0.056	0.051	0.050	0.045	0.049	0.041	0.047	0.041	0.052	0.045	0.051	0.043	0.048	0.044	0.051	0.036	0.052	0.039
