Time	Temp_C	blank_water_1	L1S5-100_1	L1S1-100_2	L2S1-100_2	L1S1-100_3	L2S1-100_3	L1S1-100_1	L2S1-100_1	L1S2-100_2	L2S2-100_2	L1S2-100_3	L2S2-100_3	L1S2-100_1	L2S2-100_1	L1S4-100_2	L2S3-100_2	L1S4-100_3	L2S3-100_3	L1S4-100_1	L2S3-100_1	L1S5-100_2	blank_media_1	L1S5-100_3	blank_water_2
0:00:00	25.1	0.036	0.048	0.042	0.038	0.053	0.038	0.043	0.039	0.041	0.038	0.042	0.037	0.040	0.037	0.046	0.037	0.041	0.036	0.039	0.037	0.040	0.034	0.044	0.036
0:15:25	25.1	0.035	0.044	0.041	0.040	0.042	0.039	0.042	0.038	0.045	0.038	0.045	0.038	0.043	0.038	0.044	0.038	0.042	0.037	0.041	0.038	0.042	0.034	0.044	0.036
0:30:50	25.1	0.035	0.045	0.041	0.040	0.043	0.040	0.042	0.039	0.043	0.039	0.044	0.038	0.043	0.039	0.044	0.038	0.043	0.037	0.041	0.038	0.043	0.035	0.044	0.036
0:46:14	25.1	0.035	0.044	0.042	0.041	0.043	0.040	0.043	0.039	0.043	0.039	0.044	0.038	0.044	0.039	0.045	0.038	0.043	0.037	0.042	0.038	0.043	0.035	0.044	0.036
1:01:39	25.1	0.035	0.045	0.043	0.041	0.043	0.040	0.043	0.039	0.043	0.039	0.045	0.039	0.044	0.039	0.045	0.038	0.044	0.037	0.044	0.038	0.042	0.035	0.045	0.035
1:17:04	25.1	0.035	0.045	0.043	0.041	0.044	0.041	0.044	0.039	0.044	0.040	0.045	0.039	0.045	0.039	0.046	0.038	0.044	0.037	0.043	0.038	0.044	0.035	0.044	0.036
1:32:28	25.1	0.035	0.046	0.044	0.042	0.044	0.041	0.044	0.040	0.044	0.040	0.046	0.039	0.046	0.039	0.046	0.038	0.045	0.038	0.044	0.038	0.044	0.035	0.045	0.035
1:47:53	25.1	0.035	0.047	0.044	0.043	0.045	0.042	0.045	0.041	0.046	0.041	0.046	0.040	0.046	0.039	0.047	0.038	0.046	0.038	0.045	0.039	0.044	0.035	0.046	0.036
2:03:18	25.1	0.035	0.047	0.045	0.043	0.046	0.043	0.045	0.041	0.045	0.041	0.047	0.040	0.045	0.040	0.051	0.039	0.047	0.038	0.047	0.039	0.044	0.035	0.046	0.036
2:18:42	25.1	0.035	0.049	0.046	0.044	0.047	0.044	0.046	0.042	0.046	0.042	0.049	0.041	0.046	0.040	0.049	0.039	0.048	0.038	0.047	0.039	0.044	0.035	0.047	0.036
2:34:07	25.1	0.035	0.049	0.048	0.045	0.048	0.045	0.047	0.043	0.047	0.042	0.050	0.042	0.047	0.041	0.051	0.039	0.050	0.038	0.048	0.039	0.045	0.035	0.048	0.036
2:49:32	25.1	0.035	0.051	0.049	0.047	0.049	0.046	0.049	0.044	0.048	0.043	0.051	0.042	0.048	0.042	0.060	0.039	0.057	0.039	0.051	0.039	0.046	0.035	0.049	0.035
3:04:56	25.1	0.035	0.052	0.051	0.048	0.051	0.048	0.050	0.045	0.050	0.044	0.053	0.043	0.050	0.043	0.061	0.039	0.054	0.039	0.052	0.039	0.048	0.035	0.051	0.036
3:20:21	25.1	0.035	0.054	0.053	0.051	0.053	0.050	0.052	0.047	0.052	0.045	0.056	0.044	0.051	0.049	0.065	0.040	0.060	0.040	0.053	0.040	0.049	0.035	0.052	0.036
3:35:45	25.1	0.035	0.056	0.055	0.053	0.056	0.053	0.054	0.049	0.055	0.047	0.063	0.046	0.053	0.046	0.080	0.040	0.060	0.040	0.061	0.040	0.051	0.035	0.055	0.036
3:51:10	25.1	0.035	0.059	0.058	0.057	0.058	0.056	0.057	0.051	0.058	0.049	0.068	0.048	0.056	0.048	0.064	0.041	0.065	0.041	0.060	0.041	0.054	0.035	0.057	0.036
4:06:35	25.1	0.035	0.061	0.062	0.061	0.061	0.060	0.060	0.053	0.069	0.052	0.091	0.051	0.059	0.050	0.068	0.041	0.069	0.042	0.064	0.041	0.057	0.035	0.059	0.036
4:21:59	25.1	0.035	0.065	0.066	0.065	0.066	0.065	0.065	0.057	0.067	0.055	0.077	0.054	0.064	0.052	0.073	0.042	0.076	0.043	0.069	0.042	0.059	0.035	0.064	0.036
4:37:24	25.1	0.035	0.070	0.071	0.070	0.071	0.070	0.069	0.062	0.073	0.059	0.089	0.058	0.069	0.055	0.079	0.043	0.085	0.044	0.074	0.043	0.063	0.035	0.070	0.036
4:52:48	25.1	0.035	0.094	0.078	0.076	0.076	0.078	0.075	0.068	0.080	0.064	0.096	0.064	0.077	0.059	0.089	0.044	0.094	0.045	0.083	0.044	0.069	0.035	0.074	0.036
5:08:13	25.1	0.035	0.082	0.085	0.086	0.084	0.086	0.082	0.073	0.090	0.071	0.103	0.073	0.174	0.064	0.138	0.045	0.104	0.046	0.091	0.045	0.083	0.035	0.081	0.036
5:23:37	25.1	0.035	0.093	0.094	0.094	0.093	0.094	0.090	0.089	0.097	0.076	0.116	0.074	0.089	0.070	0.103	0.047	0.111	0.048	0.100	0.046	0.081	0.035	0.087	0.036
5:39:02	25.1	0.035	0.099	0.103	0.102	0.103	0.103	0.098	0.090	0.112	0.084	0.135	0.082	0.098	0.076	0.114	0.049	0.128	0.051	0.110	0.048	0.085	0.035	0.095	0.036
5:54:26	25.1	0.035	0.115	0.112	0.116	0.110	0.115	0.109	0.099	0.127	0.094	0.144	0.089	0.109	0.084	0.125	0.051	0.140	0.054	0.121	0.050	0.102	0.035	0.103	0.036
6:09:51	25.1	0.035	0.122	0.124	0.127	0.124	0.126	0.118	0.109	0.138	0.101	0.162	0.096	0.119	0.092	0.137	0.054	0.155	0.057	0.132	0.052	0.101	0.035	0.113	0.036
