

Software Version	2.01.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\MURI\umax\Task2_24hr_24well_170602_165140.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Task2_24hr_24well.prt



Plate Number	Plate 1
Date	6/2/2017
Time	4:51:40 PM
Reader Type:	Synergy Mx
Reader Serial Number:	219512
Reading Type	Reader

Procedure Details

Plate Type	Costar 24 well
Set Temperature	Setpoint 25°C
	Preheat before moving to next step
Shake	Medium, 0:10 (MM:SS)
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:15:00, 97 Reads
    Shake	Slow, Continuous
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

Layout
	1	2	3	4	5	6
A	SPL1	SPL9	SPL17	SPL25	SPL33	SPL41	Well ID
B	SPL2	SPL10	SPL18	SPL26	SPL34	SPL42	Well ID
C	SPL3	SPL11	SPL19	SPL27	SPL35	SPL43	Well ID
D	SPL4	SPL12	SPL20	SPL28	SPL36	SPL44	Well ID



Actual Temperature:	25.1

Results
	1	2	3	4	5	6
A	0.037	0.049	0.063	0.053	0.049	0.045	Read 1:600
B	0.044	0.044	0.047	0.047	0.045	0.045	Read 1:600
C	0.045	0.051	0.045	0.046	0.044	0.044	Read 1:600
D	0.042	0.044	0.045	0.034	0.047	0.037	Read 1:600

Read 2:600

Time	T° Read 2:600	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
0:14:49	25.0	0.037	0.047	0.044	0.044	0.047	0.046	0.045	0.046	0.049	0.048	0.047	0.045	0.047	0.046	0.044	0.047	0.045	0.046	0.043	0.046	0.046	0.034	0.048	0.037
0:29:49	25.1	0.036	0.047	0.045	0.045	0.047	0.046	0.045	0.046	0.049	0.049	0.048	0.046	0.047	0.047	0.045	0.047	0.046	0.047	0.044	0.046	0.047	0.034	0.049	0.037
0:44:49	25.1	0.037	0.049	0.046	0.046	0.048	0.047	0.047	0.047	0.050	0.050	0.049	0.047	0.048	0.048	0.046	0.048	0.046	0.046	0.045	0.047	0.048	0.034	0.050	0.038
0:59:49	25.1	0.037	0.050	0.046	0.047	0.049	0.048	0.047	0.048	0.051	0.051	0.049	0.048	0.049	0.049	0.046	0.049	0.047	0.047	0.045	0.048	0.050	0.034	0.051	0.038
1:14:49	25.1	0.036	0.052	0.047	0.048	0.050	0.050	0.048	0.049	0.052	0.053	0.050	0.049	0.050	0.050	0.047	0.051	0.048	0.049	0.046	0.049	0.051	0.034	0.053	0.038
1:29:49	25.1	0.037	0.053	0.049	0.049	0.051	0.051	0.049	0.050	0.054	0.055	0.051	0.051	0.051	0.052	0.048	0.052	0.049	0.050	0.047	0.049	0.053	0.034	0.055	0.038
1:44:49	25.1	0.037	0.056	0.050	0.051	0.053	0.053	0.051	0.052	0.055	0.057	0.053	0.053	0.052	0.054	0.048	0.053	0.050	0.051	0.048	0.050	0.055	0.034	0.057	0.038
1:59:49	25.1	0.037	0.059	0.052	0.052	0.054	0.055	0.052	0.054	0.057	0.060	0.055	0.056	0.054	0.057	0.050	0.055	0.052	0.053	0.049	0.052	0.057	0.034	0.060	0.038
2:14:49	25.1	0.036	0.062	0.054	0.055	0.057	0.059	0.054	0.057	0.060	0.064	0.058	0.059	0.056	0.060	0.051	0.057	0.054	0.055	0.051	0.054	0.061	0.034	0.063	0.038
2:29:49	25.1	0.037	0.067	0.058	0.058	0.060	0.062	0.057	0.059	0.063	0.069	0.061	0.063	0.058	0.064	0.053	0.058	0.056	0.057	0.053	0.056	0.065	0.035	0.068	0.038
2:44:49	25.1	0.037	0.072	0.061	0.061	0.063	0.066	0.060	0.064	0.066	0.074	0.066	0.067	0.061	0.068	0.056	0.061	0.059	0.060	0.055	0.058	0.070	0.034	0.073	0.038
2:59:49	25.1	0.036	0.078	0.066	0.065	0.068	0.072	0.064	0.068	0.071	0.080	0.071	0.072	0.065	0.074	0.059	0.064	0.062	0.064	0.058	0.061	0.076	0.034	0.079	0.038
3:14:49	25.1	0.036	0.086	0.071	0.070	0.073	0.079	0.069	0.075	0.078	0.088	0.077	0.078	0.069	0.080	0.063	0.069	0.067	0.068	0.062	0.065	0.084	0.034	0.087	0.038
3:29:49	25.1	0.036	0.094	0.077	0.076	0.079	0.086	0.075	0.082	0.085	0.095	0.084	0.085	0.074	0.086	0.067	0.074	0.072	0.073	0.066	0.069	0.093	0.034	0.096	0.038
3:44:49	25.1	0.037	0.105	0.085	0.083	0.087	0.096	0.083	0.091	0.092	0.104	0.093	0.092	0.080	0.092	0.072	0.080	0.079	0.079	0.072	0.074	0.103	0.035	0.106	0.038
3:59:49	25.1	0.040	0.116	0.095	0.091	0.097	0.107	0.091	0.101	0.102	0.112	0.102	0.099	0.086	0.100	0.078	0.087	0.086	0.084	0.078	0.079	0.115	0.035	0.118	0.038
4:14:49	25.1	0.037	0.126	0.104	0.101	0.107	0.119	0.100	0.112	0.112	0.123	0.113	0.107	0.095	0.108	0.085	0.094	0.095	0.091	0.086	0.085	0.129	0.035	0.130	0.038
4:29:49	25.1	0.036	0.151	0.117	0.112	0.120	0.132	0.112	0.124	0.124	0.136	0.125	0.115	0.103	0.116	0.092	0.103	0.105	0.099	0.093	0.093	0.144	0.034	0.144	0.038
4:44:49	25.1	0.037	0.166	0.130	0.125	0.136	0.149	0.126	0.141	0.138	0.152	0.138	0.125	0.113	0.128	0.101	0.112	0.118	0.108	0.103	0.100	0.164	0.035	0.163	0.038
4:59:49	25.1	0.037	0.192	0.147	0.139	0.155	0.168	0.143	0.160	0.155	0.170	0.153	0.138	0.125	0.142	0.112	0.124	0.134	0.120	0.116	0.109	0.187	0.035	0.185	0.038
5:14:49	25.1	0.037	0.214	0.168	0.159	0.178	0.192	0.164	0.181	0.176	0.189	0.172	0.151	0.141	0.159	0.125	0.141	0.153	0.135	0.130	0.122	0.212	0.035	0.209	0.038
5:29:49	25.1	0.036	0.232	0.190	0.178	0.201	0.212	0.187	0.205	0.198	0.207	0.195	0.167	0.157	0.176	0.139	0.161	0.175	0.154	0.147	0.138	0.238	0.035	0.232	0.038
5:44:49	25.1	0.037	0.268	0.216	0.200	0.224	0.237	0.212	0.230	0.220	0.230	0.220	0.187	0.175	0.196	0.157	0.181	0.200	0.172	0.169	0.155	0.263	0.035	0.258	0.038
5:59:49	25.1	0.036	0.291	0.240	0.224	0.246	0.262	0.236	0.254	0.244	0.252	0.244	0.210	0.193	0.219	0.177	0.205	0.225	0.193	0.195	0.173	0.290	0.035	0.283	0.038
6:14:49	25.1	0.036	0.307	0.264	0.248	0.270	0.290	0.264	0.280	0.269	0.282	0.272	0.235	0.213	0.242	0.199	0.228	0.252	0.212	0.219	0.193	0.317	0.035	0.311	0.038
6:29:49	25.1	0.036	0.341	0.290	0.270	0.293	0.314	0.296	0.305	0.295	0.307	0.295	0.258	0.237	0.268	0.223	0.251	0.279	0.240	0.244	0.213	0.342	0.035	0.334	0.038
6:44:49	25.1	0.036	0.373	0.321	0.296	0.320	0.340	0.322	0.329	0.321	0.331	0.323	0.281	0.255	0.290	0.245	0.279	0.305	0.264	0.273	0.239	0.364	0.035	0.355	0.038
6:59:49	25.1	0.037	0.385	0.338	0.319	0.341	0.360	0.348	0.348	0.344	0.351	0.344	0.305	0.281	0.311	0.271	0.304	0.332	0.288	0.299	0.261	0.388	0.035	0.374	0.038
7:14:49	25.1	0.036	0.407	0.362	0.337	0.357	0.363	0.368	0.370	0.364	0.371	0.367	0.324	0.298	0.328	0.295	0.331	0.356	0.313	0.330	0.288	0.408	0.035	0.395	0.038
7:29:49	25.1	0.036	0.423	0.387	0.354	0.376	0.375	0.393	0.387	0.385	0.387	0.392	0.342	0.315	0.345	0.319	0.354	0.373	0.337	0.354	0.313	0.430	0.035	0.415	0.038
7:44:49	25.1	0.036	0.437	0.401	0.370	0.393	0.389	0.411	0.408	0.403	0.405	0.414	0.356	0.331	0.361	0.339	0.372	0.400	0.355	0.376	0.334	0.449	0.035	0.431	0.038
7:59:49	25.1	0.037	0.449	0.420	0.385	0.408	0.403	0.428	0.420	0.419	0.419	0.434	0.366	0.344	0.375	0.356	0.390	0.419	0.373	0.401	0.350	0.466	0.035	0.446	0.038
8:14:49	25.1	0.037	0.465	0.439	0.397	0.421	0.413	0.445	0.441	0.428	0.434	0.454	0.381	0.359	0.390	0.378	0.407	0.435	0.387	0.415	0.370	0.475	0.035	0.456	0.038
8:29:49	25.1	0.038	0.466	0.455	0.410	0.433	0.425	0.460	0.457	0.442	0.447	0.471	0.395	0.377	0.403	0.393	0.425	0.448	0.404	0.431	0.386	0.493	0.035	0.468	0.038
8:44:49	25.1	0.037	0.483	0.476	0.422	0.444	0.434	0.473	0.460	0.450	0.457	0.486	0.406	0.391	0.415	0.413	0.442	0.462	0.420	0.452	0.402	0.501	0.035	0.477	0.038
8:59:49	25.1	0.038	0.481	0.485	0.432	0.452	0.444	0.488	0.466	0.461	0.467	0.498	0.414	0.403	0.426	0.426	0.454	0.470	0.436	0.454	0.423	0.508	0.035	0.485	0.038
9:14:49	25.1	0.037	0.491	0.494	0.439	0.465	0.454	0.501	0.480	0.474	0.474	0.508	0.424	0.416	0.437	0.437	0.467	0.484	0.449	0.476	0.437	0.516	0.035	0.490	0.038
9:29:49	25.1	0.036	0.511	0.503	0.449	0.472	0.460	0.508	0.484	0.481	0.484	0.518	0.434	0.432	0.446	0.449	0.478	0.490	0.458	0.484	0.447	0.527	0.035	0.502	0.038
9:44:49	25.1	0.036	0.505	0.515	0.454	0.478	0.467	0.521	0.488	0.491	0.490	0.525	0.443	0.446	0.454	0.456	0.487	0.498	0.469	0.499	0.463	0.531	0.035	0.508	0.038
9:59:49	25.1	0.039	0.517	0.517	0.462	0.487	0.472	0.527	0.495	0.498	0.498	0.534	0.450	0.464	0.462	0.468	0.499	0.506	0.479	0.501	0.473	0.542	0.035	0.515	0.038
10:14:49	25.1	0.036	0.532	0.525	0.468	0.494	0.480	0.538	0.503	0.504	0.506	0.540	0.461	0.468	0.470	0.477	0.508	0.511	0.488	0.513	0.483	0.546	0.035	0.521	0.038
10:29:49	25.1	0.036	0.529	0.532	0.475	0.499	0.488	0.546	0.509	0.511	0.513	0.545	0.470	0.478	0.479	0.485	0.516	0.518	0.504	0.520	0.497	0.554	0.035	0.526	0.037
10:44:49	25.1	0.036	0.545	0.536	0.480	0.506	0.495	0.555	0.516	0.517	0.520	0.552	0.478	0.490	0.487	0.493	0.524	0.525	0.508	0.523	0.503	0.561	0.035	0.534	0.038
10:59:49	25.1	0.036	0.543	0.547	0.486	0.515	0.499	0.551	0.523	0.523	0.526	0.558	0.487	0.495	0.494	0.501	0.532	0.530	0.515	0.534	0.513	0.567	0.035	0.538	0.038
11:14:49	25.1	0.036	0.550	0.558	0.492	0.520	0.505	0.562	0.529	0.530	0.530	0.563	0.499	0.504	0.502	0.507	0.538	0.533	0.526	0.537	0.529	0.570	0.035	0.547	0.038
11:29:49	25.1	0.037	0.554	0.556	0.499	0.523	0.514	0.572	0.534	0.540	0.538	0.567	0.506	0.506	0.510	0.513	0.547	0.541	0.536	0.543	0.533	0.574	0.035	0.553	0.037
11:44:49	25.1	0.036	0.566	0.568	0.509	0.530	0.518	0.573	0.541	0.544	0.546	0.574	0.517	0.517	0.519	0.518	0.555	0.549	0.542	0.551	0.545	0.584	0.035	0.559	0.038
11:59:49	25.0	0.037	0.575	0.573	0.518	0.537	0.525	0.580	0.547	0.551	0.551	0.580	0.522	0.525	0.525	0.527	0.562	0.553	0.549	0.557	0.556	0.583	0.035	0.566	0.037
12:14:49	25.1	0.036	0.575	0.582	0.527	0.547	0.533	0.584	0.554	0.560	0.555	0.585	0.531	0.537	0.532	0.534	0.570	0.559	0.558	0.566	0.560	0.594	0.035	0.572	0.037
12:29:49	25.1	0.036	0.580	0.585	0.534	0.553	0.541	0.591	0.559	0.565	0.563	0.594	0.539	0.545	0.538	0.539	0.577	0.566	0.564	0.575	0.561	0.603	0.035	0.577	0.037
12:44:49	25.1	0.036	0.597	0.596	0.542	0.559	0.546	0.596	0.565	0.573	0.568	0.600	0.545	0.556	0.543	0.547	0.584	0.574	0.571	0.574	0.571	0.610	0.035	0.585	0.038
12:59:49	25.1	0.036	0.586	0.595	0.553	0.569	0.555	0.606	0.574	0.580	0.575	0.605	0.551	0.565	0.551	0.554	0.591	0.580	0.584	0.584	0.579	0.611	0.035	0.590	0.038
13:14:49	25.1	0.036	0.605	0.608	0.560	0.576	0.561	0.615	0.581	0.589	0.581	0.616	0.558	0.576	0.557	0.560	0.599	0.585	0.586	0.591	0.578	0.626	0.035	0.598	0.037
13:29:49	25.0	0.037	0.613	0.608	0.573	0.589	0.569	0.615	0.587	0.599	0.585	0.622	0.564	0.578	0.562	0.567	0.609	0.594	0.592	0.595	0.591	0.633	0.035	0.606	0.038
13:44:49	25.1	0.039	0.631	0.622	0.580	0.594	0.579	0.621	0.595	0.608	0.594	0.632	0.573	0.586	0.567	0.574	0.617	0.598	0.603	0.602	0.591	0.637	0.035	0.614	0.038
13:59:49	25.1	0.036	0.625	0.627	0.592	0.615	0.581	0.631	0.601	0.619	0.597	0.640	0.578	0.588	0.574	0.580	0.624	0.611	0.605	0.609	0.598	0.652	0.035	0.623	0.037
14:14:49	25.0	0.037	0.645	0.633	0.604	0.625	0.588	0.640	0.609	0.630	0.605	0.649	0.585	0.603	0.580	0.590	0.632	0.622	0.616	0.619	0.609	0.663	0.035	0.632	0.038
14:29:49	25.1	0.036	0.656	0.646	0.612	0.631	0.595	0.640	0.617	0.642	0.611	0.659	0.591	0.605	0.586	0.600	0.641	0.630	0.618	0.618	0.610	0.672	0.035	0.641	0.037
14:44:49	25.1	0.036	0.658	0.658	0.623	0.641	0.604	0.650	0.625	0.653	0.617	0.668	0.596	0.615	0.593	0.610	0.647	0.641	0.629	0.627	0.625	0.679	0.035	0.651	0.037
14:59:49	25.1	0.038	0.676	0.664	0.633	0.649	0.618	0.652	0.629	0.664	0.624	0.676	0.602	0.623	0.598	0.619	0.657	0.647	0.630	0.628	0.630	0.690	0.035	0.661	0.037
15:14:49	25.1	0.036	0.679	0.671	0.644	0.659	0.621	0.668	0.643	0.678	0.632	0.681	0.610	0.640	0.606	0.632	0.666	0.655	0.643	0.638	0.633	0.693	0.035	0.666	0.037
15:29:49	25.1	0.036	0.690	0.684	0.653	0.669	0.630	0.676	0.649	0.700	0.640	0.686	0.614	0.655	0.611	0.644	0.681	0.667	0.646	0.643	0.638	0.702	0.035	0.675	0.037
15:44:49	25.1	0.036	0.702	0.687	0.664	0.675	0.637	0.688	0.660	0.720	0.647	0.693	0.624	0.662	0.619	0.655	0.691	0.679	0.652	0.649	0.643	0.708	0.035	0.675	0.037
15:59:49	25.1	0.036	0.710	0.698	0.672	0.687	0.644	0.697	0.664	0.731	0.655	0.700	0.630	0.660	0.626	0.665	0.699	0.683	0.669	0.646	0.649	0.718	0.036	0.683	0.037
16:14:49	25.1	0.036	0.713	0.702	0.680	0.692	0.656	0.704	0.666	0.733	0.662	0.706	0.638	0.663	0.634	0.674	0.707	0.693	0.669	0.653	0.656	0.724	0.035	0.688	0.037
16:29:49	25.1	0.036	0.712	0.712	0.690	0.698	0.663	0.702	0.673	0.742	0.669	0.724	0.644	0.662	0.642	0.683	0.713	0.702	0.680	0.657	0.662	0.724	0.035	0.696	0.037
16:44:49	25.2	0.036	0.715	0.718	0.696	0.708	0.673	0.700	0.681	0.748	0.678	0.730	0.655	0.665	0.649	0.690	0.722	0.707	0.683	0.671	0.670	0.731	0.035	0.702	0.037
16:59:49	25.2	0.036	0.726	0.726	0.701	0.716	0.678	0.704	0.690	0.767	0.684	0.739	0.663	0.670	0.654	0.697	0.719	0.715	0.692	0.679	0.674	0.734	0.035	0.708	0.037
17:14:49	25.2	0.036	0.729	0.732	0.705	0.723	0.684	0.709	0.698	0.764	0.690	0.748	0.671	0.675	0.667	0.704	0.726	0.719	0.693	0.698	0.678	0.737	0.035	0.714	0.037
17:29:49	25.2	0.036	0.733	0.739	0.709	0.730	0.689	0.719	0.707	0.773	0.696	0.759	0.678	0.680	0.674	0.709	0.732	0.726	0.699	0.720	0.686	0.745	0.035	0.716	0.037
17:44:49	25.2	0.036	0.739	0.745	0.716	0.737	0.694	0.727	0.713	0.778	0.702	0.771	0.684	0.688	0.685	0.717	0.738	0.734	0.708	0.743	0.695	0.750	0.035	0.720	0.037
17:59:49	25.2	0.036	0.741	0.750	0.718	0.744	0.699	0.736	0.722	0.783	0.708	0.779	0.690	0.699	0.698	0.724	0.746	0.738	0.705	0.748	0.693	0.759	0.035	0.726	0.037
18:14:49	25.2	0.036	0.755	0.753	0.723	0.749	0.706	0.743	0.732	0.792	0.712	0.789	0.694	0.712	0.707	0.731	0.752	0.744	0.724	0.751	0.692	0.764	0.035	0.730	0.037
18:29:49	25.2	0.036	0.762	0.758	0.728	0.756	0.704	0.753	0.737	0.798	0.719	0.795	0.698	0.717	0.709	0.735	0.755	0.750	0.724	0.745	0.693	0.770	0.035	0.734	0.037
18:44:49	25.2	0.036	0.765	0.763	0.733	0.761	0.712	0.761	0.744	0.806	0.724	0.800	0.703	0.726	0.714	0.740	0.759	0.756	0.734	0.734	0.699	0.777	0.035	0.739	0.037
18:59:49	25.2	0.036	0.758	0.768	0.737	0.767	0.716	0.772	0.746	0.815	0.730	0.803	0.706	0.735	0.721	0.745	0.761	0.766	0.752	0.718	0.715	0.782	0.035	0.742	0.037
19:14:49	25.3	0.036	0.766	0.773	0.741	0.773	0.718	0.782	0.751	0.820	0.735	0.810	0.712	0.738	0.722	0.752	0.765	0.769	0.757	0.721	0.726	0.787	0.035	0.747	0.037
19:29:49	25.3	0.036	0.774	0.779	0.747	0.779	0.733	0.784	0.757	0.827	0.739	0.815	0.718	0.748	0.729	0.759	0.770	0.774	0.758	0.722	0.736	0.792	0.035	0.752	0.037
19:44:49	25.3	0.036	0.780	0.783	0.753	0.784	0.727	0.793	0.758	0.834	0.742	0.820	0.722	0.754	0.732	0.765	0.774	0.785	0.768	0.724	0.752	0.794	0.035	0.757	0.037
19:59:49	25.3	0.036	0.783	0.789	0.757	0.789	0.728	0.771	0.765	0.847	0.745	0.828	0.726	0.760	0.738	0.772	0.776	0.788	0.774	0.727	0.764	0.800	0.035	0.763	0.037
20:14:49	25.3	0.036	0.796	0.795	0.762	0.793	0.741	0.770	0.768	0.845	0.751	0.833	0.732	0.765	0.742	0.778	0.782	0.793	0.782	0.730	0.774	0.803	0.035	0.769	0.037
20:29:49	25.3	0.036	0.786	0.800	0.767	0.799	0.747	0.773	0.773	0.846	0.755	0.833	0.736	0.773	0.748	0.785	0.787	0.800	0.788	0.733	0.788	0.808	0.035	0.774	0.037
20:44:49	25.3	0.036	0.788	0.805	0.773	0.807	0.754	0.768	0.773	0.845	0.757	0.831	0.740	0.777	0.749	0.790	0.791	0.806	0.792	0.736	0.794	0.811	0.035	0.782	0.037
20:59:49	25.3	0.036	0.786	0.814	0.779	0.815	0.766	0.766	0.780	0.848	0.762	0.830	0.746	0.784	0.751	0.796	0.798	0.809	0.796	0.738	0.799	0.820	0.035	0.784	0.037
21:14:49	25.3	0.036	0.783	0.816	0.785	0.818	0.759	0.767	0.783	0.847	0.766	0.831	0.748	0.792	0.757	0.806	0.805	0.811	0.804	0.740	0.813	0.817	0.035	0.784	0.037
21:29:49	25.3	0.036	0.782	0.813	0.789	0.818	0.762	0.762	0.785	0.847	0.772	0.830	0.752	0.802	0.760	0.808	0.815	0.810	0.812	0.744	0.818	0.813	0.035	0.783	0.037
21:44:49	25.3	0.036	0.778	0.812	0.798	0.816	0.775	0.769	0.790	0.845	0.776	0.829	0.756	0.811	0.766	0.807	0.822	0.809	0.818	0.746	0.825	0.810	0.035	0.783	0.037
21:59:49	25.3	0.036	0.777	0.811	0.799	0.815	0.776	0.771	0.797	0.845	0.782	0.829	0.761	0.821	0.768	0.806	0.829	0.804	0.823	0.750	0.826	0.808	0.035	0.782	0.037
