

Software Version	2.01.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\MURI\umax\Task2_34hr_24well_discon_170610_132834.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Task2_34hr_24well_discon.prt



Plate Number	Plate 1
Date	6/10/2017
Time	1:28:49 PM
Reader Type:	Synergy Mx
Reader Serial Number:	219512
Reading Type	Reader

Procedure Details

Plate Type	Costar 24 well
Discontinuous Kinetics	Runtime 1:10:15 (D:HH:MM), Interval 0:00:15, 138 Reads
Set Temperature	Setpoint 25°C
	Preheat before moving to next step
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Shake	Medium, 15:00 (MM:SS)

Layout
	1	2	3	4	5	6
A	SPL1	SPL9	SPL17	SPL25	SPL33	SPL41	Well ID
B	SPL2	SPL10	SPL18	SPL26	SPL34	SPL42	Well ID
C	SPL3	SPL11	SPL19	SPL27	SPL35	SPL43	Well ID
D	SPL4	SPL12	SPL20	SPL28	SPL36	SPL44	Well ID

600

Time	T° 600	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
0:00:00	25.1	0.035	0.053	0.047	0.047	0.045	0.042	0.043	0.043	0.042	0.042	0.042	0.040	0.041	0.044	0.047	0.040	0.044	0.038	0.043	0.039	0.045	0.035	0.046	0.036
0:15:25	25.1	0.035	0.048	0.045	0.046	0.048	0.044	0.044	0.044	0.043	0.043	0.043	0.042	0.042	0.041	0.047	0.041	0.045	0.037	0.044	0.039	0.046	0.036	0.047	0.036
0:30:49	25.2	0.035	0.048	0.045	0.046	0.048	0.045	0.045	0.045	0.043	0.052	0.044	0.042	0.042	0.042	0.047	0.040	0.046	0.037	0.045	0.039	0.046	0.036	0.048	0.036
0:46:14	25.2	0.035	0.048	0.045	0.047	0.048	0.045	0.045	0.045	0.044	0.044	0.044	0.042	0.043	0.042	0.047	0.040	0.046	0.038	0.045	0.039	0.047	0.036	0.048	0.036
1:01:38	25.2	0.035	0.048	0.046	0.047	0.049	0.046	0.045	0.046	0.044	0.043	0.044	0.042	0.043	0.042	0.048	0.041	0.047	0.038	0.046	0.039	0.047	0.036	0.048	0.036
1:17:03	25.2	0.035	0.049	0.047	0.048	0.050	0.046	0.046	0.046	0.045	0.043	0.045	0.042	0.043	0.042	0.048	0.040	0.047	0.038	0.046	0.039	0.047	0.036	0.049	0.036
1:32:27	25.2	0.035	0.049	0.048	0.048	0.051	0.047	0.047	0.047	0.045	0.043	0.046	0.043	0.044	0.042	0.049	0.041	0.047	0.038	0.046	0.039	0.048	0.036	0.049	0.037
1:47:52	25.2	0.035	0.049	0.050	0.049	0.052	0.047	0.047	0.048	0.046	0.044	0.046	0.043	0.044	0.043	0.050	0.041	0.048	0.038	0.047	0.039	0.048	0.036	0.049	0.036
2:03:17	25.2	0.035	0.051	0.050	0.050	0.053	0.049	0.048	0.048	0.046	0.043	0.046	0.043	0.045	0.043	0.050	0.041	0.049	0.038	0.052	0.039	0.049	0.036	0.050	0.036
2:18:41	25.2	0.035	0.051	0.052	0.051	0.056	0.049	0.049	0.050	0.048	0.045	0.047	0.043	0.045	0.043	0.052	0.041	0.050	0.038	0.048	0.039	0.049	0.036	0.051	0.036
2:34:06	25.2	0.035	0.052	0.054	0.052	0.057	0.051	0.051	0.051	0.048	0.044	0.048	0.044	0.046	0.045	0.052	0.041	0.051	0.038	0.049	0.039	0.050	0.036	0.052	0.036
2:49:30	25.2	0.035	0.054	0.056	0.054	0.061	0.053	0.053	0.052	0.052	0.045	0.049	0.044	0.047	0.045	0.054	0.041	0.057	0.038	0.050	0.039	0.051	0.036	0.053	0.037
3:04:55	25.2	0.035	0.055	0.060	0.057	0.063	0.054	0.056	0.054	0.049	0.046	0.050	0.045	0.047	0.044	0.055	0.041	0.055	0.039	0.052	0.039	0.053	0.036	0.055	0.037
3:20:19	25.2	0.035	0.057	0.063	0.058	0.067	0.058	0.058	0.056	0.051	0.046	0.052	0.046	0.047	0.048	0.058	0.042	0.058	0.038	0.054	0.039	0.055	0.036	0.056	0.037
3:35:44	25.2	0.035	0.058	0.069	0.061	0.072	0.060	0.061	0.059	0.053	0.047	0.053	0.047	0.048	0.052	0.060	0.041	0.060	0.039	0.056	0.039	0.056	0.036	0.058	0.037
3:51:08	25.2	0.036	0.059	0.073	0.064	0.079	0.064	0.065	0.061	0.055	0.048	0.069	0.048	0.112	0.056	0.065	0.043	0.063	0.039	0.060	0.039	0.058	0.036	0.061	0.037
4:06:33	25.2	0.035	0.063	0.079	0.069	0.085	0.068	0.072	0.064	0.086	0.049	0.060	0.049	0.053	0.068	0.066	0.044	0.070	0.040	0.061	0.039	0.063	0.036	0.067	0.037
