Well	Sample	Rep	x_axis_cutoff	Keep
A1	blank_water	1	48	FALSE
B1	L1S1-100	1	48	TRUE
C1	L1S2-100	1	48	TRUE
D1	L1S4-100	1	48	TRUE
A2	L1S5-100	1	48	TRUE
B2	L2S1-100	1	48	TRUE
C2	L2S2-100	1	48	TRUE
D2	L2S3-100	1	48	TRUE
A3	L1S1-100	2	48	TRUE
B3	L1S2-100	2	48	TRUE
C3	L1S4-100	2	48	TRUE
D3	L1S5-100	2	48	TRUE
A4	L2S1-100	2	48	TRUE
B4	L2S2-100	2	48	TRUE
C4	L2S3-100	2	48	TRUE
D4	blank_media	1	48	FALSE
A5	L1S1-100	3	48	TRUE
B5	L1S2-100	3	48	TRUE
C5	L1S4-100	3	48	TRUE
D5	L1S5-100	3	48	TRUE
A6	L2S1-100	3	48	TRUE
B6	L2S2-100	3	48	TRUE
C6	L2S3-100	3	48	TRUE
D6	blank_water	2	48	FALSE
