seq_id	position	gene_name	gene_position	treatment	replicate	gene_product
G_contig000025	748968.0	lacZ_6	675	0	2	Beta-galactosidase
G_contig000025	749421.0	lacZ_6	1128	2	3	Beta-galactosidase
G_contig000001	71324.0	sigM_1/-	intergenic_(-234/-)	1	4	RNA_polymerase_sigma_factor_SigM/-
G_contig000001	71325.0	sigM_1/-	intergenic_(-235/-)	1	4	RNA_polymerase_sigma_factor_SigM/-
G_contig000001	71443.0	sigM_1/-	intergenic_(-353/-)	2	1	RNA_polymerase_sigma_factor_SigM/-
G_contig000025	1534366.0	G_04409	24	0	4	hypothetical_protein
G_contig000025	1534379.0	G_04409	37	0	4	hypothetical_protein
G_contig000016	220928.0	G_01965	246	0	4	hypothetical_protein
G_contig000016	220946.0	G_01965	228	0	4	hypothetical_protein
G_contig000016	220947.0	G_01965	227	0	4	hypothetical_protein
G_contig000016	220948.0	G_01965	226	0	4	hypothetical_protein
G_contig000016	220992.0	G_01965	182	0	4	hypothetical_protein
G_contig000016	221002.0	G_01965	172	0	4	hypothetical_protein
G_contig000016	221003.0	G_01965	171	0	4	hypothetical_protein
G_contig000016	221006.0	G_01965	168	0	4	hypothetical_protein
G_contig000016	221007.0	G_01965	167	0	4	hypothetical_protein
G_contig000016	221035.0	G_01965	139	0	4	hypothetical_protein
G_contig000004	355830.0	glgB/G_00527	intergenic_(+1478/-498)	0	4	1,4-alpha-glucan_branching_enzyme_GlgB/hypothetical_protein
G_contig000004	355844.0	glgB/G_00527	intergenic_(+1492/-484)	0	4	1,4-alpha-glucan_branching_enzyme_GlgB/hypothetical_protein
G_contig000023	599360.0	G_02530/G_02531	intergenic_(+24/-226)	1	1	hypothetical_protein/hypothetical_protein
G_contig000023	599537.0	G_02530/G_02531	intergenic_(+201/-49)	2	1	hypothetical_protein/hypothetical_protein
G_contig000025	770905.0	yjjN_2/G_03752	intergenic_(+335/-181)	0	1	Putative_L-galactonate_oxidoreductase/hypothetical_protein
G_contig000025	770907.0	yjjN_2/G_03752	intergenic_(+337/-179)	0	1	Putative_L-galactonate_oxidoreductase/hypothetical_protein
G_contig000004	416422.0	G_00587	343	0	4	hypothetical_protein
G_contig000004	416469.0	G_00587	296	0	4	hypothetical_protein
G_contig000004	416397.0	G_00587	368	2	4	hypothetical_protein
G_contig000027	34636.0	G_04459/G_04460	intergenic_(+540/+150)	0	3	hypothetical_protein/hypothetical_protein
G_contig000027	34638.0	G_04459/G_04460	intergenic_(+542/+148)	0	3	hypothetical_protein/hypothetical_protein
G_contig000027	34652.0	G_04459/G_04460	intergenic_(+556/+134)	0	3	hypothetical_protein/hypothetical_protein
G_contig000027	34658.0	G_04459/G_04460	intergenic_(+562/+128)	0	3	hypothetical_protein/hypothetical_protein
