seq_id	position	gene_name	gene_position	treatment	replicate	gene_product
CP001340	2023678.0	CCNA_01884	449	0	4	acyl-CoA_dehydrogenase,_short-chain_specific
CP001340	2023555.0	CCNA_01884	326	0	5	acyl-CoA_dehydrogenase,_short-chain_specific
CP001340	2765593.0	CCNA_02617	888	0	4	histidinol-phosphate_aminotransferase
CP001340	2765721.0	CCNA_02617	760	2	3	histidinol-phosphate_aminotransferase
CP001340	820290.0	CCNA_00760	221	0	3	two_component_sensor_histidine_kinase
CP001340	819110.0	CCNA_00760	1401	2	3	two_component_sensor_histidine_kinase
CP001340	715551.0	CCNA_00659	621	0	1	type_I_restriction-modification_system_restriction_subunit
CP001340	716587.0	CCNA_00659	1657	0	3	type_I_restriction-modification_system_restriction_subunit
CP001340	715383.0	CCNA_00659	453	0	4	type_I_restriction-modification_system_restriction_subunit
CP001340	1143709.0	CCNA_01047	1473	1	3	TonB-dependent_receptor
CP001340	1142309.0	CCNA_01047	73	2	3	TonB-dependent_receptor
CP001340	1119922.0	CCNA_01031	222	2	1	transporter,_major_facilitator_superfamily
CP001340	1120380.0	CCNA_01031	680	2	2	transporter,_major_facilitator_superfamily
CP001340	1124848.0	CCNA_01034	1593	2	1	TonB-dependent_outer_membrane_receptor
CP001340	1125890.0	CCNA_01034	2635	2	3	TonB-dependent_outer_membrane_receptor
CP001340	1783934.0	CCNA_01663	1284	0	5	potassium-transporting_ATPase_A_chain
CP001340	1782660.0	CCNA_01663	10	2	3	potassium-transporting_ATPase_A_chain
CP001340	3288892.0	CCNA_03139	1431	0	2	dihydroxy-acid_dehydratase
CP001340	3289493.0	CCNA_03139	830	2	2	dihydroxy-acid_dehydratase
CP001340	3118163.0	CCNA_02961	489	0	1	NeuB-family_N-acetylneuraminate_synthase
CP001340	3117670.0	CCNA_02961	982	0	3	NeuB-family_N-acetylneuraminate_synthase
CP001340	2861977.0	cspC	75	0	4	cold_shock_protein_CspC
CP001340	2861978.0	cspC	74	0	4	cold_shock_protein_CspC
CP001340	2861979.0	cspC	73	0	4	cold_shock_protein_CspC
CP001340	3073920.0	CCNA_02915	626	2	1	TldD/PmbA_family_protein
CP001340	3074427.0	CCNA_02915	1133	2	1	TldD/PmbA_family_protein
CP001340	1682972.0	CCNA_01563/CCNA_01566	intergenic_(+1010/+24)	0	3	2-dehydro-3-deoxygluconokinase/conserved_hypothetical_protein
CP001340	1682836.0	CCNA_01563/CCNA_01566	intergenic_(+874/+160)	0	5	2-dehydro-3-deoxygluconokinase/conserved_hypothetical_protein
CP001340	1682837.0	CCNA_01563/CCNA_01566	intergenic_(+875/+159)	0	5	2-dehydro-3-deoxygluconokinase/conserved_hypothetical_protein
CP001340	1682845.0	CCNA_01563/CCNA_01566	intergenic_(+883/+151)	0	5	2-dehydro-3-deoxygluconokinase/conserved_hypothetical_protein
CP001340	1682949.0	CCNA_01563/CCNA_01566	intergenic_(+987/+47)	0	5	2-dehydro-3-deoxygluconokinase/conserved_hypothetical_protein
CP001340	1682960.0	CCNA_01563/CCNA_01566	intergenic_(+998/+36)	0	5	2-dehydro-3-deoxygluconokinase/conserved_hypothetical_protein
CP001340	1682961.0	CCNA_01563/CCNA_01566	intergenic_(+999/+35)	0	5	2-dehydro-3-deoxygluconokinase/conserved_hypothetical_protein
