seq_id	position	gene_name	gene_position	treatment	replicate	gene_product
AE000513	2306362.0	DR_2308	96	0	5	conserved_hypothetical_protein
AE000513	2306849.0	DR_2308	583	1	5	conserved_hypothetical_protein
AE000513	2570204.0	DR_2567/DR_2568	intergenic_(+81/-164)	2	3	N-acetylmuramoyl-L-alanine_amidase-related_protein/arginyl-tRNA_synthetase
AE000513	2570210.0	DR_2567/DR_2568	intergenic_(+87/-158)	2	3	N-acetylmuramoyl-L-alanine_amidase-related_protein/arginyl-tRNA_synthetase
AE000513	897027.0	DR_0886/DR_0887	intergenic_(+30/+33)	0	5	conserved_hypothetical_protein/hypothetical_protein
AE000513	897028.0	DR_0886/DR_0887	intergenic_(+31/+32)	0	5	conserved_hypothetical_protein/hypothetical_protein
AE000513	760508.0	DR_0744	624	0	5	sensor_histidine_kinase
AE000513	759972.0	DR_0744	88	1	1	sensor_histidine_kinase
AE000513	877186.0	DR_0866	1030	0	5	lipopolysaccharide_biosynthesis_protein-related_protein
AE000513	878213.0	DR_0866	3	2	1	lipopolysaccharide_biosynthesis_protein-related_protein
AE000513	1099433.0	DR_1090/DR_1091	intergenic_(+167/+70)	0	1	GGDEF_family_protein/hypothetical_protein
AE000513	1099388.0	DR_1090/DR_1091	intergenic_(+122/+115)	2	5	GGDEF_family_protein/hypothetical_protein
AE000513	2613257.0	DR_2605/DR_2607	intergenic_(+575/+2726)	1	4	conserved_hypothetical_protein/molybdenum_cofactor_biosynthesis_protein_D/E
AE000513	2615876.0	DR_2605/DR_2607	intergenic_(+3194/+107)	2	3	conserved_hypothetical_protein/molybdenum_cofactor_biosynthesis_protein_D/E
AE000513	2615881.0	DR_2605/DR_2607	intergenic_(+3199/+102)	2	3	conserved_hypothetical_protein/molybdenum_cofactor_biosynthesis_protein_D/E
AE000513	2615882.0	DR_2605/DR_2607	intergenic_(+3200/+101)	2	3	conserved_hypothetical_protein/molybdenum_cofactor_biosynthesis_protein_D/E
