seq_id	position	gene_name	gene_position	treatment	replicate	gene_product
AL009126	1512572.0	ykpA	200	1	5	ABC_efflux_transporter_(ATP-binding_protein)
AL009126	1513878.0	ykpA	1506	2	4	ABC_efflux_transporter_(ATP-binding_protein)
AL009126	2986805.0	pfkA	743	0	2	6-phosphofructokinase
AL009126	2987078.0	pfkA	470	0	2	6-phosphofructokinase
AL009126	2987102.0	pfkA	446	0	4	6-phosphofructokinase
AL009126	999255.0	yhcX	854	0	2	putative_amidohydrolase
AL009126	999182.0	yhcX	781	1	2	putative_amidohydrolase
AL009126	985224.0	yhcJ	324	1	2	putative_ABC_transporter_(binding_lipoprotein)
AL009126	985278.0	yhcJ	378	1	2	putative_ABC_transporter_(binding_lipoprotein)
AL009126	2672808.0	yqbO	4656	2	4	putative_lytic_transglycosylase
AL009126	2675728.0	yqbO	1736	2	4	putative_lytic_transglycosylase
AL009126	2677311.0	yqbO	153	2	4	putative_lytic_transglycosylase
AL009126	2600255.0	sigA	1075	0	2	RNA_polymerase_major_sigma-43_factor_(sigma-A)
AL009126	2600902.0	sigA	428	2	5	RNA_polymerase_major_sigma-43_factor_(sigma-A)
AL009126	2144435.0	yodT	1256	0	5	putative_aminovalerate_aminotransferase
AL009126	2145121.0	yodT	570	1	5	putative_aminovalerate_aminotransferase
AL009126	116760.0	sigH	161	2	1	RNA_polymerase_sigma-30_factor_(sigma(H))
AL009126	116760.0	sigH	161	2	2	RNA_polymerase_sigma-30_factor_(sigma(H))
AL009126	116874.0	sigH	275	2	2	RNA_polymerase_sigma-30_factor_(sigma(H))
AL009126	116906.0	sigH	307	2	2	RNA_polymerase_sigma-30_factor_(sigma(H))
AL009126	1809042.0	pksL	1122	1	4	polyketide_synthase_of_type_I
AL009126	1808462.0	pksL	542	2	1	polyketide_synthase_of_type_I
AL009126	3792733.0	ywlD	158	1	2	putative_integral_inner_membrane_protein_UPF0059_DUF0204_family
AL009126	3792698.0	ywlD	193	2	4	putative_integral_inner_membrane_protein_UPF0059_DUF0204_family
AL009126	4202749.0	yyaE	325	0	3	putative_oxidoreductase
AL009126	4201128.0	yyaE	1946	1	4	putative_oxidoreductase
AL009126	3828419.0	narG	1527	0	3	nitrate_reductase_(alpha_subunit)
AL009126	3828488.0	narG	1458	2	2	nitrate_reductase_(alpha_subunit)
AL009126	3829923.0	narG	23	2	5	nitrate_reductase_(alpha_subunit)
AL009126	1396854.0	mgtE	842	0	5	magnesium_transporter
AL009126	1397085.0	mgtE	1073	2	4	magnesium_transporter
AL009126	71290.0	spoIIE	753	1	2	SpoIIAA-phosphate_serine_phosphatase
AL009126	70623.0	spoIIE	86	1	4	SpoIIAA-phosphate_serine_phosphatase
AL009126	1435097.0	motA	149	1	2	motility_protein_A;_MotA_component_of_the_stator_flagellum_complex
AL009126	1434977.0	motA	269	2	2	motility_protein_A;_MotA_component_of_the_stator_flagellum_complex
AL009126	380302.0	srfAA	3335	0	2	surfactin_synthetase
AL009126	385220.0	srfAA	8253	1	2	surfactin_synthetase
AL009126	3482933.0	cggR	842	0	2	transcriptional_regulator_of_gapA
AL009126	3482975.0	cggR	800	0	2	transcriptional_regulator_of_gapA
AL009126	3483254.0	cggR	521	0	4	transcriptional_regulator_of_gapA
AL009126	3483717.0	cggR	58	0	5	transcriptional_regulator_of_gapA
AL009126	3483670.0	cggR	105	2	4	transcriptional_regulator_of_gapA
AL009126	3315329.0	hom	801	2	1	homoserine_dehydrogenase
AL009126	3314872.0	hom	1258	2	2	homoserine_dehydrogenase
AL009126	1088025.0	hemH	776	2	4	ferrochelatase
AL009126	1088126.0	hemH	877	2	4	ferrochelatase
AL009126	1598146.0	ftsZ	315	0	3	cell-division_initiation_protein
AL009126	1598388.0	ftsZ	557	0	5	cell-division_initiation_protein
AL009126	1220035.0	oppA	187	0	1	oligopeptide_ABC_transporter_(binding_lipoprotein)
AL009126	1220754.0	oppA	906	0	2	oligopeptide_ABC_transporter_(binding_lipoprotein)
AL009126	1220252.0	oppA	404	1	5	oligopeptide_ABC_transporter_(binding_lipoprotein)
AL009126	1221823.0	oppB	230	0	5	oligopeptide_ABC_transporter_(permease)
AL009126	1222263.0	oppB	670	0	5	oligopeptide_ABC_transporter_(permease)
AL009126	3479192.0	pgm	221	0	1	phosphoglycerate_mutase
AL009126	3479183.0	pgm	230	0	2	phosphoglycerate_mutase
AL009126	3479205.0	pgm	208	0	2	phosphoglycerate_mutase
AL009126	3478199.0	pgm	1214	0	4	phosphoglycerate_mutase
AL009126	3479222.0	pgm	191	0	4	phosphoglycerate_mutase
AL009126	2289042.0	dinF	965	1	5	damage_inducible,_Na+_driven_multidrug_efflux_pump
